                                   
KineticEnergy   TotalStoppingPower     RangeCSDA      ProjectedRange

1.000E-03 1.305E+02 9.964E-06 2.529E-06 
1.500E-03 1.447E+02 1.358E-05 3.704E-06 
2.000E-03 1.564E+02 1.690E-05 4.895E-06 
2.500E-03 1.667E+02 1.999E-05 6.094E-06 
3.000E-03 1.761E+02 2.291E-05 7.300E-06 
4.000E-03 1.935E+02 2.832E-05 9.717E-06 
5.000E-03 2.095E+02 3.329E-05 1.213E-05 
6.000E-03 2.245E+02 3.790E-05 1.452E-05 
7.000E-03 2.389E+02 4.221E-05 1.689E-05 
8.000E-03 2.527E+02 4.628E-05 1.922E-05 
9.000E-03 2.661E+02 5.014E-05 2.153E-05 
1.000E-02 2.790E+02 5.381E-05 2.379E-05 
1.250E-02 3.098E+02 6.230E-05 2.931E-05 
1.500E-02 3.388E+02 7.001E-05 3.460E-05 
1.750E-02 3.664E+02 7.710E-05 3.969E-05 
2.000E-02 3.927E+02 8.369E-05 4.458E-05 
2.250E-02 4.179E+02 8.986E-05 4.929E-05 
2.500E-02 4.421E+02 9.567E-05 5.384E-05 
2.750E-02 4.655E+02 1.012E-04 5.824E-05 
3.000E-02 4.880E+02 1.064E-04 6.250E-05 
3.500E-02 5.309E+02 1.162E-04 7.064E-05 
4.000E-02 5.711E+02 1.253E-04 7.835E-05 
4.500E-02 6.088E+02 1.338E-04 8.568E-05 
5.000E-02 6.444E+02 1.418E-04 9.269E-05 
5.500E-02 6.779E+02 1.493E-04 9.941E-05 
6.000E-02 7.095E+02 1.565E-04 1.059E-04 
6.500E-02 7.393E+02 1.634E-04 1.121E-04 
7.000E-02 7.674E+02 1.701E-04 1.182E-04 
7.500E-02 7.939E+02 1.765E-04 1.241E-04 
8.000E-02 8.189E+02 1.827E-04 1.298E-04 
8.500E-02 8.425E+02 1.887E-04 1.354E-04 
9.000E-02 8.648E+02 1.946E-04 1.409E-04 
9.500E-02 8.858E+02 2.003E-04 1.462E-04 
1.000E-01 9.056E+02 2.059E-04 1.515E-04 
1.250E-01 9.894E+02 2.322E-04 1.764E-04 
1.500E-01 1.053E+03 2.567E-04 1.999E-04 
1.750E-01 1.103E+03 2.798E-04 2.222E-04 
2.000E-01 1.142E+03 3.021E-04 2.438E-04 
2.250E-01 1.174E+03 3.237E-04 2.648E-04 
2.500E-01 1.200E+03 3.447E-04 2.854E-04 
2.750E-01 1.222E+03 3.654E-04 3.056E-04 
3.000E-01 1.239E+03 3.857E-04 3.256E-04 
3.500E-01 1.266E+03 4.256E-04 3.648E-04 
4.000E-01 1.284E+03 4.648E-04 4.034E-04 
4.500E-01 1.294E+03 5.035E-04 4.417E-04 
5.000E-01 1.300E+03 5.421E-04 4.798E-04 
5.500E-01 1.301E+03 5.805E-04 5.179E-04 
6.000E-01 1.300E+03 6.189E-04 5.560E-04 
6.500E-01 1.295E+03 6.575E-04 5.942E-04 
7.000E-01 1.289E+03 6.962E-04 6.326E-04 
7.500E-01 1.281E+03 7.351E-04 6.712E-04 
8.000E-01 1.271E+03 7.743E-04 7.101E-04 
8.500E-01 1.261E+03 8.137E-04 7.493E-04 
9.000E-01 1.250E+03 8.536E-04 7.889E-04 
