                               

KineticEnergy   TotalStoppingPower     RangeCSDA      ProjectedRange

1.000E-03 8.155E+01 1.655E-05 3.089E-06 
1.500E-03 9.147E+01 2.230E-05 4.483E-06 
2.000E-03 9.943E+01 2.753E-05 5.896E-06 
2.500E-03 1.064E+02 3.239E-05 7.325E-06 
3.000E-03 1.126E+02 3.696E-05 8.768E-06 
4.000E-03 1.240E+02 4.541E-05 1.169E-05 
5.000E-03 1.343E+02 5.315E-05 1.463E-05 
6.000E-03 1.439E+02 6.034E-05 1.759E-05 
7.000E-03 1.531E+02 6.708E-05 2.054E-05 
8.000E-03 1.618E+02 7.343E-05 2.349E-05 
9.000E-03 1.702E+02 7.945E-05 2.642E-05 
1.000E-02 1.784E+02 8.519E-05 2.933E-05 
1.250E-02 1.977E+02 9.849E-05 3.650E-05 
1.500E-02 2.160E+02 1.106E-04 4.351E-05 
1.750E-02 2.334E+02 1.217E-04 5.034E-05 
2.000E-02 2.501E+02 1.320E-04 5.698E-05 
2.250E-02 2.661E+02 1.417E-04 6.345E-05 
2.500E-02 2.816E+02 1.509E-04 6.975E-05 
2.750E-02 2.966E+02 1.595E-04 7.588E-05 
3.000E-02 3.111E+02 1.677E-04 8.186E-05 
3.500E-02 3.391E+02 1.831E-04 9.338E-05 
4.000E-02 3.658E+02 1.973E-04 1.044E-04 
4.500E-02 3.913E+02 2.105E-04 1.149E-04 
5.000E-02 4.159E+02 2.229E-04 1.249E-04 
5.500E-02 4.395E+02 2.346E-04 1.346E-04 
6.000E-02 4.624E+02 2.457E-04 1.440E-04 
6.500E-02 4.846E+02 2.563E-04 1.530E-04 
7.000E-02 5.061E+02 2.663E-04 1.617E-04 
7.500E-02 5.270E+02 2.760E-04 1.701E-04 
8.000E-02 5.473E+02 2.853E-04 1.783E-04 
8.500E-02 5.671E+02 2.943E-04 1.862E-04 
9.000E-02 5.864E+02 3.030E-04 1.940E-04 
9.500E-02 6.053E+02 3.114E-04 2.015E-04 
1.000E-01 6.236E+02 3.195E-04 2.089E-04 
1.250E-01 7.096E+02 3.570E-04 2.432E-04 
1.500E-01 7.869E+02 3.904E-04 2.744E-04 
1.750E-01 8.566E+02 4.209E-04 3.031E-04 
2.000E-01 9.197E+02 4.490E-04 3.299E-04 
2.250E-01 9.767E+02 4.754E-04 3.551E-04 
2.500E-01 1.028E+03 5.003E-04 3.791E-04 
2.750E-01 1.074E+03 5.241E-04 4.021E-04 
3.000E-01 1.115E+03 5.469E-04 4.243E-04 
3.500E-01 1.184E+03 5.903E-04 4.666E-04 
4.000E-01 1.237E+03 6.316E-04 5.070E-04 
4.500E-01 1.275E+03 6.714E-04 5.460E-04 
5.000E-01 1.301E+03 7.102E-04 5.842E-04 
5.500E-01 1.316E+03 7.484E-04 6.218E-04 
6.000E-01 1.323E+03 7.863E-04 6.592E-04 
6.500E-01 1.323E+03 8.240E-04 6.965E-04 
7.000E-01 1.317E+03 8.619E-04 7.339E-04 
7.500E-01 1.307E+03 9.000E-04 7.716E-04 
8.000E-01 1.293E+03 9.384E-04 8.097E-04 
8.500E-01 1.277E+03 9.773E-04 8.483E-04 
9.000E-01 1.260E+03 1.017E-03 8.874E-04 
9.500E-01 1.242E+03 1.057E-03 9.270E-04 
1.000E+00 1.223E+03 1.097E-03 9.673E-04 
