
KineticEnergy   TotalStoppingPower     RangeCSDA      ProjectedRange

1.000E-03 3.480E+02 3.630E-06 1.686E-06 
1.500E-03 3.730E+02 5.010E-06 2.476E-06 
2.000E-03 3.930E+02 6.315E-06 3.274E-06 
2.500E-03 4.104E+02 7.560E-06 4.074E-06 
3.000E-03 4.262E+02 8.755E-06 4.872E-06 
4.000E-03 4.547E+02 1.102E-05 6.456E-06 
5.000E-03 4.803E+02 1.316E-05 8.018E-06 
6.000E-03 5.039E+02 1.520E-05 9.554E-06 
7.000E-03 5.259E+02 1.714E-05 1.106E-05 
8.000E-03 5.467E+02 1.900E-05 1.254E-05 
9.000E-03 5.664E+02 2.080E-05 1.400E-05 
1.000E-02 5.853E+02 2.253E-05 1.543E-05 
1.250E-02 6.290E+02 2.665E-05 1.889E-05 
1.500E-02 6.690E+02 3.050E-05 2.221E-05 
1.750E-02 7.060E+02 3.414E-05 2.540E-05 
2.000E-02 7.406E+02 3.760E-05 2.848E-05 
2.250E-02 7.730E+02 4.090E-05 3.146E-05 
2.500E-02 8.037E+02 4.407E-05 3.434E-05 
2.750E-02 8.329E+02 4.712E-05 3.715E-05 
3.000E-02 8.607E+02 5.008E-05 3.987E-05 
3.500E-02 9.128E+02 5.571E-05 4.513E-05 
4.000E-02 9.609E+02 6.105E-05 5.014E-05 
4.500E-02 1.006E+03 6.613E-05 5.496E-05 
5.000E-02 1.048E+03 7.100E-05 5.959E-05 
5.500E-02 1.087E+03 7.569E-05 6.407E-05 
6.000E-02 1.125E+03 8.021E-05 6.841E-05 
6.500E-02 1.160E+03 8.458E-05 7.263E-05 
7.000E-02 1.194E+03 8.883E-05 7.673E-05 
7.500E-02 1.226E+03 9.296E-05 8.074E-05 
8.000E-02 1.257E+03 9.699E-05 8.464E-05 
8.500E-02 1.287E+03 1.009E-04 8.847E-05 
9.000E-02 1.315E+03 1.048E-04 9.221E-05 
9.500E-02 1.342E+03 1.085E-04 9.588E-05 
1.000E-01 1.368E+03 1.122E-04 9.949E-05 
1.250E-01 1.485E+03 1.297E-04 1.167E-04 
1.500E-01 1.584E+03 1.460E-04 1.327E-04 
1.750E-01 1.668E+03 1.614E-04 1.478E-04 
2.000E-01 1.739E+03 1.760E-04 1.623E-04 
2.250E-01 1.800E+03 1.902E-04 1.763E-04 
2.500E-01 1.852E+03 2.039E-04 1.899E-04 
2.750E-01 1.897E+03 2.172E-04 2.031E-04 
3.000E-01 1.934E+03 2.302E-04 2.161E-04 
3.500E-01 1.992E+03 2.557E-04 2.414E-04 
4.000E-01 2.031E+03 2.805E-04 2.661E-04 
4.500E-01 2.055E+03 3.050E-04 2.904E-04 
5.000E-01 2.067E+03 3.292E-04 3.146E-04 
5.500E-01 2.069E+03 3.534E-04 3.387E-04 
6.000E-01 2.064E+03 3.776E-04 3.628E-04 
6.500E-01 2.052E+03 4.019E-04 3.870E-04 
7.000E-01 2.037E+03 4.263E-04 4.114E-04 
7.500E-01 2.017E+03 4.510E-04 4.360E-04 
8.000E-01 1.995E+03 4.759E-04 4.608E-04 
8.500E-01 1.971E+03 5.011E-04 4.860E-04 
9.000E-01 1.946E+03 5.267E-04 5.115E-04 
9.500E-01 1.920E+03 5.525E-04 5.373E-04 
1.000E+00 1.893E+03 5.788E-04 5.635E-04 
1.250E+00 1.753E+03 7.160E-04 7.004E-04 
1.500E+00 1.621E+03 8.643E-04 8.486E-04 
1.750E+00 1.504E+03 1.025E-03 1.009E-03 
2.000E+00 1.401E+03 1.197E-03 1.181E-03 
2.250E+00 1.311E+03 1.381E-03 1.365E-03 
2.500E+00 1.232E+03 1.578E-03 1.562E-03 
2.750E+00 1.162E+03 1.787E-03 1.770E-03 
3.000E+00 1.100E+03 2.008E-03 1.991E-03 
3.500E+00 9.950E+02 2.487E-03 2.470E-03 
4.000E+00 9.097E+02 3.013E-03 2.995E-03 
4.500E+00 8.398E+02 3.586E-03 3.568E-03 
5.000E+00 7.812E+02 4.203E-03 4.185E-03 
5.500E+00 7.313E+02 4.865E-03 4.846E-03 
6.000E+00 6.881E+02 5.571E-03 5.551E-03 
6.500E+00 6.502E+02 6.319E-03 6.299E-03 
7.000E+00 6.168E+02 7.108E-03 7.088E-03 
7.500E+00 5.870E+02 7.940E-03 7.919E-03 
8.000E+00 5.602E+02 8.812E-03 8.790E-03 
8.500E+00 5.360E+02 9.725E-03 9.703E-03 
9.000E+00 5.141E+02 1.068E-02 1.065E-02 
9.500E+00 4.941E+02 1.167E-02 1.165E-02 
1.000E+01 4.758E+02 1.270E-02 1.268E-02 
1.250E+01 4.029E+02 1.843E-02 1.841E-02 
1.500E+01 3.509E+02 2.510E-02 2.507E-02 
1.750E+01 3.117E+02 3.267E-02 3.264E-02 
2.000E+01 2.811E+02 4.113E-02 4.109E-02 
2.500E+01 2.360E+02 6.063E-02 6.058E-02 
2.750E+01 2.189E+02 7.163E-02 7.158E-02 
3.000E+01 2.043E+02 8.346E-02 8.340E-02 
3.500E+01 1.808E+02 1.095E-01 1.095E-01 
4.000E+01 1.624E+02 1.388E-01 1.387E-01 
4.500E+01 1.477E+02 1.711E-01 1.710E-01 
5.000E+01 1.357E+02 2.064E-01 2.063E-01 
5.500E+01 1.257E+02 2.447E-01 2.446E-01 
6.000E+01 1.171E+02 2.860E-01 2.858E-01 
6.500E+01 1.098E+02 3.301E-01 3.300E-01 
7.000E+01 1.034E+02 3.771E-01 3.769E-01 
7.500E+01 9.773E+01 4.269E-01 4.267E-01 
8.000E+01 9.274E+01 4.794E-01 4.792E-01 
8.500E+01 8.829E+01 5.347E-01 5.344E-01 
9.000E+01 8.429E+01 5.927E-01 5.924E-01 
9.500E+01 8.067E+01 6.533E-01 6.530E-01 
1.000E+02 7.738E+01 7.166E-01 7.163E-01 
1.250E+02 6.459E+01 1.072E+00 1.071E+00 
1.500E+02 5.576E+01 1.490E+00 1.489E+00 
1.750E+02 4.928E+01 1.968E+00 1.967E+00 
2.000E+02 4.431E+01 2.504E+00 2.503E+00 
2.250E+02 4.037E+01 3.096E+00 3.095E+00 
2.500E+02 3.716E+01 3.742E+00 3.740E+00 
2.750E+02 3.451E+01 4.441E+00 4.439E+00 
3.000E+02 3.226E+01 5.190E+00 5.189E+00 
3.500E+02 2.868E+01 6.838E+00 6.835E+00 
4.000E+02 2.595E+01 8.674E+00 8.671E+00 
4.500E+02 2.379E+01 1.069E+01 1.069E+01 
5.000E+02 2.204E+01 1.287E+01 1.287E+01 
5.500E+02 2.060E+01 1.522E+01 1.522E+01 
6.000E+02 1.938E+01 1.773E+01 1.772E+01 
6.500E+02 1.834E+01 2.038E+01 2.037E+01 
7.000E+02 1.745E+01 2.318E+01 2.317E+01 
7.500E+02 1.667E+01 2.611E+01 2.610E+01 
8.000E+02 1.598E+01 2.917E+01 2.917E+01 
8.500E+02 1.538E+01 3.236E+01 3.236E+01 
9.000E+02 1.483E+01 3.568E+01 3.567E+01 
9.500E+02 1.435E+01 3.910E+01 3.909E+01 
1.000E+03 1.391E+01 4.264E+01 4.263E+01 
