fCF4,Ar** all,Err Ar** all,Ar** 2exc,Err Ar** 2exc
0.001,198.1232,0.1507573300673097,4.4835,0.031174225450000002
0.002,197.7733,0.1506302127966024,4.4468,0.031087614959999996
0.005,196.5554,0.150198355126316,4.328,0.030803830400000003
0.01,194.2345,0.14936668673339573,4.1222,0.03030307166
0.02,190.412,0.14798908029856161,3.8617,0.029651032790000004
0.05,180.25069999999997,0.14425758048296755,3.3885,0.028408026250000003
0.1,165.08429999999998,0.13848560661379614,2.8571,0.026902889309999997
0.2,139.45759999999999,0.12809227018008568,2.2069,0.024855747350000002
0.5,80.8394,0.09991072305996798,1.2204,0.021047182839999998
1.0,0.0,0.01,0.0,0.01
