Gas,Proceso,Energia,Eventos,Error%
ARGON,ELASTIC ANISOTROPIC ARGON,,68361.0088,0.00382
ARGON,IONISATION CHARGE STATE =1,15.75961,441.6011,0.04759
ARGON,IONISATION CHARGE STATE =2,43.38928,17.8885,0.23644
ARGON,IONISATION CHARGE STATE =3,84.124,2.116,0.68745
ARGON,IONISATION L3 SHELL,248.4,4.3362,0.48023
ARGON,IONISATION L2 SHELL,250.6,2.1542,0.68133
ARGON,IONISATION L1 SHELL,326.3,1.0085,0.99578
ARGON,IONISATION K SHELL,3205.9,0.0206,6.96733
ARGON,ATTACHMENT,,0.0,0.0
ARGON,EXC 1S5 J=2 METASTABLE,11.548,17.3463,0.2401
ARGON,EXC 1S4 J=1 RESONANT,11.624,26.0579,0.1959
ARGON,EXC 1S3 J=0 METASTABLE,11.723,3.3885,0.54325
ARGON,EXC 1S2 J=1 RESONANT,11.828,57.7236,0.13162
ARGON,EXC 2P10 J=1,12.907,2.1858,0.67639
ARGON,EXC 2P9 J=3,13.076,3.2311,0.55632
ARGON,EXC 2P8 J=2,13.095,3.2513,0.55459
ARGON,EXC 2P7 J=1,13.153,1.7975,0.74587
ARGON,EXC 2P6 J=2,13.172,2.9889,0.57842
ARGON,EXC 2P5 J=0,13.273,1.5214,0.81073
ARGON,EXC 2P4 J=1,13.283,1.7565,0.75453
ARGON,EXC 2P3 J=2,13.302,2.051,0.69826
ARGON,EXC 2P2 J=1,13.328,1.0388,0.98115
ARGON,EXC 2P1 J=0,13.48,5.1552,0.44043
ARGON,EXC 3D6 J=0,13.845,1.3114,0.87324
ARGON,EXC 3D5 J=1 RESONANT,13.864,5.2364,0.437
ARGON,EXC 3D3 J=2,13.903,4.6807,0.46222
ARGON,EXC 3D4! J=4,13.979,4.5826,0.46714
ARGON,EXC 3D4 J=3,14.013,1.8663,0.732
ARGON,EXC 3D1!! J=2,14.063,1.9462,0.71681
ARGON,EXC 2S5 J=2,14.068,1.9253,0.72069
ARGON,EXC 2S4 J=1 RESONANT,14.09,3.4059,0.54186
ARGON,EXC 3D1! J=3,14.099,0.6278,1.26209
ARGON,EXC 3D2 J=1 RESONANT,14.153,9.7118,0.32089
ARGON,EXC 3S1!!!!J=2,14.214,2.3585,0.65115
ARGON,EXC 3S1!! J=2,14.234,1.4744,0.82355
ARGON,EXC 3S1!!! J=3,14.236,0.9547,1.02345
ARGON,EXC 2S3 J=0,14.241,0.3851,1.61144
ARGON,EXC 2S2 J=1 RESONANT,14.255,1.4056,0.84347
ARGON,EXC 3S1! J=1 RESONANT,14.304,11.7326,0.29195
ARGON,EXC 4D5 J=1 RESONANT,14.711,0.2284,2.09243
ARGON,EXC 3S4 J=1 RESONANT,14.848,1.6881,0.76966
ARGON,EXC 4D2 J=1 RESONANT,14.859,5.595,0.42277
ARGON,EXC 4S1! J=1 RESONANT,15.004,2.3668,0.65001
ARGON,EXC 3S2 J=1 RESONANT,15.022,2.4932,0.63332
ARGON,EXC 5D5 J=1 RESONANT,15.118,0.4603,1.47394
ARGON,EXC 4S4 J=1 RESONANT,15.186,4.7277,0.45991
ARGON,EXC 5D2 J=1 RESONANT,15.19,4.6952,0.4615
ARGON,EXC 6D5 J=1 RESONANT,15.308,0.0776,3.58979
ARGON,EXC 5S1! J=1 RESONANT,15.351,0.052,4.38529
ARGON,EXC 4S2 J=1 RESONANT,15.36,0.0771,3.60141
ARGON,EXC 5S4 J=1 RESONANT,15.366,1.4073,0.84296
ARGON,EXC 6D2 J=1 RESONANT,15.374,3.1409,0.56425
ARGON,EXC HIGH J=1 RESONANT,15.66,13.5462,0.2717
ARGON,BREMSSTRAHLUNG FROM ARGON ATOM,,0.0038,16.22214
