Gas,Proceso,Energia,Eventos,Error%
ARGON,ELASTIC ANISOTROPIC ARGON,,135198.4869,0.00272
ARGON,IONISATION CHARGE STATE =1,15.75961,468.5319,0.0462
ARGON,IONISATION CHARGE STATE =2,43.38928,19.2384,0.22799
ARGON,IONISATION CHARGE STATE =3,84.124,2.2832,0.6618
ARGON,IONISATION L3 SHELL,248.4,4.6105,0.46572
ARGON,IONISATION L2 SHELL,250.6,2.2822,0.66195
ARGON,IONISATION L1 SHELL,326.3,1.118,0.94576
ARGON,IONISATION K SHELL,3205.9,0.02,7.07107
ARGON,ATTACHMENT,,0.0,0.0
ARGON,EXC 1S5 J=2 METASTABLE,11.548,20.0212,0.22349
ARGON,EXC 1S4 J=1 RESONANT,11.624,29.2226,0.18499
ARGON,EXC 1S3 J=0 METASTABLE,11.723,3.8617,0.50887
ARGON,EXC 1S2 J=1 RESONANT,11.828,62.0075,0.12699
ARGON,EXC 2P10 J=1,12.907,2.3193,0.65663
ARGON,EXC 2P9 J=3,13.076,3.3265,0.54828
ARGON,EXC 2P8 J=2,13.095,3.3548,0.54597
ARGON,EXC 2P7 J=1,13.153,1.8834,0.72867
ARGON,EXC 2P6 J=2,13.172,3.0673,0.57098
ARGON,EXC 2P5 J=0,13.273,1.6047,0.78941
ARGON,EXC 2P4 J=1,13.283,1.8224,0.74076
ARGON,EXC 2P3 J=2,13.302,2.1248,0.68603
ARGON,EXC 2P2 J=1,13.328,1.0814,0.96163
ARGON,EXC 2P1 J=0,13.48,5.3111,0.43392
ARGON,EXC 3D6 J=0,13.845,1.3584,0.858
ARGON,EXC 3D5 J=1 RESONANT,13.864,5.3857,0.4309
ARGON,EXC 3D3 J=2,13.903,4.7634,0.45819
ARGON,EXC 3D4! J=4,13.979,4.6764,0.46243
ARGON,EXC 3D4 J=3,14.013,1.9301,0.7198
ARGON,EXC 3D1!! J=2,14.063,1.9803,0.71062
ARGON,EXC 2S5 J=2,14.068,1.9747,0.71162
ARGON,EXC 2S4 J=1 RESONANT,14.09,3.6098,0.52633
ARGON,EXC 3D1! J=3,14.099,0.6464,1.2438
ARGON,EXC 3D2 J=1 RESONANT,14.153,10.2258,0.31272
ARGON,EXC 3S1!!!!J=2,14.214,2.411,0.64402
ARGON,EXC 3S1!! J=2,14.234,1.5239,0.81007
ARGON,EXC 3S1!!! J=3,14.236,0.9853,1.00743
ARGON,EXC 2S3 J=0,14.241,0.383,1.61585
ARGON,EXC 2S2 J=1 RESONANT,14.255,1.4965,0.81745
ARGON,EXC 3S1! J=1 RESONANT,14.304,12.3827,0.28418
ARGON,EXC 4D5 J=1 RESONANT,14.711,0.2487,2.00522
ARGON,EXC 3S4 J=1 RESONANT,14.848,1.7724,0.75114
ARGON,EXC 4D2 J=1 RESONANT,14.859,5.9348,0.41048
ARGON,EXC 4S1! J=1 RESONANT,15.004,2.4747,0.63568
ARGON,EXC 3S2 J=1 RESONANT,15.022,2.6455,0.61482
ARGON,EXC 5D5 J=1 RESONANT,15.118,0.4925,1.42494
ARGON,EXC 4S4 J=1 RESONANT,15.186,4.992,0.44757
ARGON,EXC 5D2 J=1 RESONANT,15.19,4.9742,0.44837
ARGON,EXC 6D5 J=1 RESONANT,15.308,0.0844,3.44214
ARGON,EXC 5S1! J=1 RESONANT,15.351,0.0576,4.16667
ARGON,EXC 4S2 J=1 RESONANT,15.36,0.0896,3.34077
ARGON,EXC 5S4 J=1 RESONANT,15.366,1.4708,0.82456
ARGON,EXC 6D2 J=1 RESONANT,15.374,3.3186,0.54894
ARGON,EXC HIGH J=1 RESONANT,15.66,14.3579,0.26391
ARGON,BREMSSTRAHLUNG FROM ARGON ATOM,,0.0034,17.14986
