Gas,Proceso,Energia,Eventos,Error%
CF4,ELASTIC ANISOTROPIC CF4,,1270.7611,0.02805
CF4,ION CF3 +,15.7,3.7028,0.51968
CF4,ION CF2 +,21.47,0.2577,1.96989
CF4,ION CF +,29.14,0.2027,2.22113
CF4,ION F +,34.5,0.3566,1.67459
CF4,ION C +,34.77,0.2013,2.22884
CF4,"DOUBLE ION CF3 + , F +",36.0,0.0348,5.36056
CF4,"DOUBLE ION CF2 + , F +",40.0,0.0396,5.02519
CF4,IONS CF3 ++ OR CF2 ++,41.0,0.053,4.34372
CF4,"DOUBLE ION CF + , F +",43.0,0.0964,3.22078
CF4,"DOUBLE ION C + , F +",63.0,0.0434,4.80015
CF4,IONISATION CARBON K-SHELL,285.0,0.0089,10.59998
CF4,IONISATION FLUORINE K-SHELL,685.4,0.0084,10.91089
CF4,ATTACHMENT,,0.8568,1.08034
CF4,VIB V2 ANISOTROPIC,-0.0539,0.0535,4.32338
CF4,VIB V2 ANISOTROPIC,0.0539,0.6058,1.2848
CF4,VIB V4 ANISOTROPIC,-0.0783,4.1239,0.49243
CF4,VIB V4 ANISOTROPIC,0.0783,126.0143,0.08908
CF4,VIB V1 ANISOTROPIC,-0.1126,0.3595,1.66783
CF4,VIB V1 ANISOTROPIC,0.1126,42.9022,0.15267
CF4,VIB V3 ANISOTROPIC,-0.1588,0.6111,1.27922
CF4,VIB V3 ANISOTROPIC,0.1588,444.5695,0.04743
CF4,VIB 2V3 ANISOTROPIC,0.3176,76.0404,0.11468
CF4,VIB HARMONIC ANISOTROPIC,0.4764,267.1484,0.06118
CF4,NEUTRAL DISS NON-DIPOLE,11.5,0.0475,4.58831
CF4,NEUTRAL DISS DIPOLE F=0.000189,11.63,0.0001,100.0
CF4,NEUTRAL DISS DIPOLE F=0.001085,11.88,0.0012,28.86751
CF4,NEUTRAL DISS DIPOLE F=0.004807,12.13,0.0056,13.36306
CF4,NEUTRAL DISS DIPOLE F=0.008819,12.38,0.0091,10.48285
CF4,NEUTRAL DISS NON-DIPOLE,12.5,0.0722,3.72161
CF4,NEUTRAL DISS DIPOLE F=0.008918,12.63,0.0109,9.57826
CF4,NEUTRAL DISS DIPOLE F=0.008420,12.88,0.0074,11.62476
CF4,NEUTRAL DISS DIPOLE F=0.02531,13.13,0.0225,6.66667
CF4,NEUTRAL DISS DIPOLE F=0.09553,13.38,0.0792,3.55335
CF4,NEUTRAL DISS DIPOLE F=0.11193,13.63,0.0875,3.38062
CF4,NEUTRAL DISS DIPOLE F=0.10103,13.88,0.0718,3.73197
CF4,NEUTRAL DISS NON-DIPOLE,14.0,0.1508,2.57513
CF4,NEUTRAL DISS DIPOLE F=0.06902,14.13,0.0503,4.45878
CF4,NEUTRAL DISS DIPOLE F=0.03968,14.38,0.0257,6.23783
CF4,NEUTRAL DISS DIPOLE F=0.02584,14.63,0.0157,7.98087
CF4,NEUTRAL DISS DIPOLE F=0.02071,14.88,0.0129,8.80451
CF4,NEUTRAL DISS DIPOLE F=0.03122,15.13,0.0212,6.86803
CF4,NEUTRAL DISS DIPOLE F=0.05580,15.38,0.0344,5.39164
CF4,NEUTRAL DISS DIPOLE F=0.10187,15.63,0.0574,4.17392
CF4,NEUTRAL DISS DIPOLE F=0.09427,15.88,0.0513,4.41511
CF4,NEUTRAL DISS DIPOLE F=0.05853,16.13,0.0294,5.83212
CF4,NEUTRAL DISS DIPOLE F=0.06002,16.38,0.0306,5.71662
CF4,NEUTRAL DISS DIPOLE F=0.05647,16.63,0.0302,5.75435
CF4,NEUTRAL DISS DIPOLE F=0.04885,16.88,0.0238,6.48204
CF4,NEUTRAL DISS DIPOLE F=0.04036,17.13,0.0204,7.0014
CF4,NEUTRAL DISS DIPOLE F=0.03298,17.38,0.0177,7.51646
CF4,NEUTRAL DISS DIPOLE F=0.02593,17.63,0.0109,9.57826
CF4,NEUTRAL DISS DIPOLE F=0.01802,17.88,0.008,11.18034
CF4,NEUTRAL DISS DIPOLE F=0.01287,18.13,0.0053,13.73606
CF4,NEUTRAL DISS DIPOLE F=0.00830,18.38,0.0047,14.5865
CF4,NEUTRAL DISS DIPOLE F=0.00698,18.63,0.0019,22.94157
CF4,NEUTRAL DISS DIPOLE F=0.00581,18.88,0.002,22.36068
CF4,NEUTRAL DISS DIPOLE F=0.00502,19.13,0.0021,21.82179
CF4,NEUTRAL DISS DIPOLE F=0.00398,19.38,0.0015,25.81989
CF4,NEUTRAL DISS DIPOLE F=0.00189,19.63,0.0011,30.15113
CF4,BREMSSTRAHLUNG FROM CARBON ATOM,,0.0,0.0
CF4,BREMSSTRAHLUNG FROM FLUORINE ATOMS,,0.0,0.0
