fCF4 , Ar** all          , Err Ar** all       , Ar** 2exc, Err Ar** 2exc
0.001, 198.1232          , 0.1407573300673097 ,    4.4835, 0.02117422545
0.002, 197.7733          , 0.1406302127966024 ,    4.4468, 0.021087614959999997
0.005, 196.5554          , 0.14019835512631598,    4.328 , 0.0208038304
0.01 , 194.2345          , 0.13936668673339572,    4.1222, 0.02030307166
0.02 , 190.412           , 0.1379890802985616 ,    3.8617, 0.019651032790000002
0.05 , 180.25069999999997, 0.13425758048296754,    3.3885, 0.01840802625
0.1  , 165.08429999999998, 0.12848560661379613,    2.8571, 0.01690288931
0.2  , 139.45759999999999, 0.11809227018008568,    2.2069, 0.014855747350000002
0.5  ,  80.8394          , 0.08991072305996799,    1.2204, 0.011047182839999998
1.0  ,   0.0             , 0.0                ,    0.0   , 0.0
