Gas,Proceso,Energia,Eventos,Error%
ARGON,ELASTIC ANISOTROPIC ARGON,,8048.4618,0.01115
ARGON,IONISATION CHARGE STATE =1,15.75961,173.3947,0.07594
ARGON,IONISATION CHARGE STATE =2,43.38928,6.0352,0.40706
ARGON,IONISATION CHARGE STATE =3,84.124,0.7236,1.17558
ARGON,IONISATION L3 SHELL,248.4,1.4569,0.82849
ARGON,IONISATION L2 SHELL,250.6,0.723,1.17606
ARGON,IONISATION L1 SHELL,326.3,0.3358,1.72568
ARGON,IONISATION K SHELL,3205.9,0.0079,11.25088
ARGON,ATTACHMENT,,0.0,0.0
ARGON,EXC 1S5 J=2 METASTABLE,11.548,6.1896,0.40195
ARGON,EXC 1S4 J=1 RESONANT,11.624,10.0284,0.31578
ARGON,EXC 1S3 J=0 METASTABLE,11.723,1.2204,0.90521
ARGON,EXC 1S2 J=1 RESONANT,11.828,23.8094,0.20494
ARGON,EXC 2P10 J=1,12.907,1.1656,0.92624
ARGON,EXC 2P9 J=3,13.076,1.722,0.76205
ARGON,EXC 2P8 J=2,13.095,1.6225,0.78507
ARGON,EXC 2P7 J=1,13.153,0.9871,1.00651
ARGON,EXC 2P6 J=2,13.172,1.5164,0.81207
ARGON,EXC 2P5 J=0,13.273,0.7668,1.14198
ARGON,EXC 2P4 J=1,13.283,0.94,1.03142
ARGON,EXC 2P3 J=2,13.302,1.0516,0.97516
ARGON,EXC 2P2 J=1,13.328,0.5375,1.36399
ARGON,EXC 2P1 J=0,13.48,2.6489,0.61442
ARGON,EXC 3D6 J=0,13.845,0.7256,1.17395
ARGON,EXC 3D5 J=1 RESONANT,13.864,2.899,0.58732
ARGON,EXC 3D3 J=2,13.903,2.6732,0.61162
ARGON,EXC 3D4! J=4,13.979,2.6243,0.6173
ARGON,EXC 3D4 J=3,14.013,1.0533,0.97437
ARGON,EXC 3D1!! J=2,14.063,1.1163,0.94648
ARGON,EXC 2S5 J=2,14.068,1.1079,0.95006
ARGON,EXC 2S4 J=1 RESONANT,14.09,1.4195,0.83933
ARGON,EXC 3D1! J=3,14.099,0.3352,1.72722
ARGON,EXC 3D2 J=1 RESONANT,14.153,4.0479,0.49703
ARGON,EXC 3S1!!!!J=2,14.214,1.3791,0.85153
ARGON,EXC 3S1!! J=2,14.234,0.8286,1.09857
ARGON,EXC 3S1!!! J=3,14.236,0.4832,1.43859
ARGON,EXC 2S3 J=0,14.241,0.2193,2.13541
ARGON,EXC 2S2 J=1 RESONANT,14.255,0.5759,1.31773
ARGON,EXC 3S1! J=1 RESONANT,14.304,4.898,0.45185
ARGON,EXC 4D5 J=1 RESONANT,14.711,0.0956,3.23423
ARGON,EXC 3S4 J=1 RESONANT,14.848,0.6894,1.20438
ARGON,EXC 4D2 J=1 RESONANT,14.859,2.3134,0.65747
ARGON,EXC 4S1! J=1 RESONANT,15.004,0.9622,1.01945
ARGON,EXC 3S2 J=1 RESONANT,15.022,1.0141,0.99302
ARGON,EXC 5D5 J=1 RESONANT,15.118,0.1853,2.32307
ARGON,EXC 4S4 J=1 RESONANT,15.186,1.943,0.7174
ARGON,EXC 5D2 J=1 RESONANT,15.19,1.9243,0.72088
ARGON,EXC 6D5 J=1 RESONANT,15.308,0.0338,5.43928
ARGON,EXC 5S1! J=1 RESONANT,15.351,0.0223,6.6965
ARGON,EXC 4S2 J=1 RESONANT,15.36,0.0321,5.58146
ARGON,EXC 5S4 J=1 RESONANT,15.366,0.5646,1.33085
ARGON,EXC 6D2 J=1 RESONANT,15.374,1.2541,0.89296
ARGON,EXC HIGH J=1 RESONANT,15.66,5.4307,0.42911
ARGON,BREMSSTRAHLUNG FROM ARGON ATOM,,0.0016,25.0
