Gas,Proceso,Energia,Eventos,Error%
ARGON,ELASTIC ANISOTROPIC ARGON,,632236.2331,0.00126
ARGON,IONISATION CHARGE STATE =1,15.75961,485.8295,0.04537
ARGON,IONISATION CHARGE STATE =2,43.38928,20.0003,0.22361
ARGON,IONISATION CHARGE STATE =3,84.124,2.3775,0.64854
ARGON,IONISATION L3 SHELL,248.4,4.8238,0.45531
ARGON,IONISATION L2 SHELL,250.6,2.3758,0.64878
ARGON,IONISATION L1 SHELL,326.3,1.1392,0.93691
ARGON,IONISATION K SHELL,3205.9,0.0242,6.42824
ARGON,ATTACHMENT,,0.0,0.0
ARGON,EXC 1S5 J=2 METASTABLE,11.548,23.1561,0.20781
ARGON,EXC 1S4 J=1 RESONANT,11.624,33.1143,0.17378
ARGON,EXC 1S3 J=0 METASTABLE,11.723,4.4468,0.47422
ARGON,EXC 1S2 J=1 RESONANT,11.828,65.1575,0.12388
ARGON,EXC 2P10 J=1,12.907,2.3748,0.64891
ARGON,EXC 2P9 J=3,13.076,3.4481,0.53853
ARGON,EXC 2P8 J=2,13.095,3.4795,0.53609
ARGON,EXC 2P7 J=1,13.153,1.9283,0.72013
ARGON,EXC 2P6 J=2,13.172,3.1849,0.56034
ARGON,EXC 2P5 J=0,13.273,1.6459,0.77947
ARGON,EXC 2P4 J=1,13.283,1.8344,0.73833
ARGON,EXC 2P3 J=2,13.302,2.1899,0.67575
ARGON,EXC 2P2 J=1,13.328,1.0985,0.95411
ARGON,EXC 2P1 J=0,13.48,5.4991,0.42644
ARGON,EXC 3D6 J=0,13.845,1.4107,0.84194
ARGON,EXC 3D5 J=1 RESONANT,13.864,5.4408,0.42871
ARGON,EXC 3D3 J=2,13.903,4.8589,0.45366
ARGON,EXC 3D4! J=4,13.979,4.7744,0.45766
ARGON,EXC 3D4 J=3,14.013,1.9404,0.71788
ARGON,EXC 3D1!! J=2,14.063,2.0126,0.70489
ARGON,EXC 2S5 J=2,14.068,2.0128,0.70485
ARGON,EXC 2S4 J=1 RESONANT,14.09,3.7135,0.51893
ARGON,EXC 3D1! J=3,14.099,0.6604,1.23054
ARGON,EXC 3D2 J=1 RESONANT,14.153,10.5555,0.30779
ARGON,EXC 3S1!!!!J=2,14.214,2.4345,0.64091
ARGON,EXC 3S1!! J=2,14.234,1.5617,0.8002
ARGON,EXC 3S1!!! J=3,14.236,0.9963,1.00186
ARGON,EXC 2S3 J=0,14.241,0.3993,1.58252
ARGON,EXC 2S2 J=1 RESONANT,14.255,1.5576,0.80126
ARGON,EXC 3S1! J=1 RESONANT,14.304,12.7718,0.27982
ARGON,EXC 4D5 J=1 RESONANT,14.711,0.2451,2.01989
ARGON,EXC 3S4 J=1 RESONANT,14.848,1.8344,0.73833
ARGON,EXC 4D2 J=1 RESONANT,14.859,6.102,0.40482
ARGON,EXC 4S1! J=1 RESONANT,15.004,2.6057,0.61949
ARGON,EXC 3S2 J=1 RESONANT,15.022,2.7313,0.60508
ARGON,EXC 5D5 J=1 RESONANT,15.118,0.4893,1.42959
ARGON,EXC 4S4 J=1 RESONANT,15.186,5.1439,0.44091
ARGON,EXC 5D2 J=1 RESONANT,15.19,5.1755,0.43957
ARGON,EXC 6D5 J=1 RESONANT,15.308,0.0901,3.33148
ARGON,EXC 5S1! J=1 RESONANT,15.351,0.0622,4.00963
ARGON,EXC 4S2 J=1 RESONANT,15.36,0.0887,3.35767
ARGON,EXC 5S4 J=1 RESONANT,15.366,1.543,0.80504
ARGON,EXC 6D2 J=1 RESONANT,15.374,3.4319,0.5398
ARGON,EXC HIGH J=1 RESONANT,15.66,14.8413,0.25958
ARGON,BREMSSTRAHLUNG FROM ARGON ATOM,,0.0057,13.24532
