Gas  , Proceso                       , Energia   , Eventos    , Error%
ARGON, ELASTIC ANISOTROPIC ARGON     ,           , 225315.6577,  0.00211
ARGON, IONISATION CHARGE STATE =1    ,   15.75961,    478.0852,  0.04573
ARGON, IONISATION CHARGE STATE =2    ,   43.38928,     19.686 ,  0.22538
ARGON, IONISATION CHARGE STATE =3    ,   84.124  ,      2.3573,  0.65132
ARGON, IONISATION L3 SHELL           ,  248.4    ,      4.7701,  0.45786
ARGON, IONISATION L2 SHELL           ,  250.6    ,      2.3255,  0.65576
ARGON, IONISATION L1 SHELL           ,  326.3    ,      1.1108,  0.94882
ARGON, IONISATION K SHELL            , 3205.9    ,      0.0229,  6.60819
ARGON, ATTACHMENT                    ,           ,      0.0   ,  0.0
ARGON, EXC 1S5 J=2 METASTABLE        ,   11.548  ,     21.46  ,  0.21587
ARGON, EXC 1S4 J=1 RESONANT          ,   11.624  ,     30.9285,  0.17981
ARGON, EXC 1S3 J=0 METASTABLE        ,   11.723  ,      4.1222,  0.49253
ARGON, EXC 1S2 J=1 RESONANT          ,   11.828  ,     63.69  ,  0.1253
ARGON, EXC 2P10 J=1                  ,   12.907  ,      2.3614,  0.65075
ARGON, EXC 2P9 J=3                   ,   13.076  ,      3.4036,  0.54204
ARGON, EXC 2P8 J=2                   ,   13.095  ,      3.407 ,  0.54177
ARGON, EXC 2P7 J=1                   ,   13.153  ,      1.9003,  0.72542
ARGON, EXC 2P6 J=2                   ,   13.172  ,      3.1317,  0.56508
ARGON, EXC 2P5 J=0                   ,   13.273  ,      1.6182,  0.78611
ARGON, EXC 2P4 J=1                   ,   13.283  ,      1.823 ,  0.74064
ARGON, EXC 2P3 J=2                   ,   13.302  ,      2.1351,  0.68437
ARGON, EXC 2P2 J=1                   ,   13.328  ,      1.0826,  0.96109
ARGON, EXC 2P1 J=0                   ,   13.48   ,      5.4102,  0.42993
ARGON, EXC 3D6 J=0                   ,   13.845  ,      1.3872,  0.84904
ARGON, EXC 3D5 J=1 RESONANT          ,   13.864  ,      5.4445,  0.42857
ARGON, EXC 3D3 J=2                   ,   13.903  ,      4.8576,  0.45372
ARGON, EXC 3D4! J=4                  ,   13.979  ,      4.7522,  0.45873
ARGON, EXC 3D4 J=3                   ,   14.013  ,      1.9414,  0.7177
ARGON, EXC 3D1!! J=2                 ,   14.063  ,      2.001 ,  0.70693
ARGON, EXC 2S5 J=2                   ,   14.068  ,      2.0015,  0.70684
ARGON, EXC 2S4 J=1 RESONANT          ,   14.09   ,      3.6346,  0.52453
ARGON, EXC 3D1! J=3                  ,   14.099  ,      0.68  ,  1.21268
ARGON, EXC 3D2 J=1 RESONANT          ,   14.153  ,     10.4166,  0.30984
ARGON, EXC 3S1!!!!J=2                ,   14.214  ,      2.4301,  0.64149
ARGON, EXC 3S1!! J=2                 ,   14.234  ,      1.4975,  0.81718
ARGON, EXC 3S1!!! J=3                ,   14.236  ,      0.9717,  1.01446
ARGON, EXC 2S3 J=0                   ,   14.241  ,      0.385 ,  1.61165
ARGON, EXC 2S2 J=1 RESONANT          ,   14.255  ,      1.5297,  0.80853
ARGON, EXC 3S1! J=1 RESONANT         ,   14.304  ,     12.5804,  0.28194
ARGON, EXC 4D5 J=1 RESONANT          ,   14.711  ,      0.2401,  2.04082
ARGON, EXC 3S4 J=1 RESONANT          ,   14.848  ,      1.8089,  0.74352
ARGON, EXC 4D2 J=1 RESONANT          ,   14.859  ,      6.0695,  0.4059
ARGON, EXC 4S1! J=1 RESONANT         ,   15.004  ,      2.5225,  0.62963
ARGON, EXC 3S2 J=1 RESONANT          ,   15.022  ,      2.6989,  0.6087
ARGON, EXC 5D5 J=1 RESONANT          ,   15.118  ,      0.4991,  1.41549
ARGON, EXC 4S4 J=1 RESONANT          ,   15.186  ,      5.0894,  0.44327
ARGON, EXC 5D2 J=1 RESONANT          ,   15.19   ,      5.0902,  0.44323
ARGON, EXC 6D5 J=1 RESONANT          ,   15.308  ,      0.0915,  3.3059
ARGON, EXC 5S1! J=1 RESONANT         ,   15.351  ,      0.0577,  4.16305
ARGON, EXC 4S2 J=1 RESONANT          ,   15.36   ,      0.0856,  3.41793
ARGON, EXC 5S4 J=1 RESONANT          ,   15.366  ,      1.5009,  0.81625
ARGON, EXC 6D2 J=1 RESONANT          ,   15.374  ,      3.3571,  0.54578
ARGON, EXC HIGH J=1 RESONANT         ,   15.66   ,     14.5268,  0.26237
ARGON, BREMSSTRAHLUNG FROM ARGON ATOM,           ,      0.0052, 13.8675
