Gas,Proceso,Energia,Eventos,Error%
CF4,ELASTIC ANISOTROPIC CF4,,1910.8707,0.02288
CF4,ION CF3 +,15.7,14.4158,0.26338
CF4,ION CF2 +,21.47,1.0358,0.98257
CF4,ION CF +,29.14,0.8054,1.11428
CF4,ION F +,34.5,1.3847,0.84981
CF4,ION C +,34.77,0.8125,1.1094
CF4,"DOUBLE ION CF3 + , F +",36.0,0.1209,2.87599
CF4,"DOUBLE ION CF2 + , F +",40.0,0.1529,2.55739
CF4,IONS CF3 ++ OR CF2 ++,41.0,0.2162,2.15066
CF4,"DOUBLE ION CF + , F +",43.0,0.3886,1.60416
CF4,"DOUBLE ION C + , F +",63.0,0.1584,2.51259
CF4,IONISATION CARBON K-SHELL,285.0,0.0322,5.57278
CF4,IONISATION FLUORINE K-SHELL,685.4,0.0337,5.44735
CF4,ATTACHMENT,,1.0633,0.96978
CF4,VIB V2 ANISOTROPIC,-0.0539,0.0804,3.52673
CF4,VIB V2 ANISOTROPIC,0.0539,0.9201,1.04252
CF4,VIB V4 ANISOTROPIC,-0.0783,5.6012,0.42253
CF4,VIB V4 ANISOTROPIC,0.0783,172.1766,0.07621
CF4,VIB V1 ANISOTROPIC,-0.1126,0.496,1.4199
CF4,VIB V1 ANISOTROPIC,0.1126,58.4319,0.13082
CF4,VIB V3 ANISOTROPIC,-0.1588,0.8513,1.08382
CF4,VIB V3 ANISOTROPIC,0.1588,617.7719,0.04023
CF4,VIB 2V3 ANISOTROPIC,0.3176,103.407,0.09834
CF4,VIB HARMONIC ANISOTROPIC,0.4764,362.8619,0.0525
CF4,NEUTRAL DISS NON-DIPOLE,11.5,0.1704,2.42251
CF4,NEUTRAL DISS DIPOLE F=0.000189,11.63,0.0009,33.33333
CF4,NEUTRAL DISS DIPOLE F=0.001085,11.88,0.0056,13.36306
CF4,NEUTRAL DISS DIPOLE F=0.004807,12.13,0.0235,6.52328
CF4,NEUTRAL DISS DIPOLE F=0.008819,12.38,0.0414,4.91473
CF4,NEUTRAL DISS NON-DIPOLE,12.5,0.2871,1.86631
CF4,NEUTRAL DISS DIPOLE F=0.008918,12.63,0.0379,5.13665
CF4,NEUTRAL DISS DIPOLE F=0.008420,12.88,0.0322,5.57278
CF4,NEUTRAL DISS DIPOLE F=0.02531,13.13,0.0938,3.26512
CF4,NEUTRAL DISS DIPOLE F=0.09553,13.38,0.3126,1.78857
CF4,NEUTRAL DISS DIPOLE F=0.11193,13.63,0.35,1.69031
CF4,NEUTRAL DISS DIPOLE F=0.10103,13.88,0.2991,1.82849
CF4,NEUTRAL DISS NON-DIPOLE,14.0,0.5848,1.30766
CF4,NEUTRAL DISS DIPOLE F=0.06902,14.13,0.1982,2.2462
CF4,NEUTRAL DISS DIPOLE F=0.03968,14.38,0.1113,2.99745
CF4,NEUTRAL DISS DIPOLE F=0.02584,14.63,0.0632,3.97779
CF4,NEUTRAL DISS DIPOLE F=0.02071,14.88,0.0508,4.43678
CF4,NEUTRAL DISS DIPOLE F=0.03122,15.13,0.0766,3.61315
CF4,NEUTRAL DISS DIPOLE F=0.05580,15.38,0.1322,2.75033
CF4,NEUTRAL DISS DIPOLE F=0.10187,15.63,0.2193,2.13541
CF4,NEUTRAL DISS DIPOLE F=0.09427,15.88,0.2109,2.17752
CF4,NEUTRAL DISS DIPOLE F=0.05853,16.13,0.1325,2.74721
CF4,NEUTRAL DISS DIPOLE F=0.06002,16.38,0.1181,2.90988
CF4,NEUTRAL DISS DIPOLE F=0.05647,16.63,0.1138,2.96435
CF4,NEUTRAL DISS DIPOLE F=0.04885,16.88,0.0934,3.2721
CF4,NEUTRAL DISS DIPOLE F=0.04036,17.13,0.0728,3.70625
CF4,NEUTRAL DISS DIPOLE F=0.03298,17.38,0.0572,4.18121
CF4,NEUTRAL DISS DIPOLE F=0.02593,17.63,0.0416,4.9029
CF4,NEUTRAL DISS DIPOLE F=0.01802,17.88,0.0323,5.56415
CF4,NEUTRAL DISS DIPOLE F=0.01287,18.13,0.0246,6.37577
CF4,NEUTRAL DISS DIPOLE F=0.00830,18.38,0.0145,8.30455
CF4,NEUTRAL DISS DIPOLE F=0.00698,18.63,0.0119,9.16698
CF4,NEUTRAL DISS DIPOLE F=0.00581,18.88,0.0082,11.04315
CF4,NEUTRAL DISS DIPOLE F=0.00502,19.13,0.006,12.90994
CF4,NEUTRAL DISS DIPOLE F=0.00398,19.38,0.0066,12.30915
CF4,NEUTRAL DISS DIPOLE F=0.00189,19.63,0.0025,20.0
CF4,BREMSSTRAHLUNG FROM CARBON ATOM,,0.0,0.0
CF4,BREMSSTRAHLUNG FROM FLUORINE ATOMS,,0.0,0.0
