Gas,Proceso,Energia,Eventos,Error%
ARGON,ELASTIC ANISOTROPIC ARGON,,365568.5381,0.00165
ARGON,IONISATION CHARGE STATE =1,15.75961,482.7403,0.04551
ARGON,IONISATION CHARGE STATE =2,43.38928,19.8696,0.22434
ARGON,IONISATION CHARGE STATE =3,84.124,2.3805,0.64814
ARGON,IONISATION L3 SHELL,248.4,4.7977,0.45654
ARGON,IONISATION L2 SHELL,250.6,2.342,0.65344
ARGON,IONISATION L1 SHELL,326.3,1.1455,0.93433
ARGON,IONISATION K SHELL,3205.9,0.0236,6.50945
ARGON,ATTACHMENT,,0.0,0.0
ARGON,EXC 1S5 J=2 METASTABLE,11.548,22.4199,0.21119
ARGON,EXC 1S4 J=1 RESONANT,11.624,32.191,0.17625
ARGON,EXC 1S3 J=0 METASTABLE,11.723,4.328,0.48068
ARGON,EXC 1S2 J=1 RESONANT,11.828,64.6816,0.12434
ARGON,EXC 2P10 J=1,12.907,2.3626,0.65059
ARGON,EXC 2P9 J=3,13.076,3.4621,0.53744
ARGON,EXC 2P8 J=2,13.095,3.4657,0.53716
ARGON,EXC 2P7 J=1,13.153,1.9403,0.7179
ARGON,EXC 2P6 J=2,13.172,3.1367,0.56463
ARGON,EXC 2P5 J=0,13.273,1.6487,0.77881
ARGON,EXC 2P4 J=1,13.283,1.8315,0.73892
ARGON,EXC 2P3 J=2,13.302,2.1688,0.67903
ARGON,EXC 2P2 J=1,13.328,1.0872,0.95906
ARGON,EXC 2P1 J=0,13.48,5.4258,0.42931
ARGON,EXC 3D6 J=0,13.845,1.3673,0.8552
ARGON,EXC 3D5 J=1 RESONANT,13.864,5.4657,0.42774
ARGON,EXC 3D3 J=2,13.903,4.8472,0.45421
ARGON,EXC 3D4! J=4,13.979,4.8098,0.45597
ARGON,EXC 3D4 J=3,14.013,1.943,0.7174
ARGON,EXC 3D1!! J=2,14.063,2.0155,0.70438
ARGON,EXC 2S5 J=2,14.068,2.0168,0.70416
ARGON,EXC 2S4 J=1 RESONANT,14.09,3.7084,0.51929
ARGON,EXC 3D1! J=3,14.099,0.6681,1.22343
ARGON,EXC 3D2 J=1 RESONANT,14.153,10.5261,0.30822
ARGON,EXC 3S1!!!!J=2,14.214,2.434,0.64097
ARGON,EXC 3S1!! J=2,14.234,1.5435,0.80491
ARGON,EXC 3S1!!! J=3,14.236,0.9844,1.00789
ARGON,EXC 2S3 J=0,14.241,0.4025,1.57622
ARGON,EXC 2S2 J=1 RESONANT,14.255,1.5444,0.80467
ARGON,EXC 3S1! J=1 RESONANT,14.304,12.7211,0.28037
ARGON,EXC 4D5 J=1 RESONANT,14.711,0.2506,1.9976
ARGON,EXC 3S4 J=1 RESONANT,14.848,1.8108,0.74313
ARGON,EXC 4D2 J=1 RESONANT,14.859,6.0721,0.40582
ARGON,EXC 4S1! J=1 RESONANT,15.004,2.5674,0.6241
ARGON,EXC 3S2 J=1 RESONANT,15.022,2.7334,0.60485
ARGON,EXC 5D5 J=1 RESONANT,15.118,0.5044,1.40803
ARGON,EXC 4S4 J=1 RESONANT,15.186,5.1278,0.44161
ARGON,EXC 5D2 J=1 RESONANT,15.19,5.1189,0.44199
ARGON,EXC 6D5 J=1 RESONANT,15.308,0.0859,3.41196
ARGON,EXC 5S1! J=1 RESONANT,15.351,0.0553,4.25243
ARGON,EXC 4S2 J=1 RESONANT,15.36,0.0875,3.38062
ARGON,EXC 5S4 J=1 RESONANT,15.366,1.5064,0.81476
ARGON,EXC 6D2 J=1 RESONANT,15.374,3.3911,0.54304
ARGON,EXC HIGH J=1 RESONANT,15.66,14.707,0.26076
ARGON,BREMSSTRAHLUNG FROM ARGON ATOM,,0.0054,13.60828
