Gas,Proceso,Energia,Eventos,Error%
CF4,ELASTIC ANISOTROPIC CF4,,4143.6643,0.01553
CF4,ION CF3 +,15.7,120.4904,0.0911
CF4,ION CF2 +,21.47,8.5208,0.34258
CF4,ION CF +,29.14,6.5136,0.39182
CF4,ION F +,34.5,11.2261,0.29846
CF4,ION C +,34.77,6.5036,0.39212
CF4,"DOUBLE ION CF3 + , F +",36.0,0.9798,1.01026
CF4,"DOUBLE ION CF2 + , F +",40.0,1.2158,0.90692
CF4,IONS CF3 ++ OR CF2 ++,41.0,1.6894,0.76937
CF4,"DOUBLE ION CF + , F +",43.0,2.9692,0.58034
CF4,"DOUBLE ION C + , F +",63.0,1.3103,0.8736
CF4,IONISATION CARBON K-SHELL,285.0,0.2648,1.94331
CF4,IONISATION FLUORINE K-SHELL,685.4,0.275,1.90693
CF4,ATTACHMENT,,1.379,0.85157
CF4,VIB V2 ANISOTROPIC,-0.0539,0.1444,2.63158
CF4,VIB V2 ANISOTROPIC,0.0539,1.7333,0.75956
CF4,VIB V4 ANISOTROPIC,-0.0783,8.6447,0.34011
CF4,VIB V4 ANISOTROPIC,0.0783,265.8318,0.06133
CF4,VIB V1 ANISOTROPIC,-0.1126,0.7608,1.14648
CF4,VIB V1 ANISOTROPIC,0.1126,90.4048,0.10517
CF4,VIB V3 ANISOTROPIC,-0.1588,1.3295,0.86727
CF4,VIB V3 ANISOTROPIC,0.1588,988.7774,0.0318
CF4,VIB 2V3 ANISOTROPIC,0.3176,158.3207,0.07948
CF4,VIB HARMONIC ANISOTROPIC,0.4764,554.5763,0.04246
CF4,NEUTRAL DISS NON-DIPOLE,11.5,1.3712,0.85398
CF4,NEUTRAL DISS DIPOLE F=0.000189,11.63,0.0101,9.95037
CF4,NEUTRAL DISS DIPOLE F=0.001085,11.88,0.0442,4.75651
CF4,NEUTRAL DISS DIPOLE F=0.004807,12.13,0.2006,2.23272
CF4,NEUTRAL DISS DIPOLE F=0.008819,12.38,0.3339,1.73058
CF4,NEUTRAL DISS NON-DIPOLE,12.5,2.594,0.62089
CF4,NEUTRAL DISS DIPOLE F=0.008918,12.63,0.3133,1.78657
CF4,NEUTRAL DISS DIPOLE F=0.008420,12.88,0.2827,1.88078
CF4,NEUTRAL DISS DIPOLE F=0.02531,13.13,0.7858,1.12809
CF4,NEUTRAL DISS DIPOLE F=0.09553,13.38,2.8244,0.59503
CF4,NEUTRAL DISS DIPOLE F=0.11193,13.63,3.1214,0.56601
CF4,NEUTRAL DISS DIPOLE F=0.10103,13.88,2.6768,0.61121
CF4,NEUTRAL DISS NON-DIPOLE,14.0,5.9274,0.41074
CF4,NEUTRAL DISS DIPOLE F=0.06902,14.13,1.722,0.76205
CF4,NEUTRAL DISS DIPOLE F=0.03968,14.38,0.952,1.0249
CF4,NEUTRAL DISS DIPOLE F=0.02584,14.63,0.5943,1.29717
CF4,NEUTRAL DISS DIPOLE F=0.02071,14.88,0.4435,1.5016
CF4,NEUTRAL DISS DIPOLE F=0.03122,15.13,0.6556,1.23504
CF4,NEUTRAL DISS DIPOLE F=0.05580,15.38,1.1375,0.93761
CF4,NEUTRAL DISS DIPOLE F=0.10187,15.63,1.9796,0.71074
CF4,NEUTRAL DISS DIPOLE F=0.09427,15.88,1.7757,0.75044
CF4,NEUTRAL DISS DIPOLE F=0.05853,16.13,1.0774,0.96341
CF4,NEUTRAL DISS DIPOLE F=0.06002,16.38,1.0545,0.97382
CF4,NEUTRAL DISS DIPOLE F=0.05647,16.63,0.9485,1.02679
CF4,NEUTRAL DISS DIPOLE F=0.04885,16.88,0.824,1.10163
CF4,NEUTRAL DISS DIPOLE F=0.04036,17.13,0.6433,1.24679
CF4,NEUTRAL DISS DIPOLE F=0.03298,17.38,0.5131,1.39604
CF4,NEUTRAL DISS DIPOLE F=0.02593,17.63,0.391,1.59923
CF4,NEUTRAL DISS DIPOLE F=0.01802,17.88,0.2603,1.96003
CF4,NEUTRAL DISS DIPOLE F=0.01287,18.13,0.1817,2.34597
CF4,NEUTRAL DISS DIPOLE F=0.00830,18.38,0.1152,2.94628
CF4,NEUTRAL DISS DIPOLE F=0.00698,18.63,0.0967,3.21578
CF4,NEUTRAL DISS DIPOLE F=0.00581,18.88,0.0767,3.61079
CF4,NEUTRAL DISS DIPOLE F=0.00502,19.13,0.0638,3.95904
CF4,NEUTRAL DISS DIPOLE F=0.00398,19.38,0.0531,4.33963
CF4,NEUTRAL DISS DIPOLE F=0.00189,19.63,0.0232,6.56532
CF4,BREMSSTRAHLUNG FROM CARBON ATOM,,0.0001,100.0
CF4,BREMSSTRAHLUNG FROM FLUORINE ATOMS,,0.0006,40.82483
