,parameter,uncertainty
PAr_star_696,0.00036920701187257316,0.00012020637882011276
tau_N2_696,28.3,0.1
K_Ar_Q_Ar_696,0.04950143885293371,0.024106662215853943
K_Ar_Q_N2_696,12.819523235232609,4.713707583891325
PAr_star_727,0.009390703024306774,2.264977395293338
tau_N2_727,28.3,0.1
K_Ar_Q_Ar_727,10.933533842127682,2643.996115825041
K_Ar_Q_N2_727,999.9191311144534,241182.55854994527
PAr_star_750,0.019999999999999997,0.8710109152776677
tau_N2_750,21.7,0.1
K_Ar_Q_Ar_750,12.223832091649019,533.9783183519934
K_Ar_Q_N2_750,36.19882004814383,1578.1741148675426
PAr_star_764,0.019999999999999997,0.20190873668743511
tau_N2_764,29.4,0.1
K_Ar_Q_Ar_764,4.08732492040673,41.540747531618265
K_Ar_Q_N2_764,54.81206253334499,553.6783332384591
PAr_star_772,0.0017788086723167867,0.0007816688974410463
tau_N2_772,28.3,0.1
K_Ar_Q_Ar_772,0.15037955961849617,0.07800707538655671
K_Ar_Q_N2_772,37.54289713950395,16.82428998463425
PAr_star_794,4.4257864394046995e-05,0.00015453687044429294
tau_N2_794,29.3,0.1
K_Ar_Q_Ar_794,0.11649055455867165,0.49485911067645366
K_Ar_Q_N2_794,3.690506784500372e-76,0.5403149894314578
