,Model_1_value,Model_1_uncertainty,Model_1_value_pm_uncertainty,Model_1_siunitx_uncertainty,Model_1_rel_err_percent,Model_1_rel_err_percent_fmt
Nnorm,0.23016659022637115,0.10598596284448836,0.23 ± 0.11,0.23(11),46.04750096017415,46
PCF3dir vis$,0.10634695329889639,0.0492408038105363,0.106 ± 0.049,0.106(49),46.302035256375596,46
PAr**,0.16647483494852175,0.07691350538168443,0.166 ± 0.077,0.166(77),46.20128045507181,46
KAr**QAr,0.3241606687174693,0.31422008781047,0.32 ± 0.31,0.32(31),96.93344015289429,97
KAr**QCF4,7.324822776621162,6.831192129073958,7.3 ± 6.8,7.3(68),93.26085200146086,93
1/tauDiscKrelax,0.0068014379419375276,0.003653947635369721,(6.8 ± 3.7)e-3,6.8(37)e-3,53.72316363925861,54
tauUvKCF4QCF4,0.06500000000000002,0.03436114847351707,(6.5 ± 3.4)e-2,6.5(34)e-2,52.863305343872405,53
PCF4dir,0.2973057101191408,0.13800659796094997,0.30 ± 0.14,0.30(14),46.41908758013625,46
KAr++QCF4,50.00000000000001,83.44789520369653,50 ± 83,50(83),166.89579040739304,170
PAr++,0.4143345008646957,0.21896170449497307,0.41 ± 0.22,0.41(22),52.846601969667205,53
PCF3dir uv$,6.895394273848674e-36,0.0856501123780437,(0.0 ± 8.6)e-2,0.0(86)e-2,1.2421350973776583e+36,1.2e36
