,parameter,uncertainty
PAr_star_696,0.013612067856167614,0.0049573221477512575
tau_N2_696,28.3,0.1
K_Ar_Q_Ar_696,0.022926511778244018,0.013330694153647826
K_Ar_Q_N2_696,2.1413442713912567,0.8143134501884384
PAr_star_727,0.003147493553029618,0.0012021969090029105
tau_N2_727,28.3,0.1
K_Ar_Q_Ar_727,0.022780808590669114,0.015541130808561883
K_Ar_Q_N2_727,1.3880027702612139,1.2182167675401978
PAr_star_750,0.01609974911154266,0.008654116622966404
tau_N2_750,21.7,0.1
K_Ar_Q_Ar_750,0.11161535100849987,0.07120509156050044
K_Ar_Q_N2_750,0.5766497876524135,0.3724060965091836
PAr_star_764,0.03796666882094023,0.02851034976123318
tau_N2_764,29.4,0.1
K_Ar_Q_Ar_764,0.08214157847717171,0.07237893908228547
K_Ar_Q_N2_764,3.3288746396281113,2.5415952370142807
PAr_star_772,0.02822997305197715,0.01097286721009641
tau_N2_772,28.3,0.1
K_Ar_Q_Ar_772,0.024745372389048847,0.014797863547422989
K_Ar_Q_N2_772,2.102783099020596,0.8590220622218525
