,parameter,uncertainty
Nnorm,0.01039678498145322,13376.161723350682
P_N2,0.06310266375893259,81185.80447756428
tau_N2,37.80718336483932,0.376
K_N2_Q_N2,0.17563760435855832,0.09308010003081264
K_N2_Q_Ar,0.026084459249999994,0.014214497250369811
K_ArMeta_Q_N2c,0.49537847643774185,1186964.2712085117
K_ArMeta_Q_N2b,0.026125280000002627,672136.460194438
K_ArMeta_Q_2Ar,0.011894999999999378,31974.71493006926
K_ArRes_Q_N2c,0.699618682947779,882745.3051168993
K_ArRes_Q_N2b,0.2755400624999999,908371.3373272986
K_ArRes_Q_2Ar,0.0006160000000000001,62.40126314659983
P_N2,0.03406089929253043,0.2804947250531815
P_N2,0.9999999999999716,13.429183292411242
