Gas,Proceso,Energia,Eventos,Error%
ARGON,ELASTIC ANISOTROPIC ARGON,,22676.5757,0.00664
ARGON,IONISATION CHARGE STATE =1,15.75961,329.7828,0.05507
ARGON,IONISATION CHARGE STATE =2,43.38928,12.6742,0.28089
ARGON,IONISATION CHARGE STATE =3,84.124,1.5085,0.81419
ARGON,IONISATION L3 SHELL,248.4,3.0475,0.57283
ARGON,IONISATION L2 SHELL,250.6,1.512,0.81325
ARGON,IONISATION L1 SHELL,326.3,0.7122,1.18495
ARGON,IONISATION K SHELL,3205.9,0.0122,9.05357
ARGON,ATTACHMENT,,0.0,0.0
ARGON,EXC 1S5 J=2 METASTABLE,11.548,11.387,0.29634
ARGON,EXC 1S4 J=1 RESONANT,11.624,18.222,0.23426
ARGON,EXC 1S3 J=0 METASTABLE,11.723,2.2069,0.67315
ARGON,EXC 1S2 J=1 RESONANT,11.828,42.8642,0.15274
ARGON,EXC 2P10 J=1,12.907,1.8155,0.74217
ARGON,EXC 2P9 J=3,13.076,2.6441,0.61498
ARGON,EXC 2P8 J=2,13.095,2.6213,0.61765
ARGON,EXC 2P7 J=1,13.153,1.5426,0.80514
ARGON,EXC 2P6 J=2,13.172,2.4165,0.64329
ARGON,EXC 2P5 J=0,13.273,1.265,0.88911
ARGON,EXC 2P4 J=1,13.283,1.4721,0.8242
ARGON,EXC 2P3 J=2,13.302,1.6946,0.76819
ARGON,EXC 2P2 J=1,13.328,0.843,1.08915
ARGON,EXC 2P1 J=0,13.48,4.2197,0.48681
ARGON,EXC 3D6 J=0,13.845,1.1161,0.94656
ARGON,EXC 3D5 J=1 RESONANT,13.864,4.4518,0.47395
ARGON,EXC 3D3 J=2,13.903,3.9867,0.50083
ARGON,EXC 3D4! J=4,13.979,3.9521,0.50302
ARGON,EXC 3D4 J=3,14.013,1.5769,0.79634
ARGON,EXC 3D1!! J=2,14.063,1.656,0.77709
ARGON,EXC 2S5 J=2,14.068,1.6849,0.77039
ARGON,EXC 2S4 J=1 RESONANT,14.09,2.6018,0.61996
ARGON,EXC 3D1! J=3,14.099,0.5156,1.39266
ARGON,EXC 3D2 J=1 RESONANT,14.153,7.425,0.36699
ARGON,EXC 3S1!!!!J=2,14.214,2.0248,0.70276
ARGON,EXC 3S1!! J=2,14.234,1.2842,0.88244
ARGON,EXC 3S1!!! J=3,14.236,0.7687,1.14057
ARGON,EXC 2S3 J=0,14.241,0.343,1.70747
ARGON,EXC 2S2 J=1 RESONANT,14.255,1.077,0.96359
ARGON,EXC 3S1! J=1 RESONANT,14.304,8.8873,0.33544
ARGON,EXC 4D5 J=1 RESONANT,14.711,0.1658,2.45588
ARGON,EXC 3S4 J=1 RESONANT,14.848,1.2539,0.89304
ARGON,EXC 4D2 J=1 RESONANT,14.859,4.2551,0.48478
ARGON,EXC 4S1! J=1 RESONANT,15.004,1.7891,0.74762
ARGON,EXC 3S2 J=1 RESONANT,15.022,1.8576,0.73371
ARGON,EXC 5D5 J=1 RESONANT,15.118,0.3449,1.70276
ARGON,EXC 4S4 J=1 RESONANT,15.186,3.5259,0.53256
ARGON,EXC 5D2 J=1 RESONANT,15.19,3.5422,0.53133
ARGON,EXC 6D5 J=1 RESONANT,15.308,0.0634,3.97151
ARGON,EXC 5S1! J=1 RESONANT,15.351,0.0384,5.1031
ARGON,EXC 4S2 J=1 RESONANT,15.36,0.0586,4.13096
ARGON,EXC 5S4 J=1 RESONANT,15.366,1.0565,0.97289
ARGON,EXC 6D2 J=1 RESONANT,15.374,2.3512,0.65216
ARGON,EXC HIGH J=1 RESONANT,15.66,10.1976,0.31315
ARGON,BREMSSTRAHLUNG FROM ARGON ATOM,,0.003,18.25742
