Gas,Proceso,Energia,Eventos,Error%
CF4,ELASTIC ANISOTROPIC CF4,,879.9258,0.03371
CF4,ION CF3 +,15.7,1.4748,0.82344
CF4,ION CF2 +,21.47,0.1072,3.05424
CF4,ION CF +,29.14,0.0805,3.52454
CF4,ION F +,34.5,0.1486,2.59412
CF4,ION C +,34.77,0.0805,3.52454
CF4,"DOUBLE ION CF3 + , F +",36.0,0.0113,9.40721
CF4,"DOUBLE ION CF2 + , F +",40.0,0.0179,7.47435
CF4,IONS CF3 ++ OR CF2 ++,41.0,0.0223,6.6965
CF4,"DOUBLE ION CF + , F +",43.0,0.0367,5.21996
CF4,"DOUBLE ION C + , F +",63.0,0.0146,8.27606
CF4,IONISATION CARBON K-SHELL,285.0,0.0035,16.90309
CF4,IONISATION FLUORINE K-SHELL,685.4,0.0045,14.90712
CF4,ATTACHMENT,,0.6559,1.23476
CF4,VIB V2 ANISOTROPIC,-0.0539,0.0364,5.24142
CF4,VIB V2 ANISOTROPIC,0.0539,0.4236,1.53646
CF4,VIB V4 ANISOTROPIC,-0.0783,2.9464,0.58258
CF4,VIB V4 ANISOTROPIC,0.0783,90.7916,0.10495
CF4,VIB V1 ANISOTROPIC,-0.1126,0.2659,1.93928
CF4,VIB V1 ANISOTROPIC,0.1126,30.8373,0.18008
CF4,VIB V3 ANISOTROPIC,-0.1588,0.4363,1.51394
CF4,VIB V3 ANISOTROPIC,0.1588,318.6789,0.05602
CF4,VIB 2V3 ANISOTROPIC,0.3176,54.9879,0.13485
CF4,VIB HARMONIC ANISOTROPIC,0.4764,191.8931,0.07219
CF4,NEUTRAL DISS NON-DIPOLE,11.5,0.0195,7.16115
CF4,NEUTRAL DISS DIPOLE F=0.000189,11.63,0.0,0.0
CF4,NEUTRAL DISS DIPOLE F=0.001085,11.88,0.0006,40.82483
CF4,NEUTRAL DISS DIPOLE F=0.004807,12.13,0.0015,25.81989
CF4,NEUTRAL DISS DIPOLE F=0.008819,12.38,0.0051,14.0028
CF4,NEUTRAL DISS NON-DIPOLE,12.5,0.0288,5.89256
CF4,NEUTRAL DISS DIPOLE F=0.008918,12.63,0.0045,14.90712
CF4,NEUTRAL DISS DIPOLE F=0.008420,12.88,0.0031,17.96053
CF4,NEUTRAL DISS DIPOLE F=0.02531,13.13,0.0104,9.80581
CF4,NEUTRAL DISS DIPOLE F=0.09553,13.38,0.0325,5.547
CF4,NEUTRAL DISS DIPOLE F=0.11193,13.63,0.0398,5.01255
CF4,NEUTRAL DISS DIPOLE F=0.10103,13.88,0.0319,5.59893
CF4,NEUTRAL DISS NON-DIPOLE,14.0,0.0583,4.14158
CF4,NEUTRAL DISS DIPOLE F=0.06902,14.13,0.0181,7.43294
CF4,NEUTRAL DISS DIPOLE F=0.03968,14.38,0.0114,9.36586
CF4,NEUTRAL DISS DIPOLE F=0.02584,14.63,0.0055,13.484
CF4,NEUTRAL DISS DIPOLE F=0.02071,14.88,0.0051,14.0028
CF4,NEUTRAL DISS DIPOLE F=0.03122,15.13,0.0071,11.86782
CF4,NEUTRAL DISS DIPOLE F=0.05580,15.38,0.014,8.45154
CF4,NEUTRAL DISS DIPOLE F=0.10187,15.63,0.0232,6.56532
CF4,NEUTRAL DISS DIPOLE F=0.09427,15.88,0.0215,6.81994
CF4,NEUTRAL DISS DIPOLE F=0.05853,16.13,0.0114,9.36586
CF4,NEUTRAL DISS DIPOLE F=0.06002,16.38,0.0135,8.60663
CF4,NEUTRAL DISS DIPOLE F=0.05647,16.63,0.0127,8.87357
CF4,NEUTRAL DISS DIPOLE F=0.04885,16.88,0.0082,11.04315
CF4,NEUTRAL DISS DIPOLE F=0.04036,17.13,0.0082,11.04315
CF4,NEUTRAL DISS DIPOLE F=0.03298,17.38,0.0061,12.80369
CF4,NEUTRAL DISS DIPOLE F=0.02593,17.63,0.0048,14.43376
CF4,NEUTRAL DISS DIPOLE F=0.01802,17.88,0.0028,18.89822
CF4,NEUTRAL DISS DIPOLE F=0.01287,18.13,0.0022,21.32007
CF4,NEUTRAL DISS DIPOLE F=0.00830,18.38,0.0011,30.15113
CF4,NEUTRAL DISS DIPOLE F=0.00698,18.63,0.0009,33.33333
CF4,NEUTRAL DISS DIPOLE F=0.00581,18.88,0.0006,40.82483
CF4,NEUTRAL DISS DIPOLE F=0.00502,19.13,0.0006,40.82483
CF4,NEUTRAL DISS DIPOLE F=0.00398,19.38,0.0007,37.79645
CF4,NEUTRAL DISS DIPOLE F=0.00189,19.63,0.0003,57.73503
CF4,BREMSSTRAHLUNG FROM CARBON ATOM,,0.0,0.0
CF4,BREMSSTRAHLUNG FROM FLUORINE ATOMS,,0.0,0.0
