Gas,Proceso,Energia,Eventos,Error%
ARGON,ELASTIC ANISOTROPIC ARGON,,1975182.8191,0.00071
ARGON,IONISATION CHARGE STATE =1,15.75961,391.5353,0.05054
ARGON,IONISATION CHARGE STATE =2,43.38928,16.018,0.24986
ARGON,IONISATION CHARGE STATE =3,84.124,1.9209,0.72152
ARGON,IONISATION L3 SHELL,248.4,4.1641,0.49005
ARGON,IONISATION L2 SHELL,250.6,2.05,0.69843
ARGON,IONISATION L1 SHELL,326.3,0.9687,1.01603
ARGON,IONISATION K SHELL,3205.9,0.0221,6.72673
ARGON,ATTACHMENT,,0.0,0.0
ARGON,EXC 1S5 J=2 METASTABLE,11.548,18.3229,0.23362
ARGON,EXC 1S4 J=1 RESONANT,11.624,24.676,0.20131
ARGON,EXC 1S3 J=0 METASTABLE,11.723,3.4405,0.53912
ARGON,EXC 1S2 J=1 RESONANT,11.828,50.8119,0.14029
ARGON,EXC 2P10 J=1,12.907,2.9865,0.57865
ARGON,EXC 2P9 J=3,13.076,2.7246,0.60583
ARGON,EXC 2P8 J=2,13.095,2.7383,0.60431
ARGON,EXC 2P7 J=1,13.153,1.5179,0.81167
ARGON,EXC 2P6 J=2,13.172,2.5253,0.62928
ARGON,EXC 2P5 J=0,13.273,1.3195,0.87055
ARGON,EXC 2P4 J=1,13.283,1.4849,0.82064
ARGON,EXC 2P3 J=2,13.302,1.74,0.7581
ARGON,EXC 2P2 J=1,13.328,0.8841,1.06353
ARGON,EXC 2P1 J=0,13.48,4.3507,0.47942
ARGON,EXC 3D6 J=0,13.845,1.0782,0.96305
ARGON,EXC 3D5 J=1 RESONANT,13.864,4.3358,0.48025
ARGON,EXC 3D3 J=2,13.903,3.9077,0.50587
ARGON,EXC 3D4! J=4,13.979,3.9082,0.50584
ARGON,EXC 3D4 J=3,14.013,1.5517,0.80278
ARGON,EXC 3D1!! J=2,14.063,1.6085,0.78848
ARGON,EXC 2S5 J=2,14.068,1.6226,0.78504
ARGON,EXC 2S4 J=1 RESONANT,14.09,3.0017,0.57719
ARGON,EXC 3D1! J=3,14.099,0.5355,1.36653
ARGON,EXC 3D2 J=1 RESONANT,14.153,8.5074,0.34285
ARGON,EXC 3S1!!!!J=2,14.214,1.9434,0.71733
ARGON,EXC 3S1!! J=2,14.234,1.1951,0.91474
ARGON,EXC 3S1!!! J=3,14.236,0.7927,1.12317
ARGON,EXC 2S3 J=0,14.241,0.3028,1.81728
ARGON,EXC 2S2 J=1 RESONANT,14.255,1.2534,0.89321
ARGON,EXC 3S1! J=1 RESONANT,14.304,10.3016,0.31156
ARGON,EXC 4D5 J=1 RESONANT,14.711,0.1999,2.23663
ARGON,EXC 3S4 J=1 RESONANT,14.848,1.4689,0.82509
ARGON,EXC 4D2 J=1 RESONANT,14.859,4.9385,0.44999
ARGON,EXC 4S1! J=1 RESONANT,15.004,2.0907,0.6916
ARGON,EXC 3S2 J=1 RESONANT,15.022,2.1678,0.67919
ARGON,EXC 5D5 J=1 RESONANT,15.118,0.3929,1.59536
ARGON,EXC 4S4 J=1 RESONANT,15.186,4.1522,0.49075
ARGON,EXC 5D2 J=1 RESONANT,15.19,4.11,0.49326
ARGON,EXC 6D5 J=1 RESONANT,15.308,0.0721,3.72419
ARGON,EXC 5S1! J=1 RESONANT,15.351,0.0469,4.61757
ARGON,EXC 4S2 J=1 RESONANT,15.36,0.0715,3.73979
ARGON,EXC 5S4 J=1 RESONANT,15.366,1.2169,0.90651
ARGON,EXC 6D2 J=1 RESONANT,15.374,2.7492,0.60311
ARGON,EXC HIGH J=1 RESONANT,15.66,12.0002,0.28867
ARGON,BREMSSTRAHLUNG FROM ARGON ATOM,,0.0049,14.28571
