Gas,Proceso,Energia,Eventos,Error%
ARGON,ELASTIC ANISOTROPIC ARGON,,1476162.4791,0.00082
ARGON,IONISATION CHARGE STATE =1,15.75961,389.2555,0.05069
ARGON,IONISATION CHARGE STATE =2,43.38928,16.0221,0.24983
ARGON,IONISATION CHARGE STATE =3,84.124,1.9619,0.71394
ARGON,IONISATION L3 SHELL,248.4,4.1135,0.49305
ARGON,IONISATION L2 SHELL,250.6,1.9966,0.70771
ARGON,IONISATION L1 SHELL,326.3,0.9699,1.0154
ARGON,IONISATION K SHELL,3205.9,0.0169,7.69231
ARGON,ATTACHMENT,,0.0,0.0
ARGON,EXC 1S5 J=2 METASTABLE,11.548,17.5428,0.23875
ARGON,EXC 1S4 J=1 RESONANT,11.624,23.8485,0.20477
ARGON,EXC 1S3 J=0 METASTABLE,11.723,3.2979,0.55066
ARGON,EXC 1S2 J=1 RESONANT,11.828,50.1127,0.14126
ARGON,EXC 2P10 J=1,12.907,2.9424,0.58297
ARGON,EXC 2P9 J=3,13.076,2.6604,0.61309
ARGON,EXC 2P8 J=2,13.095,2.715,0.6069
ARGON,EXC 2P7 J=1,13.153,1.5058,0.81492
ARGON,EXC 2P6 J=2,13.172,2.4979,0.63272
ARGON,EXC 2P5 J=0,13.273,1.3079,0.87441
ARGON,EXC 2P4 J=1,13.283,1.4656,0.82602
ARGON,EXC 2P3 J=2,13.302,1.7233,0.76176
ARGON,EXC 2P2 J=1,13.328,0.8703,1.07193
ARGON,EXC 2P1 J=0,13.48,4.3247,0.48086
ARGON,EXC 3D6 J=0,13.845,1.0832,0.96083
ARGON,EXC 3D5 J=1 RESONANT,13.864,4.3233,0.48094
ARGON,EXC 3D3 J=2,13.903,3.8731,0.50813
ARGON,EXC 3D4! J=4,13.979,3.8548,0.50933
ARGON,EXC 3D4 J=3,14.013,1.5472,0.80395
ARGON,EXC 3D1!! J=2,14.063,1.5948,0.79186
ARGON,EXC 2S5 J=2,14.068,1.597,0.79131
ARGON,EXC 2S4 J=1 RESONANT,14.09,2.9787,0.57941
ARGON,EXC 3D1! J=3,14.099,0.5288,1.37516
ARGON,EXC 3D2 J=1 RESONANT,14.153,8.4343,0.34433
ARGON,EXC 3S1!!!!J=2,14.214,1.9267,0.72043
ARGON,EXC 3S1!! J=2,14.234,1.2011,0.91245
ARGON,EXC 3S1!!! J=3,14.236,0.7836,1.12967
ARGON,EXC 2S3 J=0,14.241,0.3102,1.79547
ARGON,EXC 2S2 J=1 RESONANT,14.255,1.2406,0.89781
ARGON,EXC 3S1! J=1 RESONANT,14.304,10.241,0.31248
ARGON,EXC 4D5 J=1 RESONANT,14.711,0.1937,2.27214
ARGON,EXC 3S4 J=1 RESONANT,14.848,1.4347,0.83487
ARGON,EXC 4D2 J=1 RESONANT,14.859,4.9061,0.45147
ARGON,EXC 4S1! J=1 RESONANT,15.004,2.0687,0.69527
ARGON,EXC 3S2 J=1 RESONANT,15.022,2.1705,0.67877
ARGON,EXC 5D5 J=1 RESONANT,15.118,0.3916,1.59801
ARGON,EXC 4S4 J=1 RESONANT,15.186,4.1189,0.49273
ARGON,EXC 5D2 J=1 RESONANT,15.19,4.1228,0.4925
ARGON,EXC 6D5 J=1 RESONANT,15.308,0.0677,3.84331
ARGON,EXC 5S1! J=1 RESONANT,15.351,0.0479,4.56912
ARGON,EXC 4S2 J=1 RESONANT,15.36,0.0712,3.74766
ARGON,EXC 5S4 J=1 RESONANT,15.366,1.2113,0.9086
ARGON,EXC 6D2 J=1 RESONANT,15.374,2.7488,0.60315
ARGON,EXC HIGH J=1 RESONANT,15.66,11.8289,0.29076
ARGON,BREMSSTRAHLUNG FROM ARGON ATOM,,0.0036,16.66667
