Gas,Proceso,Energia,Eventos,Error%
NITROGEN,ELASTIC ANISOTROPIC NITROGEN,,19723.2091,0.00712
NITROGEN,IONISATION N2+ X2SIGMA VIB=0,15.581,1.7128,0.76409
NITROGEN,IONISATION N2+ X2SIGMA VIB>0,15.855,0.4429,1.50261
NITROGEN,IONISATION N2+ A2PI VIB=0,16.699,0.5567,1.34026
NITROGEN,IONISATION N2+ A2PI VIB=1,16.935,0.8283,1.09877
NITROGEN,IONISATION N2+ A2PI VIB>1,17.171,1.375,0.8528
NITROGEN,IONISATION N2+ B2SIGMA,18.751,0.7436,1.15966
NITROGEN,IONISATION N2+ C2SIGMA,23.591,0.1275,2.80056
NITROGEN,"DISSOC ION (N+,N)",24.294,0.9382,1.03241
NITROGEN,"DISSOC ION (N+,N*)",24.4,0.1993,2.23999
NITROGEN,"DISSOC ION (N+*,N)",35.7,0.0735,3.68856
NITROGEN,"DISSOC ION (N++,N) AND (N+,N+)",38.8,0.2581,1.96837
NITROGEN,IONISATION K-SHELL,401.6,0.034,5.42326
NITROGEN,ATTACHMENT,,0.0,0.0
NITROGEN,ROTATION 2-0,-0.00148,7.7925,0.35823
NITROGEN,ROTATION 3-1,-0.00247,6.6785,0.38696
NITROGEN,ROTATION 4-2,-0.00345,17.4616,0.23931
NITROGEN,ROTATION 5-3,-0.00444,10.2641,0.31213
NITROGEN,ROTATION 6-4,-0.00543,22.4281,0.21116
NITROGEN,ROTATION 7-5,-0.00641,11.5668,0.29403
NITROGEN,ROTATION 8-6,-0.0074,22.9672,0.20866
NITROGEN,ROTATION 9-7,-0.00839,10.9288,0.30249
NITROGEN,ROTATION 10-8,-0.00937,20.0597,0.22327
NITROGEN,ROTATION 11-9,-0.0104,8.9671,0.33394
NITROGEN,ROTATION 12-10,-0.0113,15.5286,0.25377
NITROGEN,ROTATION 13-11,-0.0123,6.5115,0.39189
NITROGEN,ROTATION 14-12,-0.0133,10.7219,0.3054
NITROGEN,ROTATION 15-13,-0.0143,4.3148,0.48142
NITROGEN,ROTATION 16-14,-0.0153,6.7189,0.38579
NITROGEN,ROTATION 17-15,-0.0163,2.565,0.62439
NITROGEN,ROTATION 18-16,-0.0173,3.8433,0.51009
NITROGEN,ROTATION 19-17,-0.0183,1.4057,0.84344
NITROGEN,ROTATION 20-18,-0.0192,1.9884,0.70917
NITROGEN,ROTATION 21-19,-0.0202,0.674,1.21806
NITROGEN,ROTATION 22-20,-0.0212,0.9595,1.02089
NITROGEN,ROTATION 23-21,-0.0222,0.3276,1.74714
NITROGEN,ROTATION 24-22,-0.0232,0.4278,1.5289
NITROGEN,ROTATION 25-23,-0.0242,0.1332,2.73998
NITROGEN,ROTATION 26-24,-0.0252,0.1659,2.45514
NITROGEN,ROTATION 27-25,-0.0261,0.0507,4.44116
NITROGEN,ROTATION 28-26,-0.0271,0.0536,4.31934
NITROGEN,ROTATION 29-27,-0.0281,0.0191,7.23575
NITROGEN,ROTATION 30-28,-0.0291,0.0205,6.9843
NITROGEN,ROTATION 31-29,-0.0301,0.0059,13.01889
NITROGEN,ROTATION 32-30,-0.0311,0.0063,12.59882
NITROGEN,ROTATION 33-31,-0.0321,0.0019,22.94157
NITROGEN,ROTATION 34-32,-0.0331,0.0021,21.82179
NITROGEN,ROTATION 35-33,-0.034,0.0003,57.73503
NITROGEN,ROTATION 36-34,-0.035,0.0003,57.73503
NITROGEN,ROTATION 37-35,-0.036,0.0,0.0
NITROGEN,ROTATION 38-36,-0.037,0.0001,100.0
NITROGEN,ROTATION 39-37,-0.038,0.0,0.0
NITROGEN,ROTATION 0-2,0.00148,8.2665,0.34781
NITROGEN,ROTATION 1-3,0.00247,7.322,0.36956
NITROGEN,ROTATION 2-4,0.00345,20.0068,0.22357
NITROGEN,ROTATION 3-5,0.00444,12.3119,0.285
NITROGEN,ROTATION 4-6,0.00543,27.8491,0.18949
NITROGEN,ROTATION 5-7,0.00641,14.9549,0.25859
NITROGEN,ROTATION 6-8,0.0074,30.7359,0.18038
NITROGEN,ROTATION 7-9,0.00839,15.1736,0.25672
