Gas,Proceso,Energia,Eventos,Error%
NITROGEN,ELASTIC ANISOTROPIC NITROGEN,,9123.6415,0.01047
NITROGEN,IONISATION N2+ X2SIGMA VIB=0,15.581,0.4267,1.53087
NITROGEN,IONISATION N2+ X2SIGMA VIB>0,15.855,0.1072,3.05424
NITROGEN,IONISATION N2+ A2PI VIB=0,16.699,0.1402,2.67071
NITROGEN,IONISATION N2+ A2PI VIB=1,16.935,0.2076,2.19476
NITROGEN,IONISATION N2+ A2PI VIB>1,17.171,0.3538,1.68121
NITROGEN,IONISATION N2+ B2SIGMA,18.751,0.1873,2.31063
NITROGEN,IONISATION N2+ C2SIGMA,23.591,0.0313,5.65233
NITROGEN,"DISSOC ION (N+,N)",24.294,0.2341,2.0668
NITROGEN,"DISSOC ION (N+,N*)",24.4,0.0478,4.57389
NITROGEN,"DISSOC ION (N+*,N)",35.7,0.0185,7.35215
NITROGEN,"DISSOC ION (N++,N) AND (N+,N+)",38.8,0.0654,3.91031
NITROGEN,IONISATION K-SHELL,401.6,0.0087,10.72113
NITROGEN,ATTACHMENT,,0.0,0.0
NITROGEN,ROTATION 2-0,-0.00148,3.6251,0.52522
NITROGEN,ROTATION 3-1,-0.00247,3.1094,0.5671
NITROGEN,ROTATION 4-2,-0.00345,8.0956,0.35146
NITROGEN,ROTATION 5-3,-0.00444,4.7939,0.45673
NITROGEN,ROTATION 6-4,-0.00543,10.4499,0.30935
NITROGEN,ROTATION 7-5,-0.00641,5.3689,0.43158
NITROGEN,ROTATION 8-6,-0.0074,10.5659,0.30764
NITROGEN,ROTATION 9-7,-0.00839,5.0665,0.44427
NITROGEN,ROTATION 10-8,-0.00937,9.3206,0.32755
NITROGEN,ROTATION 11-9,-0.0104,4.1317,0.49197
NITROGEN,ROTATION 12-10,-0.0113,7.1814,0.37316
NITROGEN,ROTATION 13-11,-0.0123,3.0519,0.57242
NITROGEN,ROTATION 14-12,-0.0133,4.9979,0.44731
NITROGEN,ROTATION 15-13,-0.0143,2.0031,0.70656
NITROGEN,ROTATION 16-14,-0.0153,3.1331,0.56495
NITROGEN,ROTATION 17-15,-0.0163,1.1791,0.92093
NITROGEN,ROTATION 18-16,-0.0173,1.7921,0.747
NITROGEN,ROTATION 19-17,-0.0183,0.6496,1.24073
NITROGEN,ROTATION 20-18,-0.0192,0.938,1.03252
NITROGEN,ROTATION 21-19,-0.0202,0.3185,1.77192
NITROGEN,ROTATION 22-20,-0.0212,0.4407,1.50636
NITROGEN,ROTATION 23-21,-0.0222,0.1429,2.64535
NITROGEN,ROTATION 24-22,-0.0232,0.1934,2.2739
NITROGEN,ROTATION 25-23,-0.0242,0.0608,4.05554
NITROGEN,ROTATION 26-24,-0.0252,0.0792,3.55335
NITROGEN,ROTATION 27-25,-0.0261,0.0253,6.28695
NITROGEN,ROTATION 28-26,-0.0271,0.0286,5.91312
NITROGEN,ROTATION 29-27,-0.0281,0.0084,10.91089
NITROGEN,ROTATION 30-28,-0.0291,0.0104,9.80581
NITROGEN,ROTATION 31-29,-0.0301,0.0023,20.85144
NITROGEN,ROTATION 32-30,-0.0311,0.0025,20.0
