Gas,Proceso,Energia,Eventos,Error%
NITROGEN,ELASTIC ANISOTROPIC NITROGEN,,38844.2249,0.00507
NITROGEN,IONISATION N2+ X2SIGMA VIB=0,15.581,78.7505,0.11269
NITROGEN,IONISATION N2+ X2SIGMA VIB>0,15.855,20.7144,0.21972
NITROGEN,IONISATION N2+ A2PI VIB=0,16.699,25.5115,0.19798
NITROGEN,IONISATION N2+ A2PI VIB=1,16.935,38.1629,0.16187
NITROGEN,IONISATION N2+ A2PI VIB>1,17.171,63.6828,0.12531
NITROGEN,IONISATION N2+ B2SIGMA,18.751,34.2291,0.17092
NITROGEN,IONISATION N2+ C2SIGMA,23.591,5.7492,0.41706
NITROGEN,"DISSOC ION (N+,N)",24.294,42.3561,0.15365
NITROGEN,"DISSOC ION (N+,N*)",24.4,8.9145,0.33493
NITROGEN,"DISSOC ION (N+*,N)",35.7,3.2595,0.55389
NITROGEN,"DISSOC ION (N++,N) AND (N+,N+)",38.8,11.8648,0.29032
NITROGEN,IONISATION K-SHELL,401.6,1.7957,0.74625
NITROGEN,ATTACHMENT,,0.0,0.0
NITROGEN,ROTATION 2-0,-0.00148,14.8792,0.25924
NITROGEN,ROTATION 3-1,-0.00247,12.6805,0.28082
NITROGEN,ROTATION 4-2,-0.00345,33.334,0.1732
NITROGEN,ROTATION 5-3,-0.00444,19.6626,0.22552
NITROGEN,ROTATION 6-4,-0.00543,42.8232,0.15281
NITROGEN,ROTATION 7-5,-0.00641,22.0706,0.21286
NITROGEN,ROTATION 8-6,-0.0074,43.7718,0.15115
NITROGEN,ROTATION 9-7,-0.00839,20.826,0.21913
NITROGEN,ROTATION 10-8,-0.00937,38.1609,0.16188
NITROGEN,ROTATION 11-9,-0.0104,17.0789,0.24197
NITROGEN,ROTATION 12-10,-0.0113,29.5828,0.18386
NITROGEN,ROTATION 13-11,-0.0123,12.4717,0.28316
NITROGEN,ROTATION 14-12,-0.0133,20.5266,0.22072
NITROGEN,ROTATION 15-13,-0.0143,8.2313,0.34855
NITROGEN,ROTATION 16-14,-0.0153,12.8695,0.27875
NITROGEN,ROTATION 17-15,-0.0163,4.8912,0.45216
NITROGEN,ROTATION 18-16,-0.0173,7.3662,0.36845
NITROGEN,ROTATION 19-17,-0.0183,2.6761,0.61129
NITROGEN,ROTATION 20-18,-0.0192,3.7927,0.51348
