file,electric_field,pressure,gap,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,ne_mean,ne_std,ni_mean,ni_std,n_entries
ar_100.0_cf4_0.0_110.0kVcm_1.000bar_0.0199mm_500npe.root,110.0,1.0,0.0199,ar,100.0,cf4,0.0,0.0,88.046,44.892790169674655,87.032,44.89599399226067,500
ar_100.0_cf4_0.0_40.0kVcm_1.000bar_0.0871mm_500npe.root,40.0,1.0,0.0871,ar,100.0,cf4,0.0,0.0,103.812,75.31689003037562,102.812,75.31689003037562,500
ar_100.0_cf4_0.0_60.0kVcm_1.000bar_0.0455mm_500npe.root,60.0,1.0,0.0455,ar,100.0,cf4,0.0,0.0,106.236,67.89444465661724,105.234,67.89095379514437,500
ar_100.0_cf4_0.0_70.0kVcm_1.000bar_0.0364mm_500npe.root,70.0,1.0,0.0364,ar,100.0,cf4,0.0,0.0,102.96,63.17005074100577,101.96,63.17005074100577,500
ar_100.0_cf4_0.0_80.0kVcm_1.000bar_0.0302mm_500npe.root,80.0,1.0,0.0302,ar,100.0,cf4,0.0,0.0,97.944,55.42650140606235,96.944,55.42650140606235,500
ar_100.0_cf4_0.0_90.0kVcm_1.000bar_0.0258mm_500npe.root,90.0,1.0,0.0258,ar,100.0,cf4,0.0,0.0,93.458,52.22891877027346,92.45,52.23171262372328,500
ar_33.0_cf4_67.0_110.0kVcm_1.000bar_0.0230mm_500npe.root,110.0,1.0,0.023,ar,33.0,cf4,67.0,67.0,91.674,50.1999182028731,91.812,50.735558040681866,500
ar_33.0_cf4_67.0_40.0kVcm_1.000bar_0.2255mm_500npe.root,40.0,1.0,0.2255,ar,33.0,cf4,67.0,67.0,94.194,105.65744344204728,124.156,137.70123792418025,500
ar_33.0_cf4_67.0_50.7kVcm_1.000bar_0.0500mm_1000npe.root,50.7,1.0,0.05,ar,33.0,cf4,67.0,67.0,9.922,8.214096869856563,9.959,8.640484765160863,1000
ar_33.0_cf4_67.0_60.0kVcm_1.000bar_0.0653mm_500npe.root,60.0,1.0,0.0653,ar,33.0,cf4,67.0,67.0,97.094,70.83063689001031,102.746,75.09722144885707,500
ar_33.0_cf4_67.0_70.0kVcm_1.000bar_0.0475mm_500npe.root,70.0,1.0,0.0475,ar,33.0,cf4,67.0,67.0,93.522,62.59749522798524,96.284,64.64928773629002,500
ar_33.0_cf4_67.0_80.0kVcm_1.000bar_0.0374mm_500npe.root,80.0,1.0,0.0374,ar,33.0,cf4,67.0,67.0,91.618,56.64112030157981,93.112,57.95433431359093,500
ar_33.0_cf4_67.0_88.0kVcm_1.0bar_0.0500mm_1000npe.root,88.0,1.0,0.05,ar,33.0,cf4,67.0,67.0,1259.115,771.721319888579,1285.616,788.498333648313,1000
ar_33.0_cf4_67.0_90.0kVcm_1.000bar_0.0309mm_500npe.root,90.0,1.0,0.0309,ar,33.0,cf4,67.0,67.0,94.13,59.47995317465641,95.064,60.528996545834886,500
ar_67.0_cf4_33.0_110.0kVcm_1.000bar_0.0214mm_500npe.root,110.0,1.0,0.0214,ar,67.0,cf4,33.0,33.0,95.458,44.75106201088645,94.952,44.94340346513668,500
ar_67.0_cf4_33.0_40.0kVcm_1.000bar_0.1307mm_500npe.root,40.0,1.0,0.1307,ar,67.0,cf4,33.0,33.0,102.868,85.12748059177957,112.302,93.01756463518771,500
ar_67.0_cf4_33.0_60.0kVcm_1.000bar_0.0534mm_500npe.root,60.0,1.0,0.0534,ar,67.0,cf4,33.0,33.0,98.222,65.96289049036349,99.888,67.40809416024632,500
ar_67.0_cf4_33.0_70.0kVcm_1.000bar_0.0409mm_500npe.root,70.0,1.0,0.0409,ar,67.0,cf4,33.0,33.0,95.198,56.82627250218851,95.954,57.69211943836507,500
ar_67.0_cf4_33.0_80.0kVcm_1.000bar_0.0332mm_500npe.root,80.0,1.0,0.0332,ar,67.0,cf4,33.0,33.0,91.066,56.37216765898883,91.224,56.93491893370865,500
ar_67.0_cf4_33.0_90.0kVcm_1.000bar_0.0280mm_500npe.root,90.0,1.0,0.028,ar,67.0,cf4,33.0,33.0,89.176,50.922128297043926,89.01,51.34563904849755,500
ar_80.0_cf4_20.0_10.0kVcm_0.050bar_0.5700mm_50npe.root,10.0,0.05,0.57,ar,80.0,cf4,20.0,20.0,180212.52,83057.0628554433,180055.68,82985.07610000778,50
ar_80.0_cf4_20.0_10.0kVcm_1.0bar_0.5700mm_1000npe.root,10.0,1.0,0.57,ar,80.0,cf4,20.0,20.0,0.086,0.2840504967161379,0.005,0.07056897321046965,1000
ar_90.0_cf4_10.0_110.0kVcm_1.000bar_0.0204mm_500npe.root,110.0,1.0,0.0204,ar,90.0,cf4,10.0,10.0,91.784,49.25697761421599,90.93,49.3006511966813,500
ar_90.0_cf4_10.0_38.7kVcm_1.000bar_0.0500mm_1000npe.root,38.7,1.0,0.05,ar,90.0,cf4,10.0,10.0,8.796,6.230345191175301,7.988,6.2629929810818945,1000
ar_90.0_cf4_10.0_40.0kVcm_1.000bar_0.0938mm_500npe.root,40.0,1.0,0.0938,ar,90.0,cf4,10.0,10.0,81.922,60.274488333687046,82.772,61.479325231021555,500
ar_90.0_cf4_10.0_60.0kVcm_1.000bar_0.0473mm_500npe.root,60.0,1.0,0.0473,ar,90.0,cf4,10.0,10.0,97.17,58.978997484601045,96.9,59.353615756808054,500
ar_90.0_cf4_10.0_70.0kVcm_1.000bar_0.0378mm_500npe.root,70.0,1.0,0.0378,ar,90.0,cf4,10.0,10.0,100.068,61.084515321184696,99.564,61.35381393988429,500
ar_90.0_cf4_10.0_78.0kVcm_1.0bar_0.0500mm_1000npe.root,78.0,1.0,0.05,ar,90.0,cf4,10.0,10.0,1230.757,739.812542844165,1234.643,742.7529505134911,1000
ar_90.0_cf4_10.0_80.0kVcm_1.000bar_0.0313mm_500npe.root,80.0,1.0,0.0313,ar,90.0,cf4,10.0,10.0,103.206,58.26285854101857,102.566,58.49078549631516,500
ar_90.0_cf4_10.0_90.0kVcm_1.000bar_0.0267mm_500npe.root,90.0,1.0,0.0267,ar,90.0,cf4,10.0,10.0,98.384,53.73859150026976,97.654,53.86000449469287,500
ar_95.0_cf4_5.0_110.0kVcm_1.000bar_0.0202mm_500npe.root,110.0,1.0,0.0202,ar,95.0,cf4,5.0,5.0,91.764,43.67671708393914,90.832,43.689235225042545,500
ar_95.0_cf4_5.0_37.8kVcm_1.000bar_0.0500mm_1000npe.root,37.8,1.0,0.05,ar,95.0,cf4,5.0,5.0,9.37,6.7211810178177975,8.475,6.775786765113427,1000
ar_95.0_cf4_5.0_40.0kVcm_1.000bar_0.0901mm_500npe.root,40.0,1.0,0.0901,ar,95.0,cf4,5.0,5.0,91.756,66.82553230266909,91.792,67.52561108427386,500
ar_95.0_cf4_5.0_60.0kVcm_1.000bar_0.0461mm_500npe.root,60.0,1.0,0.0461,ar,95.0,cf4,5.0,5.0,94.26,59.28684728100359,93.632,59.46754875315964,500
ar_95.0_cf4_5.0_65.0kVcm_1.0bar_0.0500mm_1000npe.root,65.0,1.0,0.05,ar,95.0,cf4,5.0,5.0,281.726,166.50028609365592,281.598,166.97782484506735,1000
ar_95.0_cf4_5.0_70.0kVcm_1.000bar_0.0369mm_500npe.root,70.0,1.0,0.0369,ar,95.0,cf4,5.0,5.0,98.142,57.954043675628995,97.366,58.06354100110649,500
ar_95.0_cf4_5.0_80.0kVcm_1.000bar_0.0307mm_500npe.root,80.0,1.0,0.0307,ar,95.0,cf4,5.0,5.0,95.658,53.31636057167835,94.838,53.37705477030279,500
ar_95.0_cf4_5.0_90.0kVcm_1.000bar_0.0262mm_500npe.root,90.0,1.0,0.0262,ar,95.0,cf4,5.0,5.0,96.73,53.63792645422283,95.838,53.681609386946896,500
