concentration,electric_field,gap_mm,pressure,ne,ni,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
5.0,37.8,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,878.0481744673903,1.7654105094071129,878.0481744673903,1.7654105094071129,997.5366135890902,1.8817024828230149,997.5366135890902,1.8817024828230149,878.0481744673903,1.7654105094071129,935.6111966946607,1.8223602786907451
10.0,38.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,734.7689267662097,0.7726614302147787,734.7689267662097,0.7726614302147787,833.521970624583,0.822947951718745,833.521970624583,0.822947951718745,734.7689267662097,0.7726614302147787,783.252908575779,0.7977463960658098
20.0,10.0,0.57,0.05,180212.52,180055.68,17.235095541641613,0.009779448585846194,17.235095541641613,0.009779448585846194,19.382510160781283,0.010370806478863466,19.382510160781283,0.010370806478863466,17.235095541641613,0.009779448585846194,18.283041599995386,0.010072371694182524
20.0,29.0,0.57,1.0,15804.8,18574.8,95.78223071471959,0.07784809175195567,95.78223071471959,0.07784809175195567,109.5450749139502,0.0832533899050131,109.5450749139502,0.0832533899050131,95.78223071471959,0.07784809175195567,102.34333873253695,0.08047023843586802
67.0,50.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,312.7895386839169,0.4984176473646874,312.7895386839169,0.4984176473646874,354.6927802464429,0.5307542437949567,354.6927802464429,0.5307542437949567,312.7895386839169,0.4984176473646874,333.4897924335744,0.5146459670389805
100.0,10.0,0.57,0.025,34679.38,34468.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,43.0,0.57,1.0,5921.9,9414.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,55.9,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
