concentration,electric_field,gap_mm,pressure,Ar_3rd,ErrAr_3rd
0.0,110.0,0.0199,1.0,0.0,0.0
0.0,40.0,0.0871,1.0,0.0,0.0
0.0,60.0,0.0455,1.0,0.0,0.0
0.0,70.0,0.0364,1.0,0.0,0.0
0.0,80.0,0.0302,1.0,0.0,0.0
0.0,90.0,0.0258,1.0,0.0,0.0
67.0,110.0,0.023,1.0,0.0,0.0
67.0,40.0,0.2255,1.0,0.0,0.0
67.0,60.0,0.0653,1.0,0.0,0.0
67.0,70.0,0.0475,1.0,0.0,0.0
67.0,80.0,0.0374,1.0,0.0,0.0
67.0,90.0,0.0309,1.0,0.0,0.0
33.0,110.0,0.0214,1.0,0.0,0.0
33.0,40.0,0.1307,1.0,0.0,0.0
33.0,60.0,0.0534,1.0,0.0,0.0
33.0,70.0,0.0409,1.0,0.0,0.0
33.0,80.0,0.0332,1.0,0.0,0.0
33.0,90.0,0.028,1.0,0.0,0.0
10.0,110.0,0.0204,1.0,0.0,0.0
10.0,40.0,0.0938,1.0,0.0,0.0
10.0,60.0,0.0473,1.0,0.0,0.0
10.0,70.0,0.0378,1.0,0.0,0.0
10.0,80.0,0.0313,1.0,0.0,0.0
10.0,90.0,0.0267,1.0,0.0,0.0
5.0,110.0,0.0202,1.0,0.0,0.0
5.0,40.0,0.0901,1.0,0.0,0.0
5.0,60.0,0.0461,1.0,0.0,0.0
5.0,70.0,0.0369,1.0,0.0,0.0
5.0,80.0,0.0307,1.0,0.0,0.0
5.0,90.0,0.0262,1.0,0.0,0.0
1.0,110.0,0.0201,1.0,0.0,0.0
1.0,40.0,0.0872,1.0,0.0,0.0
1.0,60.0,0.0452,1.0,0.0,0.0
1.0,70.0,0.0362,1.0,0.0,0.0
1.0,80.0,0.0302,1.0,0.0,0.0
1.0,90.0,0.0259,1.0,0.0,0.0
100.0,110.0,0.025,1.0,0.0,0.0
100.0,40.0,0.5086,1.0,0.0,0.0
100.0,60.0,0.0813,1.0,0.0,0.0
100.0,70.0,0.0559,1.0,0.0,0.0
100.0,80.0,0.0428,1.0,0.0,0.0
100.0,90.0,0.0347,1.0,0.0,0.0
