concentration,electric_field,gap_mm,pressure,ne,ni,Ar_763,ErrAr_763
67.0,50.7,0.05,1.0,,,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,354.6927802464429,0.5307542437949567
20.0,10.0,0.57,0.05,180212.52,180055.68,19.382510160781283,0.010370806478863466
20.0,29.0,0.57,1.0,15804.8,18574.8,109.5450749139502,0.0832533899050131
10.0,38.7,0.05,1.0,,,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,833.521970624583,0.822947951718745
5.0,37.8,0.05,1.0,,,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,997.5366135890902,1.8817024828230149
100.0,10.0,0.57,0.025,34679.38,34468.1,0.0,0.0
100.0,43.0,0.57,1.0,5921.9,9414.9,0.0,0.0
100.0,55.9,0.05,1.0,,,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,0.0,0.0
