concentration,electric_field,gap_mm,pressure,ne,ni,Ar_dbleStar,ErrAr_dbleStar
0.0,110.0,0.0199,1.0,88.046,87.032,628.2746575972056,2.686799688034566
0.0,40.0,0.0871,1.0,103.812,102.812,1648.397074271486,4.004137787901158
0.0,60.0,0.0455,1.0,106.236,105.234,1068.3809415208013,3.1862879919870895
0.0,70.0,0.0364,1.0,102.96,101.96,923.0874852883484,3.0088914354859804
0.0,80.0,0.0302,1.0,97.944,96.944,820.8347086978049,2.9098284683810305
0.0,90.0,0.0258,1.0,93.458,92.45,741.0275824770146,2.8311555363358227
67.0,110.0,0.023,1.0,91.674,91.812,263.83261447305364,1.6951749129139644
67.0,40.0,0.2255,1.0,94.194,124.156,671.453655079094,2.325541880060484
67.0,60.0,0.0653,1.0,97.094,102.746,444.7569735074845,2.080553660922236
67.0,70.0,0.0475,1.0,93.522,96.284,386.6582194341739,2.0039485228242957
67.0,80.0,0.0374,1.0,91.618,93.112,341.92155683477966,1.916286382964044
67.0,90.0,0.0309,1.0,94.13,95.064,310.4960868467559,1.8072574492846867
33.0,110.0,0.0214,1.0,95.458,94.952,460.9486898643525,2.2033030419433435
33.0,40.0,0.1307,1.0,102.868,112.302,1205.499456821784,3.2763460359974976
33.0,60.0,0.0534,1.0,98.222,99.888,784.6988627262533,2.802817708810977
33.0,70.0,0.0409,1.0,95.198,95.954,686.9645871980324,2.6756889991422432
33.0,80.0,0.0332,1.0,91.066,91.224,611.3303516618433,2.5887101322636608
33.0,90.0,0.028,1.0,89.176,89.01,556.2970452758117,2.49996527394332
10.0,110.0,0.0204,1.0,91.784,90.93,576.9163092488727,2.5188529411431713
10.0,40.0,0.0938,1.0,81.922,82.772,1530.9283332527907,4.300665903970111
10.0,60.0,0.0473,1.0,97.17,96.9,995.9133126934984,3.2058919453174934
10.0,70.0,0.0378,1.0,100.068,99.564,855.9619942951268,2.932081737161787
10.0,80.0,0.0313,1.0,103.206,102.566,757.4244876469785,2.717490043522425
10.0,90.0,0.0267,1.0,98.384,97.654,691.1954451430561,2.660451923167771
5.0,110.0,0.0202,1.0,91.764,90.832,603.6528976572133,2.5779483174595765
5.0,40.0,0.0901,1.0,91.756,91.792,1591.3805124629598,4.16374957618661
5.0,60.0,0.0461,1.0,94.26,93.632,1030.352870813397,3.3172701644768163
5.0,70.0,0.0369,1.0,98.142,97.366,891.5740607604297,3.026042672518818
5.0,80.0,0.0307,1.0,95.658,94.838,795.8307851283241,2.8968044175997285
5.0,90.0,0.0262,1.0,96.73,95.838,713.1826624094828,2.727919293474691
1.0,110.0,0.0201,1.0,93.354,92.352,614.9406618156618,2.580438143491086
1.0,40.0,0.0872,1.0,89.45,88.63,1647.5459776599346,4.311500064562663
1.0,60.0,0.0452,1.0,97.44,96.506,1072.5965224960107,3.333811456267195
1.0,70.0,0.0362,1.0,95.012,94.072,919.4978314482523,3.126404491678066
1.0,80.0,0.0302,1.0,96.89,95.902,811.0049842547601,2.9080236186366797
1.0,90.0,0.0259,1.0,97.298,96.318,739.1349488153824,2.7701809654232634
100.0,110.0,0.025,1.0,92.312,93.082,0.0,0.0
100.0,40.0,0.5086,1.0,88.158,178.658,0.0,0.0
100.0,60.0,0.0813,1.0,89.368,98.914,0.0,0.0
100.0,70.0,0.0559,1.0,89.29,94.488,0.0,0.0
100.0,80.0,0.0428,1.0,88.768,91.91,0.0,0.0
100.0,90.0,0.0347,1.0,92.512,94.402,0.0,0.0
