concentration,electric_field,gap_mm,pressure,CF3,ErrCF3
0.0,110.0,0.0199,1.0,0.0,0.0
0.0,40.0,0.0871,1.0,0.0,0.0
0.0,60.0,0.0455,1.0,0.0,0.0
0.0,70.0,0.0364,1.0,0.0,0.0
0.0,80.0,0.0302,1.0,0.0,0.0
0.0,90.0,0.0258,1.0,0.0,0.0
67.0,110.0,0.023,1.0,7243.0,85.10581648747635
67.0,40.0,0.2255,1.0,11986.0,109.48059188732951
67.0,60.0,0.0653,1.0,9326.0,96.57121724406295
67.0,70.0,0.0475,1.0,8369.0,91.48223871331527
67.0,80.0,0.0374,1.0,8010.0,89.49860334105779
67.0,90.0,0.0309,1.0,7761.0,88.09653795694811
33.0,110.0,0.0214,1.0,3050.0,55.226805085936306
33.0,40.0,0.1307,1.0,4276.0,65.39113089708727
33.0,60.0,0.0534,1.0,3561.0,59.67411499134277
33.0,70.0,0.0409,1.0,3386.0,58.18934610390462
33.0,80.0,0.0332,1.0,3197.0,56.542019772908716
33.0,90.0,0.028,1.0,3054.0,55.263007518592396
10.0,110.0,0.0204,1.0,831.0,28.827070610799147
10.0,40.0,0.0938,1.0,870.0,29.49576240750525
10.0,60.0,0.0473,1.0,889.0,29.816103031751148
10.0,70.0,0.0378,1.0,904.0,30.066592756745816
10.0,80.0,0.0313,1.0,950.0,30.822070014844883
10.0,90.0,0.0267,1.0,990.0,31.464265445104548
5.0,110.0,0.0202,1.0,396.0,19.8997487421324
5.0,40.0,0.0901,1.0,460.0,21.447610589527216
5.0,60.0,0.0461,1.0,395.0,19.87460691435179
5.0,70.0,0.0369,1.0,486.0,22.045407685048602
5.0,80.0,0.0307,1.0,430.0,20.73644135332772
5.0,90.0,0.0262,1.0,440.0,20.97617696340303
1.0,110.0,0.0201,1.0,64.0,8.0
1.0,40.0,0.0872,1.0,97.0,9.848857801796104
1.0,60.0,0.0452,1.0,77.0,8.774964387392123
1.0,70.0,0.0362,1.0,88.0,9.38083151964686
1.0,80.0,0.0302,1.0,83.0,9.1104335791443
1.0,90.0,0.0259,1.0,83.0,9.1104335791443
100.0,110.0,0.025,1.0,13294.0,115.29960971312956
100.0,40.0,0.5086,1.0,34317.0,185.24848177515517
100.0,60.0,0.0813,1.0,17301.0,131.53326575433303
100.0,70.0,0.0559,1.0,15598.0,124.89195330364562
100.0,80.0,0.0428,1.0,14625.0,120.93386622447825
100.0,90.0,0.0347,1.0,14363.0,119.84573417523045
