concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4
100.0,95.0,0.05,1.0,1377.555,1415.164,1012.5091194180994,0.8573240324846283
0.0,110.0,0.0199,1.0,88.046,87.032,0.0,0.0
0.0,40.0,0.0871,1.0,103.812,102.812,0.0,0.0
0.0,60.0,0.0455,1.0,106.236,105.234,0.0,0.0
0.0,70.0,0.0364,1.0,102.96,101.96,0.0,0.0
0.0,80.0,0.0302,1.0,97.944,96.944,0.0,0.0
0.0,90.0,0.0258,1.0,93.458,92.45,0.0,0.0
67.0,110.0,0.023,1.0,91.674,91.812,265.7132883914741,1.702485988821262
67.0,40.0,0.2255,1.0,94.194,124.156,323.38577828736436,1.8528865912284496
67.0,60.0,0.0653,1.0,97.094,102.746,267.83323377345664,1.6608715117562907
67.0,70.0,0.0475,1.0,93.522,96.284,260.5055494963752,1.6689817847345305
67.0,80.0,0.0374,1.0,91.618,93.112,260.6693007924207,1.686764841096836
67.0,88.0,0.05,1.0,1259.115,1285.616,531.9744423662652,0.6499989949381377
67.0,90.0,0.0309,1.0,94.13,95.064,264.9739721661532,1.6777899118403254
33.0,110.0,0.0214,1.0,95.458,94.952,109.9960191916864,1.0734512315321503
33.0,40.0,0.1307,1.0,102.868,112.302,104.27927052144496,1.0068362515739215
33.0,60.0,0.0534,1.0,98.222,99.888,101.34185823949828,1.0157575175611915
33.0,70.0,0.0409,1.0,95.198,95.954,102.72274627618228,1.0387700000724456
33.0,80.0,0.0332,1.0,91.066,91.224,102.77161619045528,1.0623275945753274
33.0,90.0,0.028,1.0,89.176,89.01,106.12720911455997,1.0909111426406484
20.0,10.0,0.57,0.05,180212.52,180055.68,7.23866466103465,0.006337774008789344
20.0,10.0,0.57,1.0,0.086,0.005,23.255813953488374,16.444343748524364
10.0,110.0,0.0204,1.0,91.784,90.93,29.26435980127255,0.5646586995489382
10.0,40.0,0.0938,1.0,81.922,82.772,26.049168721466764,0.5638929451161396
10.0,60.0,0.0473,1.0,97.17,96.9,25.728105382319647,0.5145621076463929
10.0,70.0,0.0378,1.0,100.068,99.564,27.46132629811728,0.5238574738010615
10.0,78.0,0.05,1.0,1230.757,1234.643,55.00192158159572,0.21139892475366637
10.0,80.0,0.0313,1.0,103.206,102.566,27.430575741720443,0.5155431116184341
10.0,90.0,0.0267,1.0,98.384,97.654,29.506830378923404,0.5476448931949989
5.0,110.0,0.0202,1.0,91.764,90.832,13.905235168475656,0.3892718516954743
5.0,40.0,0.0901,1.0,91.756,91.792,12.413357164654082,0.3678132662863727
5.0,60.0,0.0461,1.0,94.26,93.632,12.550392531296414,0.3648924999346454
5.0,65.0,0.05,1.0,281.726,281.598,25.91880053669168,0.30331506771243344
5.0,70.0,0.0369,1.0,98.142,97.366,13.358195268080944,0.3689320981889848
5.0,80.0,0.0307,1.0,95.658,94.838,13.41236488322984,0.37444844526484594
5.0,90.0,0.0262,1.0,96.73,95.838,13.863330921120644,0.3785761071766888
1.0,110.0,0.0201,1.0,93.354,92.352,2.98862394755447,0.17892423558165765
1.0,40.0,0.0872,1.0,89.45,88.63,1.9787590832867523,0.1487326405327006
1.0,60.0,0.0452,1.0,97.44,96.506,2.5656814449917897,0.16226794233212127
1.0,70.0,0.0362,1.0,95.012,94.072,2.8943712373173915,0.17453715269415443
1.0,80.0,0.0302,1.0,96.89,95.902,2.6215295696150274,0.16448939467962873
1.0,90.0,0.0259,1.0,97.298,96.318,2.764702254928159,0.16856687153751082
100.0,10.0,0.57,0.025,34679.38,34468.1,44.0711742828159,0.03564853188483437
100.0,10.0,0.57,1.0,0.435,0.0,0.0,0.0
100.0,110.0,0.025,1.0,92.312,93.082,488.4847040471445,2.300363163186532
100.0,40.0,0.5086,1.0,88.158,178.658,1008.995213140044,3.383091067290738
100.0,60.0,0.0813,1.0,89.368,98.914,547.1309641034823,2.4743129462152456
100.0,70.0,0.0559,1.0,89.29,94.488,521.2117818344719,2.416048792251781
100.0,80.0,0.0428,1.0,88.768,91.91,507.94205118961787,2.3920974421871635
100.0,90.0,0.0347,1.0,92.512,94.402,498.8109650639917,2.322036065660524
100.0,95.0,0.05,1.0,1377.555,1415.164,1001.4728994486608,0.8526388694047853
