concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd
0.0,40.0,0.0871,1.0,103.812,102.812,0.0,0.0,1648.397074271486,4.004137787901158,0.0,0.0,0.0,0.0
0.0,60.0,0.0455,1.0,106.236,105.234,0.0,0.0,1068.3809415208013,3.1862879919870895,0.0,0.0,0.0,0.0
0.0,70.0,0.0364,1.0,102.96,101.96,0.0,0.0,923.0874852883484,3.0088914354859804,0.0,0.0,0.0,0.0
0.0,80.0,0.0302,1.0,97.944,96.944,0.0,0.0,820.8347086978049,2.9098284683810305,0.0,0.0,0.0,0.0
0.0,90.0,0.0258,1.0,93.458,92.45,0.0,0.0,741.0275824770146,2.8311555363358227,0.0,0.0,0.0,0.0
0.0,110.0,0.0199,1.0,88.046,87.032,0.0,0.0,628.2746575972056,2.686799688034566,0.0,0.0,0.0,0.0
1.0,40.0,0.0872,1.0,89.45,88.63,1.9970664560532552,0.15010870693501152,1647.5459776599346,4.311500064562663,8.022114408213923,0.3008527953508605,0.0,0.0
1.0,60.0,0.0452,1.0,97.44,96.506,2.5905125069943837,0.16383839658510244,1072.5965224960107,3.333811456267195,5.554058814995959,0.23989880220484167,0.0,0.0
1.0,70.0,0.0362,1.0,95.012,94.072,2.923292797006548,0.17628118836398715,919.4978314482523,3.126404491678066,4.783570031465261,0.22549965383532217,0.0,0.0
1.0,80.0,0.0302,1.0,96.89,95.902,2.648537048236742,0.16618399460396266,811.0049842547601,2.9080236186366797,4.859127025505203,0.2250947127789087,0.0,0.0
1.0,90.0,0.0259,1.0,97.298,96.318,2.7928320770780126,0.1702819770640662,739.1349488153824,2.7701809654232634,4.184056977927282,0.20842272368492631,0.0,0.0
1.0,110.0,0.0201,1.0,93.354,92.352,3.0210498960498957,0.18086552633933284,614.9406618156618,2.580438143491086,3.508316008316008,0.1949064449064449,0.0,0.0
5.0,40.0,0.0901,1.0,91.756,91.792,12.408488757190169,0.36766901321871637,1591.3805124629598,4.16374957618661,41.38704898030329,0.6714749479795615,0.0,0.0
5.0,60.0,0.0461,1.0,94.26,93.632,12.63456937799043,0.3673398735885133,1030.352870813397,3.3172701644768163,28.206168831168828,0.5488578758343129,0.0,0.0
5.0,70.0,0.0369,1.0,98.142,97.366,13.464659121253826,0.37187246041188243,891.5740607604297,3.026042672518818,27.00121192202617,0.5266086208037413,0.0,0.0
5.0,80.0,0.0307,1.0,95.658,94.838,13.528332524937262,0.3776860475457584,795.8307851283241,2.8968044175997285,24.36786941943103,0.5068945081811896,0.0,0.0
5.0,90.0,0.0262,1.0,96.73,95.838,13.992362111062418,0.3820996561614507,713.1826624094828,2.727919293474691,22.423255911016508,0.48370487641642185,0.0,0.0
