level,gas,state_name,type,energy_eV,n_events
0,Ar, ELASTIC ANISOTROPIC       ARGON                  ,elastic,0.0,264309678.0
1,Ar, IONISATION CHARGE STATE =1      ELOSS=   15.75961,ionisation,15.7596,996010.0
2,Ar, ATTACHMENT                                       ,attachment,0.0,5.0
3,,,,,0.0
4,,,,,0.0
5,,,,,0.0
6,,,,,0.0
7,,,,,0.0
8,Ar, EXC 1S5    J=2 METASTABLE         ELEVEL= 11.548 ,excitation,11.548,215395.0
9,Ar, EXC 1S4    J=1 RESONANT           ELEVEL= 11.624 ,excitation,11.624,237145.0
10,Ar, EXC 1S3    J=0 METASTABLE         ELEVEL= 11.723 ,excitation,11.723,39931.0
11,Ar, EXC 1S2    J=1 RESONANT           ELEVEL= 11.828 ,excitation,11.828,421179.0
12,Ar, EXC 2P10   J=1                    ELEVEL= 12.907 ,excitation,12.907,41682.0
13,Ar, EXC 2P9    J=3                    ELEVEL= 13.076 ,excitation,13.076,58536.0
14,Ar, EXC 2P8    J=2                    ELEVEL= 13.095 ,excitation,13.095,41916.0
15,Ar, EXC 2P7    J=1                    ELEVEL= 13.153 ,excitation,13.153,32013.0
16,Ar, EXC 2P6    J=2                    ELEVEL= 13.172 ,excitation,13.172,40371.0
17,Ar, EXC 2P5    J=0                    ELEVEL= 13.273 ,excitation,13.273,18324.0
18,Ar, EXC 2P4    J=1                    ELEVEL= 13.283 ,excitation,13.283,30509.0
19,Ar, EXC 2P3    J=2                    ELEVEL= 13.302 ,excitation,13.302,25458.0
20,Ar, EXC 2P2    J=1                    ELEVEL= 13.328 ,excitation,13.328,16958.0
21,Ar, EXC 2P1    J=0                    ELEVEL= 13.480 ,excitation,13.48,60397.0
22,Ar, EXC 3D6    J=0                    ELEVEL= 13.845 ,excitation,13.845,25709.0
23,Ar, EXC 3D5    J=1 RESONANT           ELEVEL= 13.864 ,excitation,13.864,100247.0
24,Ar, EXC 3D3    J=2                    ELEVEL= 13.903 ,excitation,13.903,91507.0
25,Ar, EXC 3D4!   J=4                    ELEVEL= 13.979 ,excitation,13.979,92250.0
26,Ar, EXC 3D4    J=3                    ELEVEL= 14.013 ,excitation,14.013,33464.0
