file,electric_field,pressure,gap,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,ne_mean,ne_std,ni_mean,ni_std,n_entries
ar_0.0_n2_100.0_70.0kVcm_1.000bar_0.3030mm_100npe.root,70.0,1.0,0.303,ar,0.0,n2,100.0,100.0,10023.62,9103.09985473369,10022.29,9102.782467598807,100
ar_0.0_n2_100.0_80.0kVcm_1.000bar_0.2124mm_100npe.root,80.0,1.0,0.2124,ar,0.0,n2,100.0,100.0,10534.59,8559.9460008386,10532.98,8559.440117841183,100
ar_0.0_n2_100.0_90.0kVcm_1.000bar_0.1587mm_100npe.root,90.0,1.0,0.1587,ar,0.0,n2,100.0,100.0,8426.04,6148.365626503658,8424.08,6147.655932815598,100
ar_100.0_n2_0.0_60.0kVcm_1.000bar_0.0901mm_100npe.root,60.0,1.0,0.0901,ar,100.0,n2,0.0,0.0,10019.18,6628.362273738453,10018.17,6628.365238766257,100
ar_100.0_n2_0.0_70.0kVcm_1.000bar_0.0722mm_100npe.root,70.0,1.0,0.0722,ar,100.0,n2,0.0,0.0,9861.54,6162.959930049355,9860.51,6162.946218393284,100
ar_100.0_n2_0.0_80.0kVcm_1.000bar_0.0602mm_100npe.root,80.0,1.0,0.0602,ar,100.0,n2,0.0,0.0,9534.66,5870.829415393234,9533.48,5870.686770831171,100
ar_100.0_n2_0.0_90.0kVcm_1.000bar_0.0516mm_100npe.root,90.0,1.0,0.0516,ar,100.0,n2,0.0,0.0,9172.52,6215.4391760446915,9171.16,6215.2598338624775,100
ar_90.0_n2_10.0_60.0kVcm_1.000bar_0.1071mm_100npe.root,60.0,1.0,0.1071,ar,90.0,n2,10.0,10.0,10547.21,7069.077379393903,10546.17,7069.010060357416,100
ar_90.0_n2_10.0_70.0kVcm_1.000bar_0.0832mm_100npe.root,70.0,1.0,0.0832,ar,90.0,n2,10.0,10.0,8932.84,5101.29285795535,8931.77,5101.258145177264,100
ar_90.0_n2_10.0_80.0kVcm_1.000bar_0.0678mm_100npe.root,80.0,1.0,0.0678,ar,90.0,n2,10.0,10.0,10009.53,5744.020320606061,10008.32,5743.9378406079295,100
ar_90.0_n2_10.0_90.0kVcm_1.000bar_0.0572mm_100npe.root,90.0,1.0,0.0572,ar,90.0,n2,10.0,10.0,8501.87,5391.379712573722,8500.52,5391.185489240186,100
ar_99.0_n2_1.0_60.0kVcm_1.000bar_0.0914mm_100npe.root,60.0,1.0,0.0914,ar,99.0,n2,1.0,1.0,9402.6,6016.652932075316,9401.57,6016.616504877777,100
ar_99.0_n2_1.0_70.0kVcm_1.000bar_0.0731mm_100npe.root,70.0,1.0,0.0731,ar,99.0,n2,1.0,1.0,10007.49,5777.601679028692,10006.44,5777.504966923722,100
ar_99.0_n2_1.0_80.0kVcm_1.000bar_0.0608mm_100npe.root,80.0,1.0,0.0608,ar,99.0,n2,1.0,1.0,9524.94,5299.095489464655,9523.77,5299.065156461491,100
ar_99.0_n2_1.0_90.0kVcm_1.000bar_0.0519mm_100npe.root,90.0,1.0,0.0519,ar,99.0,n2,1.0,1.0,9641.9,4799.829189932206,9640.45,4799.617321393256,100
