concentration,electric_field,gap_mm,pressure,ne,ni,Ar_meta,ErrAr_meta,Ar_res,ErrAr_res,Ar_dbleStar,ErrAr_dbleStar,N2_star,ErrN2_star
0.0,60.0,0.0901,1.0,10019.18,10018.17,27.062593944813845,0.051971903231322045,28.808645018853838,0.05362228623798393,185.29450513914313,0.13599256987818584,0.0,0.0
0.0,70.0,0.0722,1.0,9861.54,9860.51,21.609302401044864,0.046811009094556356,23.868280207756595,0.04919695162401259,161.05101231653472,0.12779367492235202,0.0,0.0
0.0,80.0,0.0602,1.0,9534.66,9533.48,17.91726186355885,0.04334941240109806,20.48421233688459,0.04635077808809296,143.55561708545454,0.12270365227222395,0.0,0.0
0.0,90.0,0.0516,1.0,9172.52,9171.16,15.218391456219228,0.04073240392797104,17.897916821113498,0.04417300139726634,130.0292613153201,0.11906283354410481,0.0,0.0
1.0,60.0,0.0914,1.0,9402.6,9401.57,26.90053814902261,0.05348801777939068,28.64494926935103,0.05519503946755857,184.21883308872015,0.13997260105493908,2.2820283751302832,0.01557889103177504
1.0,70.0,0.0731,1.0,10007.49,10006.44,21.523378989137136,0.04637593130479891,23.696751133401083,0.048661088716502814,159.86266286551373,0.1263894834814269,1.9146659152294931,0.013831966251348934
1.0,80.0,0.0608,1.0,9524.94,9523.77,17.875598166497635,0.043321069255119235,20.372936732409862,0.04624829152458036,143.0491950605463,0.12254951162415574,1.6555484863946648,0.013183776378255066
1.0,90.0,0.0519,1.0,9641.9,9640.45,15.080845061657973,0.039548637634700165,17.782179860815816,0.04294485966294359,129.33218556508572,0.11581691616958309,1.4514774059054751,0.012269414214914294
10.0,60.0,0.1071,1.0,10547.21,10546.17,25.70262657138713,0.04936509267754793,27.4940007831455,0.051056398173828905,176.14108375579895,0.12922946176489447,24.00265093802058,0.04770466035597176
10.0,70.0,0.0832,1.0,8932.84,8931.77,20.493930261820427,0.04789805180815379,22.716851527621674,0.0504288764442847,152.48151763604855,0.13065132705009025,19.996104262474194,0.047312720260257526
10.0,80.0,0.0678,1.0,10009.53,10008.32,16.923671740830986,0.041118802070657504,19.3570527287495,0.04397570126900818,135.6525231454424,0.11641450484129053,17.241169165785006,0.04150271554398169
10.0,90.0,0.0572,1.0,8501.87,8500.52,14.460583377539294,0.041241616258815034,16.98285200785239,0.04469388246360543,122.93624814305558,0.12024935275221174,15.367677934383845,0.04251546125528272
100.0,70.0,0.303,1.0,10023.62,10022.29,0.0,0.0,0.0,0.0,0.0,0.0,384.95543526191136,0.19597150638454044
100.0,80.0,0.2124,1.0,10534.59,10532.98,0.0,0.0,0.0,0.0,0.0,0.0,323.8994588303864,0.1753461732548482
100.0,90.0,0.1587,1.0,8426.04,8424.08,0.0,0.0,0.0,0.0,0.0,0.0,281.6646965834484,0.1828329430227525
