concentration,electric_field,gap_mm,pressure,Ar_794,ErrAr_794
100.0,70.0,0.303,1.0,0.0,0.0
100.0,80.0,0.2124,1.0,0.0,0.0
100.0,90.0,0.1587,1.0,0.0,0.0
0.0,60.0,0.0901,1.0,1037222.0,1018.4409653976022
0.0,70.0,0.0722,1.0,900012.0,948.6896225847524
0.0,80.0,0.0602,1.0,784068.0,885.4761431004225
0.0,90.0,0.0516,1.0,688310.0,829.6445021815067
10.0,60.0,0.1071,1.0,1035731.0,1017.708700955239
10.0,70.0,0.0832,1.0,772025.0,878.6495319523024
10.0,80.0,0.0678,1.0,778839.0,882.5185550457282
10.0,90.0,0.0572,1.0,604029.0,777.1930262167823
1.0,60.0,0.0914,1.0,966384.0,983.0483202772893
1.0,70.0,0.0731,1.0,905872.0,951.7730821997436
1.0,80.0,0.0608,1.0,781057.0,883.774292452547
1.0,90.0,0.0519,1.0,720119.0,848.5982559491858
