concentration,electric_field,gap_mm,pressure,ne,ni,Ar_dbleStar,ErrAr_dbleStar
100.0,70.0,0.303,1.0,10023.62,10022.29,0.0,0.0
100.0,80.0,0.2124,1.0,10534.59,10532.98,0.0,0.0
100.0,90.0,0.1587,1.0,8426.04,8424.08,0.0,0.0
0.0,60.0,0.0901,1.0,10019.18,10018.17,185.29450513914313,0.13599256987818584
0.0,70.0,0.0722,1.0,9861.54,9860.51,161.05101231653472,0.12779367492235202
0.0,80.0,0.0602,1.0,9534.66,9533.48,143.55561708545454,0.12270365227222395
0.0,90.0,0.0516,1.0,9172.52,9171.16,130.0292613153201,0.11906283354410481
10.0,60.0,0.1071,1.0,10547.21,10546.17,176.14108375579895,0.12922946176489447
10.0,70.0,0.0832,1.0,8932.84,8931.77,152.48151763604855,0.13065132705009025
10.0,80.0,0.0678,1.0,10009.53,10008.32,135.6525231454424,0.11641450484129053
10.0,90.0,0.0572,1.0,8501.87,8500.52,122.93624814305558,0.12024935275221174
1.0,60.0,0.0914,1.0,9402.6,9401.57,184.21883308872015,0.13997260105493908
1.0,70.0,0.0731,1.0,10007.49,10006.44,159.86266286551373,0.1263894834814269
1.0,80.0,0.0608,1.0,9524.94,9523.77,143.0491950605463,0.12254951162415574
1.0,90.0,0.0519,1.0,9641.9,9640.45,129.33218556508572,0.11581691616958309
