concentration,electric_field,gap_mm,pressure,ne,ni,Ar_meta,ErrAr_meta
100.0,70.0,0.303,1.0,10023.62,10022.29,0.0,0.0
100.0,80.0,0.2124,1.0,10534.59,10532.98,0.0,0.0
100.0,90.0,0.1587,1.0,8426.04,8424.08,0.0,0.0
0.0,60.0,0.0901,1.0,10019.18,10018.17,27.062593944813845,0.051971903231322045
0.0,70.0,0.0722,1.0,9861.54,9860.51,21.609302401044864,0.046811009094556356
0.0,80.0,0.0602,1.0,9534.66,9533.48,17.91726186355885,0.04334941240109806
0.0,90.0,0.0516,1.0,9172.52,9171.16,15.218391456219228,0.04073240392797104
10.0,60.0,0.1071,1.0,10547.21,10546.17,25.70262657138713,0.04936509267754793
10.0,70.0,0.0832,1.0,8932.84,8931.77,20.493930261820427,0.04789805180815379
10.0,80.0,0.0678,1.0,10009.53,10008.32,16.923671740830986,0.041118802070657504
10.0,90.0,0.0572,1.0,8501.87,8500.52,14.460583377539294,0.041241616258815034
1.0,60.0,0.0914,1.0,9402.6,9401.57,26.90053814902261,0.05348801777939068
1.0,70.0,0.0731,1.0,10007.49,10006.44,21.523378989137136,0.04637593130479891
1.0,80.0,0.0608,1.0,9524.94,9523.77,17.875598166497635,0.043321069255119235
1.0,90.0,0.0519,1.0,9641.9,9640.45,15.080845061657973,0.039548637634700165
