concentration,electric_field,gap_mm,pressure,ne,ni,Ar_res,ErrAr_res
100.0,70.0,0.303,1.0,10023.62,10022.29,0.0,0.0
100.0,80.0,0.2124,1.0,10534.59,10532.98,0.0,0.0
100.0,90.0,0.1587,1.0,8426.04,8424.08,0.0,0.0
0.0,60.0,0.0901,1.0,10019.18,10018.17,28.808645018853838,0.05362228623798393
0.0,70.0,0.0722,1.0,9861.54,9860.51,23.868280207756595,0.04919695162401259
0.0,80.0,0.0602,1.0,9534.66,9533.48,20.48421233688459,0.04635077808809296
0.0,90.0,0.0516,1.0,9172.52,9171.16,17.897916821113498,0.04417300139726634
10.0,60.0,0.1071,1.0,10547.21,10546.17,27.4940007831455,0.051056398173828905
10.0,70.0,0.0832,1.0,8932.84,8931.77,22.716851527621674,0.0504288764442847
10.0,80.0,0.0678,1.0,10009.53,10008.32,19.3570527287495,0.04397570126900818
10.0,90.0,0.0572,1.0,8501.87,8500.52,16.98285200785239,0.04469388246360543
1.0,60.0,0.0914,1.0,9402.6,9401.57,28.64494926935103,0.05519503946755857
1.0,70.0,0.0731,1.0,10007.49,10006.44,23.696751133401083,0.048661088716502814
1.0,80.0,0.0608,1.0,9524.94,9523.77,20.372936732409862,0.04624829152458036
1.0,90.0,0.0519,1.0,9641.9,9640.45,17.782179860815816,0.04294485966294359
