concentration,electric_field,gap_mm,pressure,ne,ni,N2_star,ErrN2_star
100.0,70.0,0.303,1.0,10023.62,10022.29,384.95543526191136,0.19597150638454044
100.0,80.0,0.2124,1.0,10534.59,10532.98,323.8994588303864,0.1753461732548482
100.0,90.0,0.1587,1.0,8426.04,8424.08,281.6646965834484,0.1828329430227525
0.0,60.0,0.0901,1.0,10019.18,10018.17,0.0,0.0
0.0,70.0,0.0722,1.0,9861.54,9860.51,0.0,0.0
0.0,80.0,0.0602,1.0,9534.66,9533.48,0.0,0.0
0.0,90.0,0.0516,1.0,9172.52,9171.16,0.0,0.0
10.0,60.0,0.1071,1.0,10547.21,10546.17,24.00265093802058,0.04770466035597176
10.0,70.0,0.0832,1.0,8932.84,8931.77,19.996104262474194,0.047312720260257526
10.0,80.0,0.0678,1.0,10009.53,10008.32,17.241169165785006,0.04150271554398169
10.0,90.0,0.0572,1.0,8501.87,8500.52,15.367677934383845,0.04251546125528272
1.0,60.0,0.0914,1.0,9402.6,9401.57,2.2820283751302832,0.01557889103177504
1.0,70.0,0.0731,1.0,10007.49,10006.44,1.9146659152294931,0.013831966251348934
1.0,80.0,0.0608,1.0,9524.94,9523.77,1.6555484863946648,0.013183776378255066
1.0,90.0,0.0519,1.0,9641.9,9640.45,1.4514774059054751,0.012269414214914294
