level,gas,state_name,type,energy_eV,n_events,n_collisions
0,He, ELASTIC  ANISOTROPIC            HELIUM 4         ,elastic,0.0,179121284.0,0
1,He, IONISATION CHARGE STATE=1         ELOSS= 24.58739,ionisation,24.5874,204776.0,0
2,,,,,0.0,
3,He, ATTACHMENT                                       ,attachment,0.0,0.0,0
4,He, EXC  23S J=1    METASTABLE        ELOSS= 19.81961,excitation,19.8196,191942.0,0
5,He, EXC  21S J=0    METASTABLE        ELOSS= 20.61577,excitation,20.6158,153158.0,0
6,He," EXC  23P J=2,1,0                  ELOSS= 20.96409",excitation,20.9641,121292.0,0
7,He, EXC  21P J=1    RESONANT          ELOSS= 21.21802,excitation,21.218,137733.0,0
8,He, EXC  33S J=1                      ELOSS= 22.71847,excitation,22.7185,28378.0,0
9,He, EXC  31S J=0                      ELOSS= 22.92032,excitation,22.9203,18647.0,0
10,He," EXC  33P J=2,1,0                  ELOSS= 23.00707",excitation,23.0071,21368.0,0
11,He," EXC  33D J=3,2,1                  ELOSS= 23.07365",excitation,23.0737,4838.0,0
12,He, EXC  31D J=2                      ELOSS= 23.07407,excitation,23.0741,8128.0,0
13,He, EXC  31P J=1    RESONANT          ELOSS= 23.08702,excitation,23.087,25311.0,0
14,He, EXC  43S J=1                      ELOSS= 23.59396,excitation,23.594,8565.0,0
15,He, EXC  41S J=0                      ELOSS= 23.67357,excitation,23.6736,5179.0,0
16,He," EXC  43P J=2,1,0                  ELOSS= 23.70789",excitation,23.7079,7030.0,0
17,He," EXC  43D J=3,2,1                  ELOSS= 23.73609",excitation,23.7361,2310.0,0
18,He, EXC  41D J=2                      ELOSS= 23.73633,excitation,23.7363,3986.0,0
19,He," EXC  43F J=3,4,2                  ELOSS= 23.73701",excitation,23.737,422.0,0
20,He, EXC  41F J=3                      ELOSS= 23.73701,excitation,23.737,475.0,0
21,He, EXC  41P J=1    RESONANT          ELOSS= 23.74207,excitation,23.7421,9591.0,0
22,He, EXC  53S J=1                      ELOSS= 23.97197,excitation,23.972,4024.0,0
23,He, EXC  51S J=0                      ELOSS= 24.01121,excitation,24.0112,2568.0,0
24,He," EXC  53P J=2,1,0                  ELOSS= 24.02822",excitation,24.0282,3459.0,0
25,He," EXC  53D J=3,2,1                  ELOSS= 24.04266",excitation,24.0427,1056.0,0
26,He, EXC  51D J=2                      ELOSS= 24.04280,excitation,24.0428,1925.0,0
27,He," EXC  53F J=3,4,2                  ELOSS= 24.04315",excitation,24.0431,194.0,0
28,He, EXC  513 J=3                      ELOSS= 24.04315,excitation,24.0431,251.0,0
29,He, EXC  51P J=1    RESONANT          ELOSS= 24.04580,excitation,24.0458,4522.0,0
30,He, EXC  63S J=1                      ELOSS= 24.16900,excitation,24.169,2374.0,0
31,He, EXC  61S J=0                      ELOSS= 24.19116,excitation,24.1912,1395.0,0
32,He," EXC  63P J=2,1,0                  ELOSS= 24.20081",excitation,24.2008,1921.0,0
33,He," EXC  63D J=3,2,1                  ELOSS= 24.20916",excitation,24.2092,608.0,0
34,He, EXC  61D J=2                      ELOSS= 24.20925,excitation,24.2092,1079.0,0
35,He, EXC  61P J=1    RESONANT          ELOSS= 24.21100,excitation,24.211,2562.0,0
36,He, EXC  73S J=1                      ELOSS= 24.28456,excitation,24.2846,1458.0,0
37,He, EXC  71S J=0                      ELOSS= 24.29828,excitation,24.2983,840.0,0
38,He," EXC  73P J=2,1,0                  ELOSS= 24.30429",excitation,24.3043,1180.0,0
39,He," EXC  73D J=3,2,1                  ELOSS= 24.30954",excitation,24.3095,388.0,0
40,He, EXC  71D J=2                      ELOSS= 24.30960,excitation,24.3096,688.0,0
41,He, EXC  71P J=1    RESONANT          ELOSS= 24.31071,excitation,24.3107,1480.0,0
