file,electric_field,pressure,gap,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,ne_mean,ne_std,ni_mean,ni_std,n_entries
ar_20.0_cf4_80.0_36.6kVcm_1.000bar_0.5700mm_100npe.root,36.6,1.0,0.57,ar,20.0,cf4,80.0,80.0,96.72,153.72651040077636,193.45,298.5211487694402,100
ar_20.0_cf4_80.0_46.6kVcm_0.200bar_0.0500mm_100npe.root,46.6,0.2,0.05,ar,20.0,cf4,80.0,80.0,97.33,43.9069390066,96.35,43.79344884359031,100
ar_20.0_cf4_80.0_5.2kVcm_0.050bar_0.5700mm_100npe.root,5.2,0.05,0.57,ar,20.0,cf4,80.0,80.0,148.93,84.72489705994444,150.46,86.09231831427978,100
ar_20.0_cf4_80.0_71.2kVcm_1.000bar_0.0500mm_100npe.root,71.2,1.0,0.05,ar,20.0,cf4,80.0,80.0,111.95,65.67203100685754,116.96,68.70165628103572,100
ar_50.0_cf4_50.0_273.0kVcm_10.000bar_0.5700mm_100npe.root,273.0,10.0,0.57,ar,50.0,cf4,50.0,50.0,118.38,727.7878170639206,920.3,5527.205631321228,100
ar_50.0_cf4_50.0_31.3kVcm_1.000bar_0.5700mm_100npe.root,31.3,1.0,0.57,ar,50.0,cf4,50.0,50.0,150.14,212.58923355198925,261.31,365.16706277726325,100
ar_50.0_cf4_50.0_314.6kVcm_10.000bar_0.0500mm_100npe.root,314.6,10.0,0.05,ar,50.0,cf4,50.0,50.0,79.9,120.85532715197166,142.02,209.41660088749586,100
ar_50.0_cf4_50.0_45.7kVcm_0.200bar_0.0500mm_100npe.root,45.7,0.2,0.05,ar,50.0,cf4,50.0,50.0,106.18,54.42934072091202,105.04,54.30496005770271,100
ar_50.0_cf4_50.0_5.2kVcm_0.050bar_0.5700mm_100npe.root,5.2,0.05,0.57,ar,50.0,cf4,50.0,50.0,252.93,156.73340003607618,254.66,157.77590680353185,100
ar_50.0_cf4_50.0_65.8kVcm_1.000bar_0.0500mm_100npe.root,65.8,1.0,0.05,ar,50.0,cf4,50.0,50.0,97.7,66.15218145391059,99.96,67.83937058979987,100
ar_80.0_cf4_20.0_197.2kVcm_10.000bar_0.5700mm_100npe.root,197.2,10.0,0.57,ar,80.0,cf4,20.0,20.0,199.83,570.9404443635966,1128.14,3250.12633793292,100
ar_80.0_cf4_20.0_24.4kVcm_1.000bar_0.5700mm_100npe.root,24.4,1.0,0.57,ar,80.0,cf4,20.0,20.0,96.11,112.86184412185484,135.68,156.91121339435526,100
ar_80.0_cf4_20.0_248.3kVcm_10.000bar_0.0500mm_100npe.root,248.3,10.0,0.05,ar,80.0,cf4,20.0,20.0,87.1,103.70027711991648,118.52,139.75429232128158,100
ar_80.0_cf4_20.0_4.6kVcm_0.050bar_0.5700mm_100npe.root,4.6,0.05,0.57,ar,80.0,cf4,20.0,20.0,151.09,83.82221385380808,150.89,84.23546782919912,100
ar_80.0_cf4_20.0_45.5kVcm_0.200bar_0.0500mm_100npe.root,45.5,0.2,0.05,ar,80.0,cf4,20.0,20.0,99.83,44.29448172302179,98.69,44.32608621559002,100
ar_80.0_cf4_20.0_60.0kVcm_1.000bar_0.0500mm_100npe.root,60.0,1.0,0.05,ar,80.0,cf4,20.0,20.0,99.82,57.367921208968205,100.51,57.96367636527015,100
ar_85.0_cf4_15.0_22.7kVcm_1.000bar_0.5700mm_100npe.root,22.7,1.0,0.57,ar,85.0,cf4,15.0,15.0,125.81,156.16836906028539,167.76,205.9389494706888,100
ar_85.0_cf4_15.0_4.7kVcm_0.050bar_0.5700mm_100npe.root,4.7,0.05,0.57,ar,85.0,cf4,15.0,15.0,182.7,94.11871935663667,182.41,94.39655179030105,100
ar_85.0_cf4_15.0_44.9kVcm_0.200bar_0.0500mm_100npe.root,44.9,0.2,0.05,ar,85.0,cf4,15.0,15.0,97.26,43.605814643314154,95.98,43.55653008598497,100
ar_85.0_cf4_15.0_59.3kVcm_1.000bar_0.0500mm_100npe.root,59.3,1.0,0.05,ar,85.0,cf4,15.0,15.0,96.67,74.50375287137683,96.94,75.12882135359105,100
ar_90.0_cf4_10.0_20.9kVcm_1.000bar_0.5700mm_100npe.root,20.9,1.0,0.57,ar,90.0,cf4,10.0,10.0,88.09,93.50418291297038,110.99,117.06947734252735,100
ar_90.0_cf4_10.0_4.5kVcm_0.050bar_0.5700mm_100npe.root,4.5,0.05,0.57,ar,90.0,cf4,10.0,10.0,127.16,69.21168232095626,126.62,69.35078160403752,100
ar_90.0_cf4_10.0_45.0kVcm_0.200bar_0.0500mm_100npe.root,45.0,0.2,0.05,ar,90.0,cf4,10.0,10.0,108.08,45.919270398596204,106.84,45.83847794818301,100
ar_90.0_cf4_10.0_57.9kVcm_1.000bar_0.0500mm_100npe.root,57.9,1.0,0.05,ar,90.0,cf4,10.0,10.0,94.77,63.93855241439616,94.66,64.39245517006074,100
ar_95.0_cf4_5.0_133.1kVcm_10.000bar_0.5700mm_100npe.root,133.1,10.0,0.57,ar,95.0,cf4,5.0,5.0,82.17,179.2731145374554,242.53,511.78956090024406,100
ar_95.0_cf4_5.0_19.4kVcm_1.000bar_0.5700mm_100npe.root,19.4,1.0,0.57,ar,95.0,cf4,5.0,5.0,110.63,103.45600294547701,123.83,115.7758243984966,100
