concentration,electric_field,gap_mm,pressure,ne,ni,Ar_3rd,ErrAr_3rd
80.0,36.6,0.57,1.0,96.72,193.45,0.0,0.0
80.0,46.6,0.05,0.2,97.33,96.35,0.051371622315832734,0.022974087922529435
80.0,5.2,0.57,0.05,148.93,150.46,0.0,0.0
80.0,71.2,0.05,1.0,111.95,116.96,0.0,0.0
50.0,273.0,0.57,10.0,118.38,920.3,0.0,0.0
50.0,31.3,0.57,1.0,150.14,261.31,0.0,0.0
50.0,314.6,0.05,10.0,79.9,142.02,0.0,0.0
50.0,45.7,0.05,0.2,106.18,105.04,0.0847617253720098,0.028253908457336597
50.0,5.2,0.57,0.05,252.93,254.66,0.003953663068833274,0.003953663068833274
50.0,65.8,0.05,1.0,97.7,99.96,0.0,0.0
20.0,197.2,0.57,10.0,199.83,1128.14,0.0,0.0
20.0,24.4,0.57,1.0,96.11,135.68,0.0,0.0
20.0,248.3,0.05,10.0,87.1,118.52,0.0,0.0
20.0,4.6,0.57,0.05,151.09,150.89,0.0,0.0
20.0,45.5,0.05,0.2,99.83,98.69,0.15025543423820495,0.0387957862987821
20.0,60.0,0.05,1.0,99.82,100.51,0.0,0.0
15.0,22.7,0.57,1.0,125.81,167.76,0.0,0.0
15.0,4.7,0.57,0.05,182.7,182.41,0.0,0.0
15.0,44.9,0.05,0.2,97.26,95.98,0.2878881348961546,0.0544057435958172
15.0,59.3,0.05,1.0,96.67,96.94,0.0,0.0
10.0,20.9,0.57,1.0,88.09,110.99,0.0,0.0
10.0,4.5,0.57,0.05,127.16,126.62,0.0,0.0
10.0,45.0,0.05,0.2,108.08,106.84,0.25906735751295334,0.04895912862813825
10.0,57.9,0.05,1.0,94.77,94.66,0.0,0.0
5.0,133.1,0.57,10.0,82.17,242.53,0.0,0.0
5.0,19.4,0.57,1.0,110.63,123.83,0.0,0.0
5.0,202.0,0.05,10.0,105.93,116.66,0.0,0.0
5.0,4.2,0.57,0.05,92.58,91.74,0.0,0.0
5.0,44.5,0.05,0.2,99.26,98.11,0.17126737860165223,0.041538440717486
5.0,56.8,0.05,1.0,88.4,87.88,0.0,0.0
2.0,114.2,0.57,10.0,228.55,396.81,0.0,0.0
2.0,18.1,0.57,1.0,101.24,106.39,0.0,0.0
2.0,187.0,0.05,10.0,85.76,89.52,0.0,0.0
2.0,4.5,0.57,0.05,143.69,142.86,0.0,0.0
2.0,45.3,0.05,0.2,110.82,109.47,0.31582746796607114,0.05338458566233186
2.0,56.5,0.05,1.0,104.65,103.91,0.0,0.0
1.0,0.8,13.8938,0.05,77.86,80.08,0.0,0.0
1.0,0.8,13.8938,0.05,77.86,80.08,0.0,0.0
1.0,1.0,8.1726,0.05,90.2,90.97,0.0,0.0
1.0,1.0,8.1726,0.05,90.2,90.97,0.0,0.0
1.0,1.4,3.9348,0.05,122.6,122.44,0.0,0.0
1.0,1.4,3.9348,0.05,122.6,122.44,0.0,0.0
1.0,1.5,3.145,0.05,136.95,136.51,0.0,0.0
1.0,1.5,3.145,0.05,136.95,136.51,0.0,0.0
1.0,10.2,4.2352,1.0,27.05,38.84,0.0,0.0
1.0,100.0,0.1112,0.05,108.07,101.06,4.811696122883316,0.21100683355216768
1.0,100.0,0.1112,0.05,108.07,101.06,4.811696122883316,0.21100683355216768
1.0,1021.2,0.0022,10.0,87.65,86.66,0.022818026240730177,0.016134781088112893
1.0,104.3,0.4769,10.0,75.38,107.52,0.0,0.0
