concentration,electric_field,gap_mm,pressure,ne,ni,Ar_794,ErrAr_794
80.0,36.6,0.57,1.0,96.72,193.45,88.94747725392887,0.9589780651424772
80.0,46.6,0.05,0.2,97.33,96.35,9.308537963628892,0.30925545963818785
80.0,5.2,0.57,0.05,148.93,150.46,18.59934197273887,0.35339279841377197
80.0,71.2,0.05,1.0,111.95,116.96,26.03841000446628,0.4822754796495967
50.0,273.0,0.57,10.0,118.38,920.3,994.7457340767022,2.8987908037044825
50.0,31.3,0.57,1.0,150.14,261.31,192.11402690821902,1.1311789946179105
50.0,314.6,0.05,10.0,79.9,142.02,200.2127659574468,1.5829693029986018
50.0,45.7,0.05,0.2,106.18,105.04,22.970427575814654,0.4651180344647107
50.0,5.2,0.57,0.05,252.93,254.66,40.244336377653894,0.39888914057170527
50.0,65.8,0.05,1.0,97.7,99.96,61.87308085977482,0.795799366117714
20.0,197.2,0.57,10.0,199.83,1128.14,1545.7138567782615,2.7812127132645337
20.0,24.4,0.57,1.0,96.11,135.68,296.58724378316515,1.7566771223997182
20.0,248.3,0.05,10.0,87.1,118.52,283.5820895522388,1.8043896263492207
20.0,4.6,0.57,0.05,151.09,150.89,62.373419816003704,0.6425129975252681
20.0,45.5,0.05,0.2,99.83,98.69,34.42852849844736,0.5872576663167326
20.0,60.0,0.05,1.0,99.82,100.51,89.63133640552996,0.9475914928927045
15.0,22.7,0.57,1.0,125.81,167.76,313.75089420554804,1.5791918898357107
15.0,4.7,0.57,0.05,182.7,182.41,63.8040503557745,0.5909555978593901
15.0,44.9,0.05,0.2,97.26,95.98,35.68784700801974,0.6057494682975708
15.0,59.3,0.05,1.0,96.67,96.94,93.04851556842867,0.9810900365175962
10.0,20.9,0.57,1.0,88.09,110.99,352.03768872743785,1.9990850692117277
10.0,4.5,0.57,0.05,127.16,126.62,68.97609311104121,0.7365021793159607
10.0,45.0,0.05,0.2,108.08,106.84,35.93634344929682,0.5766260714612467
10.0,57.9,0.05,1.0,94.77,94.66,98.38556505223173,1.018896925573351
5.0,133.1,0.57,10.0,82.17,242.53,1680.029207740051,4.521700287592307
5.0,19.4,0.57,1.0,110.63,123.83,355.0302811172377,1.7914151468837358
5.0,202.0,0.05,10.0,105.93,116.66,337.5342207117908,1.7850460275346318
5.0,4.2,0.57,0.05,92.58,91.74,75.70749621948585,0.9042965074941065
5.0,44.5,0.05,0.2,99.26,98.11,39.45194438847471,0.6304448054467868
5.0,56.8,0.05,1.0,88.4,87.88,106.84389140271493,1.0993822381049168
2.0,114.2,0.57,10.0,228.55,396.81,1332.714942025815,2.4147825044869853
2.0,18.1,0.57,1.0,101.24,106.39,381.1240616357171,1.940247425322588
2.0,187.0,0.05,10.0,85.76,89.52,364.48227611940297,2.061559249832853
2.0,4.5,0.57,0.05,143.69,142.86,74.59809311712715,0.7205275493104906
2.0,45.3,0.05,0.2,110.82,109.47,38.68435300487277,0.5908246358011497
2.0,56.5,0.05,1.0,104.65,103.91,105.97228858098423,1.006297839801301
1.0,0.8,13.8938,0.05,77.86,80.08,440.77832006164914,2.3793203166119734
1.0,0.8,13.8938,0.05,77.86,80.08,440.77832006164914,2.3793203166119734
1.0,1.0,8.1726,0.05,90.2,90.97,327.86031042128604,1.9065190718718639
1.0,1.0,8.1726,0.05,90.2,90.97,327.86031042128604,1.9065190718718639
1.0,1.4,3.9348,0.05,122.6,122.44,219.91027732463297,1.3392989489849934
1.0,1.4,3.9348,0.05,122.6,122.44,219.91027732463297,1.3392989489849934
1.0,1.5,3.145,0.05,136.95,136.51,191.56626506024097,1.182710623149449
1.0,1.5,3.145,0.05,136.95,136.51,191.56626506024097,1.182710623149449
1.0,10.2,4.2352,1.0,27.05,38.84,1375.1940850277265,7.130145021190393
1.0,100.0,0.1112,0.05,108.07,101.06,12.325344684001111,0.33771236403987526
1.0,100.0,0.1112,0.05,108.07,101.06,12.325344684001111,0.33771236403987526
1.0,1021.2,0.0022,10.0,87.65,86.66,69.36679977181973,0.8896104364914056
1.0,104.3,0.4769,10.0,75.38,107.52,1320.7349429556912,4.185812470811668
1.0,104.4,0.57,10.0,175.34,248.13,1302.207140412912,2.7252072465049437
1.0,11.1,0.1957,0.05,90.07,88.81,40.10214277783946,0.6672578750445973
1.0,11.1,0.1957,0.05,90.07,88.81,40.10214277783946,0.6672578750445973
1.0,111.0,0.0204,1.0,103.88,102.89,64.41085868309588,0.7874329321734721
1.0,111.0,0.3486,10.0,105.83,133.66,1029.8875555135594,3.119539629782209
1.0,114.6,0.2986,10.0,97.01,117.33,922.8223894443871,3.0842587756342144
1.0,118.2,0.2598,10.0,92.63,109.29,868.4335528446508,3.061910310842329
1.0,1182.3,0.0018,10.0,82.01,81.0,61.13888550176807,0.8634264585831231
1.0,12.3,0.1807,0.05,91.3,90.11,38.35706462212487,0.6481675630016863
1.0,12.3,0.1807,0.05,91.3,90.11,38.35706462212487,0.6481675630016863
1.0,123.3,0.0179,1.0,101.31,100.27,57.792912841772775,0.7552854776942558
1.0,125.9,0.1971,10.0,111.44,125.17,729.3880114860015,2.5583429309728465
1.0,13.7,1.3416,1.0,87.07,93.72,606.9254622717355,2.6401792085508986
1.0,131.3,0.1627,10.0,112.21,123.55,659.2460565012032,2.423862552587622
1.0,150.4,0.0969,10.0,105.18,109.71,500.2947328389427,2.180953379260441
1.0,152.0,0.0146,1.0,109.42,108.29,49.53390605008225,0.672826259159421
1.0,168.8,0.0129,1.0,106.21,105.07,47.02946991808681,0.6654299400841587
1.0,172.3,0.0618,10.0,92.59,94.79,406.0373690463333,2.094117087184691
1.0,18.1,0.57,1.0,148.87,152.0,378.9010546114059,1.5953622552705036
1.0,18.7,0.1399,0.05,109.11,106.98,29.538997342131793,0.520314102364119
1.0,18.7,0.1399,0.05,109.11,106.98,29.538997342131793,0.520314102364119
1.0,18.7,0.501,1.0,120.76,122.62,356.7489234845975,1.7187779892860227
1.0,182.3,0.05,10.0,71.34,72.24,378.3291281188674,2.3028642473023906
