concentration,electric_field,gap_mm,pressure,ne,ni,Ar_dbleStar,ErrAr_dbleStar
80.0,36.6,0.57,1.0,96.72,193.45,158.8502894954508,1.2815509042469948
80.0,46.6,0.05,0.2,97.33,96.35,15.308743450118156,0.39659424772667795
80.0,5.2,0.57,0.05,148.93,150.46,31.26300946753508,0.45816751787368504
80.0,71.2,0.05,1.0,111.95,116.96,43.95712371594462,0.6266175938292303
50.0,273.0,0.57,10.0,118.38,920.3,1894.906234161176,4.000872343381496
50.0,31.3,0.57,1.0,150.14,261.31,354.4625016651126,1.5365154918086423
50.0,314.6,0.05,10.0,79.9,142.02,368.7734668335419,2.1483569611356135
50.0,45.7,0.05,0.2,106.18,105.04,37.73780372951592,0.5961656514634944
50.0,5.2,0.57,0.05,252.93,254.66,66.63108369904717,0.5132610007172389
50.0,65.8,0.05,1.0,97.7,99.96,103.19344933469806,1.0277294056140198
20.0,197.2,0.57,10.0,199.83,1128.14,3278.681879597658,4.050599418640535
20.0,24.4,0.57,1.0,96.11,135.68,594.7664134845489,2.4876480071079636
20.0,248.3,0.05,10.0,87.1,118.52,562.8702640642939,2.54211431041436
20.0,4.6,0.57,0.05,151.09,150.89,104.36825733006818,0.8311250180441909
20.0,45.5,0.05,0.2,99.83,98.69,56.34578783932686,0.7512771711910248
20.0,60.0,0.05,1.0,99.82,100.51,153.5764375876578,1.2403764495516925
15.0,22.7,0.57,1.0,125.81,167.76,640.4816787218822,2.256294445987081
15.0,4.7,0.57,0.05,182.7,182.41,107.60262725779968,0.7674359931619289
15.0,44.9,0.05,0.2,97.26,95.98,58.5955171704709,0.776184674073916
15.0,59.3,0.05,1.0,96.67,96.94,162.56335988414193,1.2967775223713542
10.0,20.9,0.57,1.0,88.09,110.99,741.1851515495516,2.900681533840333
10.0,4.5,0.57,0.05,127.16,126.62,115.42938030827304,0.9527586983976528
10.0,45.0,0.05,0.2,108.08,106.84,59.41894892672095,0.7414635643837593
10.0,57.9,0.05,1.0,94.77,94.66,170.25429988392952,1.3403357586873255
5.0,133.1,0.57,10.0,82.17,242.53,4304.953145917001,7.238149867719629
5.0,19.4,0.57,1.0,110.63,123.83,763.4005242700895,2.6268771979943373
5.0,202.0,0.05,10.0,105.93,116.66,715.4630416312659,2.598867368397318
5.0,4.2,0.57,0.05,92.58,91.74,127.57615035644848,1.1738866355772848
5.0,44.5,0.05,0.2,99.26,98.11,63.29840822083417,0.7985631377903816
5.0,56.8,0.05,1.0,88.4,87.88,186.52714932126696,1.4525961674898453
2.0,114.2,0.57,10.0,228.55,396.81,3776.889083351564,4.06514932069774
2.0,18.1,0.57,1.0,101.24,106.39,845.0118530225208,2.8890518231435
2.0,187.0,0.05,10.0,85.76,89.52,796.1520522388059,3.046881916828746
2.0,4.5,0.57,0.05,143.69,142.86,125.158326953859,0.9332899778267221
2.0,45.3,0.05,0.2,110.82,109.47,64.64537087168381,0.7637648066955001
2.0,56.5,0.05,1.0,104.65,103.91,183.75537505972287,1.3251053562120456
1.0,0.8,13.8938,0.05,77.86,80.08,1024.3770870793733,3.62721023450161
1.0,0.8,13.8938,0.05,77.86,80.08,1024.3770870793733,3.62721023450161
1.0,1.0,8.1726,0.05,90.2,90.97,700.1108647450111,2.7859937634432512
1.0,1.0,8.1726,0.05,90.2,90.97,700.1108647450111,2.7859937634432512
