concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4
80.0,36.6,0.57,1.0,96.72,193.45,131.38957816377172,1.1655269372243138
80.0,46.6,0.05,0.2,97.33,96.35,68.07767389294155,0.8363325357019921
80.0,5.2,0.57,0.05,148.93,150.46,68.91156919358087,0.6802287365634734
80.0,71.2,0.05,1.0,111.95,116.96,69.64716391246091,0.7887505392975461
50.0,273.0,0.57,10.0,118.38,920.3,248.13313059638455,1.4477821227011967
50.0,31.3,0.57,1.0,150.14,261.31,56.11429332622886,0.6113480668271554
50.0,314.6,0.05,10.0,79.9,142.02,57.44680851063829,0.8479291457298783
50.0,45.7,0.05,0.2,106.18,105.04,39.42362026747033,0.6093360753295088
50.0,5.2,0.57,0.05,252.93,254.66,36.48044913612462,0.3797780990051251
50.0,65.8,0.05,1.0,97.7,99.96,34.442169907881265,0.5937422727645107
20.0,197.2,0.57,10.0,199.83,1128.14,59.43552019216334,0.5453718152005195
20.0,24.4,0.57,1.0,96.11,135.68,14.847570492144419,0.3930460257522444
20.0,248.3,0.05,10.0,87.1,118.52,14.236509758897819,0.4042897097969922
20.0,4.6,0.57,0.05,151.09,150.89,12.045800516248594,0.2823579192230001
20.0,45.5,0.05,0.2,99.83,98.69,14.57477712110588,0.38209418256557454
20.0,60.0,0.05,1.0,99.82,100.51,11.46062913243839,0.3388406035922213
15.0,22.7,0.57,1.0,125.81,167.76,10.30919640728082,0.28625614983497505
15.0,4.7,0.57,0.05,182.7,182.41,8.943623426382048,0.22125213936954283
15.0,44.9,0.05,0.2,97.26,95.98,11.659469463294263,0.3462360320888903
15.0,59.3,0.05,1.0,96.67,96.94,8.575566359780698,0.2978417306069715
10.0,20.9,0.57,1.0,88.09,110.99,6.368486774889318,0.26887772238226837
10.0,4.5,0.57,0.05,127.16,126.62,5.685750235923247,0.2114553265138212
10.0,45.0,0.05,0.2,108.08,106.84,7.170614359733531,0.25757607155949397
10.0,57.9,0.05,1.0,94.77,94.66,5.392001688297984,0.2385281113317994
5.0,133.1,0.57,10.0,82.17,242.53,7.49665327978581,0.3020487683093795
5.0,19.4,0.57,1.0,110.63,123.83,2.711741842176625,0.1565624882553446
5.0,202.0,0.05,10.0,105.93,116.66,2.6810157651279143,0.15908901676911844
5.0,4.2,0.57,0.05,92.58,91.74,2.7759775329444807,0.17316072091036291
5.0,44.5,0.05,0.2,99.26,98.11,3.7578077775538987,0.1945719113019138
5.0,56.8,0.05,1.0,88.4,87.88,2.601809954751131,0.1715582679649672
2.0,114.2,0.57,10.0,228.55,396.81,1.9208050754758257,0.0916750244574796
2.0,18.1,0.57,1.0,101.24,106.39,1.185302252074279,0.10820279682045954
2.0,187.0,0.05,10.0,85.76,89.52,0.9794776119402985,0.10686976900549999
2.0,4.5,0.57,0.05,143.69,142.86,1.0508734080311783,0.08551886510852884
2.0,45.3,0.05,0.2,110.82,109.47,1.353546291283162,0.11051659189601057
