file,electric_field,pressure,gap,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,ne_mean,ne_std,ni_mean,ni_std,n_entries
ar_50.0_cf4_50.0_102.9kVcm_1.000bar_0.0500mm_10npe.root,102.9,1.0,0.05,ar,50.0,cf4,50.0,50.0,11727.2,6987.373593370639,11853.2,7062.304310759894,10
ar_50.0_cf4_50.0_35.1kVcm_1.000bar_0.5700mm_10npe.root,35.1,1.0,0.57,ar,50.0,cf4,50.0,50.0,6916.0,4602.040272169146,9473.9,6297.099763647812,10
ar_50.0_cf4_50.0_363.5kVcm_10.000bar_0.0500mm_10npe.root,363.5,10.0,0.05,ar,50.0,cf4,50.0,50.0,16285.6,15917.7222979783,21250.4,20732.049489725912,10
ar_50.0_cf4_50.0_9.1kVcm_0.050bar_0.5700mm_10npe.root,9.1,0.05,0.57,ar,50.0,cf4,50.0,50.0,44497.6,17345.459080436907,44573.1,17372.02349532783,10
ar_80.0_cf4_20.0_201.1kVcm_10.000bar_0.5700mm_10npe.root,201.1,10.0,0.57,ar,80.0,cf4,20.0,20.0,3001.9,9329.90863894771,11963.6,37204.7419922664,10
ar_80.0_cf4_20.0_28.3kVcm_1.000bar_0.5700mm_10npe.root,28.3,1.0,0.57,ar,80.0,cf4,20.0,20.0,12276.6,8942.612745227825,14673.6,10677.667183841651,10
ar_80.0_cf4_20.0_302.2kVcm_10.000bar_0.0500mm_10npe.root,302.2,10.0,0.05,ar,80.0,cf4,20.0,20.0,17744.7,9726.61281742005,20318.4,11152.204925982624,10
ar_80.0_cf4_20.0_9.8kVcm_0.050bar_0.5700mm_10npe.root,9.8,0.05,0.57,ar,80.0,cf4,20.0,20.0,97218.0,45778.78312299511,97152.8,45744.60164580443,10
ar_80.0_cf4_20.0_94.3kVcm_1.000bar_0.0500mm_10npe.root,94.3,1.0,0.05,ar,80.0,cf4,20.0,20.0,7589.4,4583.225724797378,7628.8,4605.567471369119,10
ar_90.0_cf4_10.0_25.6kVcm_1.000bar_0.5700mm_10npe.root,25.6,1.0,0.57,ar,90.0,cf4,10.0,10.0,8252.8,9271.142369980327,9126.3,10268.499252568508,10
ar_90.0_cf4_10.0_278.6kVcm_10.000bar_0.0500mm_10npe.root,278.6,10.0,0.05,ar,90.0,cf4,10.0,10.0,25212.2,20652.48940496574,27157.3,22256.090033217126,10
ar_90.0_cf4_10.0_7.9kVcm_0.050bar_0.5700mm_10npe.root,7.9,0.05,0.57,ar,90.0,cf4,10.0,10.0,14154.2,5939.224000939293,14154.3,5939.42733958605,10
ar_90.0_cf4_10.0_93.9kVcm_1.000bar_0.0500mm_10npe.root,93.9,1.0,0.05,ar,90.0,cf4,10.0,10.0,12271.2,6090.802552482993,12299.6,6103.697935586991,10
ar_95.0_cf4_5.0_129.2kVcm_10.000bar_0.5700mm_10npe.root,129.2,10.0,0.57,ar,95.0,cf4,5.0,5.0,23.3,73.68106948192323,76.4,240.19445825784112,10
ar_95.0_cf4_5.0_24.0kVcm_1.000bar_0.5700mm_10npe.root,24.0,1.0,0.57,ar,95.0,cf4,5.0,5.0,10803.5,13541.551300021394,11404.8,14290.455593390529,10
ar_95.0_cf4_5.0_255.1kVcm_10.000bar_0.0500mm_10npe.root,255.1,10.0,0.05,ar,95.0,cf4,5.0,5.0,10911.0,7320.616913894621,11409.9,7647.479169998148,10
ar_95.0_cf4_5.0_8.0kVcm_0.050bar_0.5700mm_10npe.root,8.0,0.05,0.57,ar,95.0,cf4,5.0,5.0,12948.6,6906.322822843813,12941.2,6903.012463169009,10
ar_95.0_cf4_5.0_93.0kVcm_1.000bar_0.0500mm_10npe.root,93.0,1.0,0.05,ar,95.0,cf4,5.0,5.0,9455.7,4613.255034258469,9465.4,4621.562030309666,10
ar_98.0_cf4_2.0_22.7kVcm_1.000bar_0.5700mm_10npe.root,22.7,1.0,0.57,ar,98.0,cf4,2.0,2.0,6563.3,4032.9872592575016,6727.1,4130.911372405207,10
ar_98.0_cf4_2.0_233.1kVcm_10.000bar_0.0500mm_10npe.root,233.1,10.0,0.05,ar,98.0,cf4,2.0,2.0,3455.8,2607.4284394143333,3530.0,2661.7116464577616,10
ar_98.0_cf4_2.0_8.2kVcm_0.050bar_0.5700mm_10npe.root,8.2,0.05,0.57,ar,98.0,cf4,2.0,2.0,23039.2,7759.806180282827,23019.1,7750.568329699012,10
ar_98.0_cf4_2.0_92.1kVcm_1.000bar_0.0500mm_10npe.root,92.1,1.0,0.05,ar,98.0,cf4,2.0,2.0,10152.5,6361.809582710463,10155.5,6365.385547369983,10
ar_99.0_cf4_1.0_1.0kVcm_0.050bar_16.2949mm_10npe.root,1.0,0.05,16.2949,ar,99.0,cf4,1.0,1.0,10968.9,7149.2979678660295,11171.8,7279.857229979782,10
ar_99.0_cf4_1.0_102.5kVcm_10.000bar_1.0834mm_10npe.root,102.5,10.0,1.0834,ar,99.0,cf4,1.0,1.0,7780.7,10553.670273100886,11607.0,15759.290353453243,10
ar_99.0_cf4_1.0_107.5kVcm_1.000bar_0.0424mm_10npe.root,107.5,1.0,0.0424,ar,99.0,cf4,1.0,1.0,12318.3,7456.143031085174,12317.7,7456.8861545702985,10
ar_99.0_cf4_1.0_116.1kVcm_10.000bar_0.5700mm_10npe.root,116.1,10.0,0.57,ar,99.0,cf4,1.0,1.0,4389.8,6213.388390314009,5335.2,7535.719884508565,10
