concentration,electric_field,gap_mm,pressure,ne,ni,Ar_3rd,ErrAr_3rd
50.0,102.9,0.05,1.0,11727.2,11853.2,0.0,0.0
50.0,35.1,0.57,1.0,6916.0,9473.9,0.0,0.0
50.0,358.7,0.05,10.0,,,0.0,0.0
50.0,363.5,0.05,10.0,16285.6,21250.4,0.0,0.0
50.0,9.1,0.57,0.05,44497.6,44573.1,0.0,0.0
20.0,201.1,0.57,10.0,3001.9,11963.6,0.0,0.0
20.0,28.3,0.57,1.0,12276.6,14673.6,0.0,0.0
20.0,293.3,0.05,10.0,,,0.0,0.0
20.0,302.2,0.05,10.0,17744.7,20318.4,0.0,0.0
20.0,9.8,0.57,0.05,97218.0,97152.8,0.0,0.0
20.0,94.3,0.05,1.0,7589.4,7628.8,0.0,0.0
10.0,25.6,0.57,1.0,8252.8,9126.3,0.0,0.0
10.0,267.3,0.05,10.0,,,0.0,0.0
10.0,278.6,0.05,10.0,25212.2,27157.3,0.0,0.0
10.0,7.9,0.57,0.05,14154.2,14154.3,0.0,0.0
10.0,93.9,0.05,1.0,12271.2,12299.6,0.0,0.0
5.0,129.2,0.57,10.0,23.3,76.4,0.0,0.0
5.0,24.0,0.57,1.0,10803.5,11404.8,0.0,0.0
5.0,252.4,0.05,10.0,,,0.0,0.0
5.0,255.1,0.05,10.0,10911.0,11409.9,0.0,0.0
5.0,8.0,0.57,0.05,12948.6,12941.2,0.0,0.0
5.0,93.0,0.05,1.0,9455.7,9465.4,0.0,0.0
2.0,22.7,0.57,1.0,6563.3,6727.1,0.0,0.0
2.0,233.1,0.05,10.0,3455.8,3530.0,0.0,0.0
2.0,238.7,0.05,10.0,,,0.0,0.0
2.0,8.2,0.57,0.05,23039.2,23019.1,0.0,0.0
2.0,92.1,0.05,1.0,10152.5,10155.5,0.0,0.0
1.0,1.0,16.2949,0.05,10968.9,11171.8,0.0,0.0
1.0,102.5,1.0834,10.0,7780.7,11607.0,0.0,0.0
1.0,107.5,0.0424,1.0,12318.3,12317.7,0.0,0.0
1.0,116.1,0.57,10.0,4389.8,5335.2,0.0,0.0
1.0,12.0,4.8661,1.0,2204.2,2605.6,0.0,0.0
1.0,120.0,0.0371,1.0,9991.4,9990.0,0.0,0.0
1.0,125.0,0.4042,10.0,17557.3,20015.2,0.0,0.0
1.0,13.2,0.3861,0.05,30797.9,30643.3,0.0,0.0
1.0,147.5,0.2059,10.0,9391.9,9988.2,0.0,0.0
1.0,16.5,1.386,1.0,5133.4,5333.0,0.0,0.0
1.0,170.0,0.1256,10.0,9685.2,10021.2,0.0,0.0
1.0,19.4,0.3016,0.05,32561.3,32181.0,0.0,0.0
1.0,192.5,0.0858,10.0,4767.4,4870.3,0.0,0.0
1.0,21.0,0.6736,1.0,3873.1,3932.4,0.0,0.0
1.0,215.0,0.0633,10.0,8752.9,8877.0,0.0,0.0
1.0,22.4,0.57,1.0,7298.3,7390.0,0.0,0.0
1.0,235.8,0.05,10.0,,,0.0,0.0
1.0,237.5,0.0492,10.0,6211.2,6274.2,0.0,0.0
1.0,238.5,0.05,10.0,8062.5,8144.4,0.0,0.0
1.0,25.5,0.2566,0.05,21370.2,20966.2,0.0,0.0
1.0,25.5,0.4164,1.0,4794.0,4831.9,0.0,0.0
1.0,260.0,0.0398,10.0,8900.0,8968.2,0.0,0.0
1.0,30.0,0.2932,1.0,11220.7,11274.7,0.0,0.0
1.0,31.6,0.2279,0.05,15143.4,14758.0,0.0,0.0
1.0,32.5,0.2501,1.0,4900.8,4918.3,0.0,0.0
1.0,37.8,0.2075,0.05,10099.3,9797.9,0.0,0.0
1.0,43.9,0.1922,0.05,6599.6,6371.0,0.0,0.0
1.0,45.0,0.141,1.0,7812.5,7823.2,0.0,0.0
1.0,50.0,0.1801,0.05,3772.7,3630.1,0.0,0.0
1.0,57.5,0.097,1.0,6390.5,6393.9,0.0,0.0
1.0,7.1,0.6288,0.05,15368.6,15360.6,0.0,0.0
1.0,7.6,0.57,0.05,12199.0,12189.4,0.0,0.0
1.0,70.0,0.0736,1.0,14956.9,14963.6,0.0,0.0
1.0,82.5,0.0592,1.0,14006.0,14008.7,0.0,0.0
1.0,94.1,0.05,1.0,14398.9,14400.4,0.0,0.0
1.0,95.0,0.0494,1.0,11863.6,11864.0,0.0,0.0
0.5,112.0,0.57,10.0,15388.6,17073.1,0.0,0.0
0.5,22.5,0.57,1.0,11114.1,11180.4,0.0,0.0
0.5,237.2,0.05,10.0,5776.5,5803.6,0.0,0.0
0.5,237.7,0.05,10.0,,,0.0,0.0
0.5,7.9,0.57,0.05,13187.6,13176.0,0.0,0.0
0.5,92.0,0.05,1.0,9680.7,9680.7,0.0,0.0
0.1,107.0,0.57,10.0,3492.5,3580.0,0.0,0.0
0.1,22.3,0.57,1.0,6435.9,6444.1,0.0,0.0
0.1,235.6,0.05,10.0,,,0.0,0.0
0.1,237.8,0.05,10.0,8364.3,8371.0,0.0,0.0
0.1,7.8,0.57,0.05,12039.6,12029.2,0.0,0.0
0.1,92.1,0.05,1.0,8783.9,8783.2,0.0,0.0
100.0,109.8,0.05,1.0,6938.2,7079.4,0.0,0.0
100.0,339.4,0.57,10.0,0.0,0.9,0.0,0.0
100.0,43.6,0.57,1.0,10217.6,15629.1,0.0,0.0
100.0,446.2,0.05,10.0,,,0.0,0.0
100.0,446.9,0.05,10.0,7763.5,11332.9,0.0,0.0
100.0,8.5,0.57,0.05,10430.3,10490.2,0.0,0.0
