concentration,electric_field,gap_mm,pressure,ne,ni,Ar_696,ErrAr_696
50.0,102.9,0.05,1.0,11727.2,11853.2,3.857783614161948,0.01813726365096332
50.0,35.1,0.57,1.0,6916.0,9473.9,12.799595141700404,0.04302002160363019
50.0,358.7,0.05,10.0,,,0.0,0.0
50.0,363.5,0.05,10.0,16285.6,21250.4,11.803863535884462,0.026922179044614324
50.0,9.1,0.57,0.05,44497.6,44573.1,2.521664089748661,0.0075279256837382106
20.0,201.1,0.57,10.0,3001.9,11963.6,99.21582997434957,0.18179937023489726
20.0,28.3,0.57,1.0,12276.6,14673.6,19.981835361582196,0.04034397028575623
20.0,293.3,0.05,10.0,,,0.0,0.0
20.0,302.2,0.05,10.0,17744.7,20318.4,17.750595952594296,0.03162802974506992
20.0,9.8,0.57,0.05,97218.0,97152.8,3.4864634121253264,0.005988516007678025
20.0,94.3,0.05,1.0,7589.4,7628.8,5.833794502859251,0.02772501833148973
10.0,25.6,0.57,1.0,8252.8,9126.3,22.6131737107406,0.0523455900032696
10.0,267.3,0.05,10.0,,,0.0,0.0
10.0,278.6,0.05,10.0,25212.2,27157.3,20.08563314585796,0.028225223616186547
10.0,7.9,0.57,0.05,14154.2,14154.3,4.402721453702788,0.017636724908158537
10.0,93.9,0.05,1.0,12271.2,12299.6,6.3837277527870135,0.022808339115373753
5.0,129.2,0.57,10.0,23.3,76.4,176.65236051502146,2.753478958342565
5.0,24.0,0.57,1.0,10803.5,11404.8,24.29360855278382,0.04742024315224191
5.0,252.4,0.05,10.0,,,0.0,0.0
5.0,255.1,0.05,10.0,10911.0,11409.9,22.29905599853359,0.045207548946659376
5.0,8.0,0.57,0.05,12948.6,12941.2,4.559257371453285,0.018764441681448724
5.0,93.0,0.05,1.0,9455.7,9465.4,6.626690779106782,0.026472899463997935
2.0,22.7,0.57,1.0,6563.3,6727.1,25.870674812975178,0.06278309925926985
2.0,233.1,0.05,10.0,3455.8,3530.0,25.054111927773597,0.08514618744050813
2.0,238.7,0.05,10.0,,,0.0,0.0
2.0,8.2,0.57,0.05,23039.2,23019.1,4.572684815444981,0.014088084126483675
2.0,92.1,0.05,1.0,10152.5,10155.5,6.911499630632849,0.026091535932023638
1.0,1.0,16.2949,0.05,10968.9,11171.8,30.612823528339213,0.052828728174534996
1.0,102.5,1.0834,10.0,7780.7,11607.0,132.19504671816162,0.130346164404072
1.0,107.5,0.0424,1.0,12318.3,12317.7,6.173092066275379,0.02238597367549049
1.0,116.1,0.57,10.0,4389.8,5335.2,84.71160417331086,0.13891498165901686
1.0,12.0,4.8661,1.0,2204.2,2605.6,78.07095544868888,0.18819983926038786
1.0,120.0,0.0371,1.0,9991.4,9990.0,5.72512360630142,0.023937525875806154
1.0,125.0,0.4042,10.0,17557.3,20015.2,69.58102897370325,0.06295301846593068
1.0,13.2,0.3861,0.05,30797.9,30643.3,3.3919520486786436,0.010494561569184971
