concentration,electric_field,gap_mm,pressure,ne,ni,Ar_dbleStar,ErrAr_dbleStar
50.0,102.9,0.05,1.0,11727.2,11853.2,6.891670646019509,0.024241812689437477
50.0,35.1,0.57,1.0,6916.0,9473.9,24.76735106998265,0.05984285265733521
50.0,358.7,0.05,10.0,,,0.0,0.0
50.0,363.5,0.05,10.0,16285.6,21250.4,22.835142702755807,0.03744553010748338
50.0,9.1,0.57,0.05,44497.6,44573.1,4.392057099708748,0.009934950209919587
20.0,201.1,0.57,10.0,3001.9,11963.6,224.04776974582762,0.27319465748568245
20.0,28.3,0.57,1.0,12276.6,14673.6,40.99498232409625,0.057786487739764074
20.0,293.3,0.05,10.0,,,0.0,0.0
20.0,302.2,0.05,10.0,17744.7,20318.4,35.99238082356985,0.04503715589940255
20.0,9.8,0.57,0.05,97218.0,97152.8,6.060780925343043,0.00789570569219104
20.0,94.3,0.05,1.0,7589.4,7628.8,10.45972013597913,0.03712413222205278
10.0,25.6,0.57,1.0,8252.8,9126.3,47.78269193485848,0.07609123732526825
10.0,267.3,0.05,10.0,,,0.0,0.0
10.0,278.6,0.05,10.0,25212.2,27157.3,41.60430267886182,0.040622229165450205
10.0,7.9,0.57,0.05,14154.2,14154.3,7.698139068262424,0.0233211634216882
10.0,93.9,0.05,1.0,12271.2,12299.6,11.431644826911793,0.03052184933177289
5.0,129.2,0.57,10.0,23.3,76.4,494.7639484978541,4.608091169603278
5.0,24.0,0.57,1.0,10803.5,11404.8,52.36321562456611,0.06961950261664396
5.0,252.4,0.05,10.0,,,0.0,0.0
5.0,255.1,0.05,10.0,10911.0,11409.9,47.39437265145266,0.06590693444558843
5.0,8.0,0.57,0.05,12948.6,12941.2,7.942711953415813,0.0247669768892578
5.0,93.0,0.05,1.0,9455.7,9465.4,11.937032689277366,0.035530502455253826
2.0,22.7,0.57,1.0,6563.3,6727.1,56.774793168070936,0.09300721765666879
2.0,233.1,0.05,10.0,3455.8,3530.0,54.4556976676891,0.12552995209093024
2.0,238.7,0.05,10.0,,,0.0,0.0
2.0,8.2,0.57,0.05,23039.2,23019.1,8.013429285739088,0.018649857037303347
2.0,92.1,0.05,1.0,10152.5,10155.5,12.417335631617828,0.03497258310778616
1.0,1.0,16.2949,0.05,10968.9,11171.8,69.88804711502522,0.07982150537099386
1.0,102.5,1.0834,10.0,7780.7,11607.0,439.3154857532099,0.23761777277692608
1.0,107.5,0.0424,1.0,12318.3,12317.7,11.035857220558032,0.029931442546204647
1.0,116.1,0.57,10.0,4389.8,5335.2,254.9225477242699,0.24098042058713678
1.0,12.0,4.8661,1.0,2204.2,2605.6,229.77860448235188,0.32287119025961514
1.0,120.0,0.0371,1.0,9991.4,9990.0,10.149528594591349,0.031872032728138426
1.0,125.0,0.4042,10.0,17557.3,20015.2,199.5029987526556,0.10659721272543667
1.0,13.2,0.3861,0.05,30797.9,30643.3,5.8721211511174465,0.013808196265302206
1.0,147.5,0.2059,10.0,9391.9,9988.2,127.77116451410258,0.11663790128602293
1.0,16.5,1.386,1.0,5133.4,5333.0,100.40090388436515,0.13985121964104877
1.0,170.0,0.1256,10.0,9685.2,10021.2,94.06145459050923,0.09854884724482314
1.0,19.4,0.3016,0.05,32561.3,32181.0,4.739859895028761,0.012065126631648458
1.0,192.5,0.0858,10.0,4767.4,4870.3,74.37450182489408,0.12490253096747239
1.0,21.0,0.6736,1.0,3873.1,3932.4,64.39622008210478,0.12894390927832522
1.0,215.0,0.0633,10.0,8752.9,8877.0,61.63145928777891,0.0839122259976326
1.0,22.4,0.57,1.0,7298.3,7390.0,57.680418727648906,0.08890032457739709
1.0,235.8,0.05,10.0,,,0.0,0.0
1.0,237.5,0.0492,10.0,6211.2,6274.2,52.88607676455435,0.09227475880366034
1.0,238.5,0.05,10.0,8062.5,8144.4,52.4224496124031,0.08063503738606158
1.0,25.5,0.2566,0.05,21370.2,20966.2,4.139689848480594,0.013918088985992713
1.0,25.5,0.4164,1.0,4794.0,4831.9,47.39424280350438,0.09942916213021111
1.0,260.0,0.0398,10.0,8900.0,8968.2,46.472584269662924,0.07226090701053092
1.0,30.0,0.2932,1.0,11220.7,11274.7,38.07097596406641,0.05824880627915753
1.0,31.6,0.2279,0.05,15143.4,14758.0,3.7078199083429086,0.01564759579424102
1.0,32.5,0.2501,1.0,4900.8,4918.3,34.260324844923275,0.08361077490808434
1.0,37.8,0.2075,0.05,10099.3,9797.9,3.4410305664749044,0.018458594473250295
1.0,43.9,0.1922,0.05,6599.6,6371.0,3.239893326868295,0.022156775063243022
1.0,45.0,0.141,1.0,7812.5,7823.2,23.66144,0.05503330191802051
1.0,50.0,0.1801,0.05,3772.7,3630.1,3.0659739708961755,0.028507431912820583
1.0,57.5,0.097,1.0,6390.5,6393.9,18.602300289492216,0.053953038213296035
1.0,7.1,0.6288,0.05,15368.6,15360.6,8.882136303892352,0.02404039300446522
1.0,7.6,0.57,0.05,12199.0,12189.4,8.485203705221739,0.026373576056248654
1.0,70.0,0.0736,1.0,14956.9,14963.6,15.577358944701109,0.03227201766997396
1.0,82.5,0.0592,1.0,14006.0,14008.7,13.520348422104812,0.031069687190172356
1.0,94.1,0.05,1.0,14398.9,14400.4,12.185861419969582,0.029091322154334503
1.0,95.0,0.0494,1.0,11863.6,11864.0,12.171684817424728,0.032030749519538756
0.5,112.0,0.57,10.0,15388.6,17073.1,256.7004145926205,0.12915574519173617
0.5,22.5,0.57,1.0,11114.1,11180.4,57.327358940445016,0.07181973811232921
0.5,237.2,0.05,10.0,5776.5,5803.6,52.57768544966675,0.09540438649124267
0.5,237.7,0.05,10.0,,,0.0,0.0
0.5,7.9,0.57,0.05,13187.6,13176.0,8.386817919864114,0.025218295207363045
0.5,92.0,0.05,1.0,9680.7,9680.7,12.347867406282603,0.03571433744922749
0.1,107.0,0.57,10.0,3492.5,3580.0,269.0903364352183,0.27757531634652394
0.1,22.3,0.57,1.0,6435.9,6444.1,58.13033142217872,0.09503788345608773
0.1,235.6,0.05,10.0,,,0.0,0.0
0.1,237.8,0.05,10.0,8364.3,8371.0,52.78349652690602,0.07943909306469285
0.1,7.8,0.57,0.05,12039.6,12029.2,8.453935346689258,0.026498630657374397
0.1,92.1,0.05,1.0,8783.9,8783.2,12.382085406254625,0.03754509488005787
100.0,109.8,0.05,1.0,6938.2,7079.4,0.0,0.0
100.0,339.4,0.57,10.0,0.0,0.9,0.0,0.0
100.0,43.6,0.57,1.0,10217.6,15629.1,0.0,0.0
100.0,446.2,0.05,10.0,,,0.0,0.0
100.0,446.9,0.05,10.0,7763.5,11332.9,0.0,0.0
100.0,8.5,0.57,0.05,10430.3,10490.2,0.0,0.0
