concentration,electric_field,gap_mm,pressure,ne,ni,CF3,ErrCF3
50.0,102.9,0.05,1.0,11727.2,11853.2,1.0919912681629034,0.00964966900773137
50.0,35.1,0.57,1.0,6916.0,9473.9,1.7896182764603816,0.016086172104505275
50.0,358.7,0.05,10.0,,,0.0,0.0
50.0,363.5,0.05,10.0,16285.6,21250.4,1.710652355455126,0.010248941118100468
50.0,9.1,0.57,0.05,44497.6,44573.1,0.9705691992377117,0.0046703019351569276
20.0,201.1,0.57,10.0,3001.9,11963.6,1.895466204737,0.025128115081309983
20.0,28.3,0.57,1.0,12276.6,14673.6,0.5335353436619259,0.006592384722251538
20.0,293.3,0.05,10.0,,,0.0,0.0
20.0,302.2,0.05,10.0,17744.7,20318.4,0.5168303775211753,0.005396841772308024
20.0,9.8,0.57,0.05,97218.0,97152.8,0.34355777736633136,0.0018798645191731023
20.0,94.3,0.05,1.0,7589.4,7628.8,0.3645874509183862,0.0069310197537815425
10.0,25.6,0.57,1.0,8252.8,9126.3,0.2450077549437767,0.005448654312698022
10.0,267.3,0.05,10.0,,,0.0,0.0
10.0,278.6,0.05,10.0,25212.2,27157.3,0.22917476459809139,0.003014935497732033
10.0,7.9,0.57,0.05,14154.2,14154.3,0.17210439304234784,0.003487010973210232
10.0,93.9,0.05,1.0,12271.2,12299.6,0.18596388291283655,0.0038928779296225915
5.0,129.2,0.57,10.0,23.3,76.4,0.34334763948497854,0.12139172209211117
5.0,24.0,0.57,1.0,10803.5,11404.8,0.11209330309621882,0.003221125124506931
5.0,252.4,0.05,10.0,,,0.0,0.0
5.0,255.1,0.05,10.0,10911.0,11409.9,0.11108056090184218,0.00319070574384185
5.0,8.0,0.57,0.05,12948.6,12941.2,0.08541463942047789,0.0025683532039472825
5.0,93.0,0.05,1.0,9455.7,9465.4,0.09126770096344003,0.0031067886717151307
2.0,22.7,0.57,1.0,6563.3,6727.1,0.046013438361799705,0.002647775844008771
2.0,233.1,0.05,10.0,3455.8,3530.0,0.04890329301464205,0.0037617917703570806
2.0,238.7,0.05,10.0,,,0.0,0.0
2.0,8.2,0.57,0.05,23039.2,23019.1,0.03407236362373693,0.00121609480590662
2.0,92.1,0.05,1.0,10152.5,10155.5,0.03762620044324058,0.0019251238892580218
1.0,1.0,16.2949,0.05,10968.9,11171.8,0.022062376354967227,0.0014182232663351882
1.0,102.5,1.0834,10.0,7780.7,11607.0,0.03945660416157929,0.002251907343546883
1.0,107.5,0.0424,1.0,12318.3,12317.7,0.019320847844264227,0.001252384551483688
1.0,116.1,0.57,10.0,4389.8,5335.2,0.03530912570048749,0.002836097224927954
1.0,12.0,4.8661,1.0,2204.2,2605.6,0.037201705834316305,0.0041082411478710725
1.0,120.0,0.0371,1.0,9991.4,9990.0,0.017815321176211544,0.0013353147771209574
1.0,125.0,0.4042,10.0,17557.3,20015.2,0.029047746521389965,0.0012862558355369238
1.0,13.2,0.3861,0.05,30797.9,30643.3,0.01698167732215508,0.0007425569032972555
